step,fx,fy,fz,gx,gy,gz,theta_tcn,theta_fuzzyakf,accel_weight,accel_norm,fuzzy_innovation,fuzzy_nis,min_covariance_eigenvalue,gyro_energy,gyro_vibration_feature,P_tcn_base,P_tcn,P_fuzzyakf_total,cross_error_total,S,NIS,innovation,K_raw,K_eff,Kmax,NIS_weight,quality_weight,correction_prev,correction,target_correction,theta_fused,theta_tcn_abs,fallback,fallback_reason_code,innovation_gate_flag,innovation_min_gate,slope_gate,nis_downweight_flag,nis_reject_flag,Kmax_cap_flag,rate_limit_flag,observer_valid,tcn_ready,regime_index,quality_score,quality_bin,p_help,v7_gate,label_main,label_turn,conf_main
1,0.299128486266972,0.000357110462621563,9.74842909262721,-0.00197145617050242,-0.0026170083974343,-0.00287907575354159,0,0.0306640006698196,0.525142391739746,9.75301736657968,2.61700839743438e-05,3.22318536723022e-07,9.99990961560301e-05,9.5122247895424e-07,0.00278658957524264,0.00284980193900787,0.00284980193900787,0.000178637123814681,-0.000232247604340901,0.00349293427150435,0.269195141961185,0.0306640006698196,0.88236688806096,0,1,1,0,0,0,0,0,0,1,66,0,1,0,0,0,0,0,1,0,1,0.401096605589617,1,0.793194343476534,1,1,0,1
2,0.462642829452816,-0.0445809564521833,9.69393518225928,-0.000205768133878279,0.00153041954052179,-0.00347965742034346,0,0.0327791560028147,0.128970153401558,9.7050711057244,0.0170094870498453,0.0687183485604858,9.99946495147594e-05,1.62828836790063e-06,0.00364584008728385,0.00284980193900787,0.00284980193900787,0.000178637123814681,-0.000232247604340901,0.00349293427150435,0.307613308679326,0.0327791560028147,0.88236688806096,0,1,1,0,0,0,0,0,0,1,98,0,1,0,0,0,0,0,1,0,1,0.485556649342387,1,0.453479297158893,0,1,0,1
3,0.734791241689052,0.000845114995644918,9.74177173316683,-9.69847969871556e-05,0.000329530501958372,-0.00153211573048838,0,0.0354252882585466,0.0692615957278171,9.76944396494553,0.0425017963311853,0.24651968445801,9.9984747484627e-05,1.67014270021447e-06,0.00369240002720919,0.00109083141996135,0.00109083141996135,0.00134905366903603,-6.29966043373888e-05,0.00256587829767216,0.489092194801152,0.0354252882585466,0.449681508801695,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.533645959397937,2,0.465284537263612,0,1,0,1
4,1.01617751211824,-0.0005302776612888,9.81378551924338,-0.000562410942108646,-0.000279724622549792,5.84716262485731e-05,0,0.0380481151228396,0.0448957297354025,9.86625578601327,0.0677555447529353,0.416252562073454,9.99687172750386e-05,1.60653410837076e-06,0.00362140361599828,0.00109083141996135,0.00109083141996135,0.00134905366903603,-6.29966043373888e-05,0.00256587829767216,0.56419630880943,0.0380481151228396,0.449681508801695,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.615594887202219,2,0.465284537263612,0,1,0,1
5,1.35663740069073,0.0472553745856043,9.81602731752714,0.000662886330432849,0.000441191099019071,0.000954711431722751,0,0.0415630255284915,0.0424572203394485,9.90944450541095,0.0992834426235544,0.848199833162184,9.9946129078709e-05,1.60348449249175e-06,0.003617964804481,0.00109083141996135,0.00109083141996135,0.00134905366903603,-6.29966043373888e-05,0.00256587829767216,0.673252933566361,0.0415630255284915,0.449681508801695,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.726393988181783,2,0.465284537263612,0,1,0,1
6,1.56178066037192,0.0229235431621646,9.78566094318738,0.00234687910036798,0.00212941606599091,-0.00110414157228006,0,0.0455691912159029,0.0424465262252347,9.90953300690632,0.116679103484083,1.17264063597647,9.99165757777811e-05,2.08637941314123e-06,0.00412694423014219,0.00109083141996135,0.00109083141996135,0.00134905366903603,-6.29966043373888e-05,0.00256587829767216,0.809294497699066,0.0455691912159029,0.449681508801695,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.776738705947597,2,0.465284537263612,0,1,0,1
7,1.74663894251453,0.088453692238511,9.7944150810496,-3.62465077845309e-05,0.000743570520201609,0.000449707417041494,0,0.0497957897087192,0.0413788223998533,9.94932854171932,0.130897133125126,1.44157996161143,9.98796475335663e-05,2.01988282692325e-06,0.00406064519546526,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,1.19263627777673,0.0497957897087192,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.805066437637336,3,0.457122741536033,0,1,0,1
8,1.92550777176098,0.0506616888994458,9.7914796974456,0.000501509763895303,-0.00183089544264247,-0.000347191632764739,0,0.0542073171112873,0.0406115501501833,9.97913931415548,0.144394333149681,1.72444175897861,9.98349339171885e-05,2.10510029532874e-06,0.00414541821855952,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,1.41331378084604,0.0542073171112873,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.827678748176228,3,0.457122741536033,0,1,0,1
9,2.10040877795629,-0.0171110638675803,9.74565750308958,-0.00042463484875258,0.00266544139651015,0.00242099426100012,0,0.0589673136235999,0.040849797074831,9.96944582163667,0.158038969952469,2.07943248249632,9.97820080367903e-05,2.65715057080233e-06,0.00465736245827766,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,1.67242038820977,0.0589673136235999,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.850913315173308,3,0.457122741536033,0,1,0,1
10,2.23442988972587,0.00660938940521568,9.77491346437207,0.00211790931862739,0.00104644378379702,-0.0011123650282746,0,0.0636376644148531,0.0394286407894953,10.0270461179797,0.165745760236835,2.21180357604521,9.97204668061551e-05,2.86519006379744e-06,0.00483624923295361,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,1.94783081158838,0.0636376644148531,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.858315465931387,3,0.419626571422284,0,1,0,1
