t_s,e_y,e_psi,e_v,e_omega,xy_error,X,Y,X_ref,Y_ref,F_cmd,omega_cmd,F_limit_lo,F_limit_hi,omega_limit_lo,omega_limit_hi,theta_true,theta_ref,theta_imu_raw,theta_sched,solve_time_ms
0,0,0,-0.82,0,0,0,0,0,0,69.3425460383296,7.46376887583722e-05,-660,660,-1.32,1.32,0,0,0,0,4.5584777
0.01,0,0,-0.818160146941022,0,0.00819080073466528,9.19926533471509e-06,0,0.0082,0,143.551742685959,1.44044204368754e-05,-660,660,-1.32,1.32,0,0,0,0,0.015304
0.02,0,0,-0.812899464587303,0,0.0163460987917536,5.3901208246398e-05,0,0.0164,0,211.954878786579,0.00020567691149509,-660,660,-1.32,1.32,0,0,0,0,0.0085397
0.03,0,0,-0.804485596832704,0,0.0244330240966151,0.000166975903384872,0,0.0246,0,272.307317817584,0.000188532200855462,-660,660,-1.32,1.32,0,0,0,0,0.0084711
0.04,0,0,-0.7932896605337,0,0.0324219003778856,0.000378099622114402,0,0.0328,0,324.960945257917,0.000225973841867955,-660,660,-1.32,1.32,0,0,0,0,0.0080968
0.05,0,0,-0.779666553755131,0,0.0402866814385848,0.000713318561415168,0,0.041,0,370.440627256408,0.00024037074762262,-660,660,-1.32,1.32,0,0,0,0,0.0077265
0.06,0,0,-0.76394698201308,0,0.048004749099601,0.00119525090039894,0,0.0492,0,408.973126525059,0.000245715645736055,-660,660,-1.32,1.32,0,0,0,0,0.0083344
0.07,0,0,-0.746451199926991,0,0.0555567399826259,0.00184326001737412,0,0.0574,0,440.66632845439,0.00024423976099186,-660,660,-1.32,1.32,0,0,0,0,0.0078199
0.08,0,0,-0.727494490885219,0,0.0629264683996545,0.00267353160034545,0,0.0656,0,465.71741075255,0.000237660258523675,-660,660,-1.32,1.32,0,0,0,0,0.0077359
0.09,0,0,-0.707383050548146,0,0.0701008560582897,0.00369914394171027,0,0.0738,0,484.493777016178,0.000227356052153738,-660,660,-1.32,1.32,0,0,0,0,0.0071276
0.1,0,0,-0.686406139457865,0,0.0770698019475599,0.00493019805244014,0,0.082,0,497.516240382567,0.000214481240522701,-660,660,-1.32,1.32,0,0,0,0,0.0070523
0.11,0,0,-0.66482901080119,0,0.0838259776255547,0.00637402237444529,0,0.0902,0,505.403398791328,0.000199998968060555,-660,660,-1.32,1.32,0,0,0,0,0.0073929
0.12,0,0,-0.642888402329716,0,0.0903645646054413,0.00803543539455867,0,0.0984,0,508.814670318738,0.000184690994576187,-660,660,-1.32,1.32,0,0,0,0,0.0074508
0.13,0,0,-0.620790654238014,0,0.0966829597904493,0.00991704020955068,0,0.1066,0,508.406280884519,0.00016916891771146,-660,660,-1.32,1.32,0,0,0,0,0.0072852
0.14,0,0,-0.59871185595266,0,0.102780472232181,0.0120195277678186,0,0.1148,0,504.801817769185,0.000153892121421251,-660,660,-1.32,1.32,0,0,0,0,0.0072569
0.15,0,0,-0.576799350397972,0,0.108658028144195,0.0143419718558045,0,0.123,0,498.574576282874,0.000139189914609261,-660,660,-1.32,1.32,0,0,0,0,0.0070706
0.16,0,0,-0.555174052107316,0,0.114317895027476,0.0168821049725241,0,0.1312,0,490.238449001685,0.000125284505418932,-660,660,-1.32,1.32,0,0,0,0,0.0071541
0.17,0,0,-0.533933185385725,0,0.119763431077281,0.0196365689227189,0,0.1394,0,480.244754666463,0.000112312651129542,-660,660,-1.32,1.32,0,0,0,0,0.0069214
0.18,0,0,-0.513153168712809,0,0.124998862702828,0.0226011372971721,0,0.1476,0,468.983091780916,0.000100344920856088,-660,660,-1.32,1.32,0,0,0,0,0.0068746
0.19,0,0,-0.492892459847948,0,0.130029090694526,0.0257709093054742,0,0.1558,0,456.784798467532,8.94022073687495e-05,-660,660,-1.32,1.32,0,0,0,0,0.0068268
0.2,0,0,-0.473194241485793,0,0.134859524045024,0.0291404759549762,0,0.164,0,443.927952805534,7.94694618555525e-05,-660,660,-1.32,1.32,0,0,0,0,0.0069486
0.21,0,0,-0.454088876440197,0,0.139495939474462,0.0327040605255383,0,0.1722,0,430.643124917522,7.05068079192017e-05,-660,660,-1.32,1.32,0,0,0,0,0.0068737
0.22,0,0,-0.435596097694339,0,0.143944364181899,0.036455635818101,0,0.1804,0,417.119320565835,6.24582942982954e-05,-660,660,-1.32,1.32,0,0,0,0,0.0069276
0.23,0,0,-0.417726924481692,0,0.148210979127404,0.0403890208725957,0,0.1886,0,403.509742463008,5.52585991222543e-05,-660,660,-1.32,1.32,0,0,0,0,0.0071011
0.24,0,0,-0.400485312794853,0,0.152302040147098,0.0444979598529017,0,0.1968,0,389.937145138159,4.88380115548637e-05,-660,660,-1.32,1.32,0,0,0,0,0.0080693
0.25,0,0,-0.383869559053623,0,0.156223814339084,0.0487761856609155,0,0.205,0,376.498662957922,4.31260197792938e-05,-660,660,-1.32,1.32,0,0,0,0,0.0072088
0.26,0,0,-0.367873481215051,0,0.159982529373272,0.0532174706267277,0,0.2132,0,363.270068148151,3.80537893143185e-05,-660,660,-1.32,1.32,0,0,0,0,0.0075728
0.27,0,0,-0.352487403598353,0,0.163584333630878,0.0578156663691222,0,0.2214,0,350.309462735429,3.35557915782658e-05,-660,660,-1.32,1.32,0,0,0,0,0.0072075
0.28,0,0,-0.337698971517739,0,0.167035265341213,0.062564734658787,0,0.2296,0,337.660436669365,2.95707937887357e-05,-660,660,-1.32,1.32,0,0,0,0,0.0076102
0.29,0,0,-0.323493820329628,0,0.170341229136877,0.0674587708631232,0,0.2378,0,325.354740584269,2.60423770619411e-05,-660,660,-1.32,1.32,0,0,0,0,0.0071819
0.3,0,0,-0.309856121267394,0,0.173507978683356,0.0724920213166439,0,0.246,0,313.414528558031,2.29191241949422e-05,-660,660,-1.32,1.32,0,0,0,0,0.007251
0.31,0,0,-0.296769023885288,0,0.176541104250019,0.0776588957499803,0,0.2542,0,301.854225674644,2.01545774878298e-05,-660,660,-1.32,1.32,0,0,0,0,0.0069877
0.32,0,0,-0.284215012406969,0,0.179446024275075,0.0829539757249251,0,0.2624,0,290.682073885575,1.77070430886772e-05,-660,660,-1.32,1.32,0,0,0,0,0.0068486
0.33,0,0,-0.272176190808331,0,0.182227980137681,0.0883720198623192,0,0.2706,0,279.901404956356,1.55393061511688e-05,-660,660,-1.32,1.32,0,0,0,0,0.0071476
0.34,0,0,-0.260634509215444,0,0.184892033487465,0.0939079665125351,0,0.2788,0,269.511683786288,1.36182906977922e-05,-660,660,-1.32,1.32,0,0,0,0,0.0070925
0.35,0,0,-0.249571942203106,0,0.187443065597521,0.0995569344024783,0,0.287,0,259.509359555319,1.19147006252263e-05,-660,660,-1.32,1.32,0,0,0,0,0.0070436
0.36,0,0,-0.238970627852975,0,0.189885778304195,0.105314221695805,0,0.2952,0,249.888557570055,1.04026569722748e-05,-660,660,-1.32,1.32,0,0,0,0,0.0069035
0.37,0,0,-0.228812974914988,0,0.192224696177956,0.111175303822043,0,0.3034,0,240.641640016809,9.05934708228529e-06,-660,660,-1.32,1.32,0,0,0,0,0.0070235
0.38,0,0,-0.219081744115457,0,0.194464169636634,0.117135830363365,0,0.3116,0,231.759658137336,7.86469472657814e-06,-660,660,-1.32,1.32,0,0,0,0,0.0083506
0.39,0,0,-0.20976010861732,0,0.196608378767479,0.123191621232521,0,0.3198,0,223.232715340331,6.80105188521907e-06,-660,660,-1.32,1.32,0,0,0,0,0.0093274
0.4,0,0,-0.20083169773851,0,0.198661337670124,0.129338662329875,0,0.328,0,215.050258496776,5.8529195037238e-06,-660,660,-1.32,1.32,0,0,0,0,0.0086798
0.41,0,0,-0.192280627239288,0,0.200626899169579,0.13557310083042,0,0.3362,0,207.201309682801,5.00669344560833e-06,-660,660,-1.32,1.32,0,0,0,0,0.0068794
0.42,0,0,-0.184091518924064,0,0.202508759778658,0.141891240221341,0,0.3444,0,199.674649925902,4.25043670659875e-06,-660,660,-1.32,1.32,0,0,0,0,0.0072547
0.43,0,0,-0.176249511770487,0,0.204310464814075,0.148289535185925,0,0.3526,0,192.458964148536,3.57367685310805e-06,-660,660,-1.32,1.32,0,0,0,0,0.0069398
0.44,0,0,-0.168740266374757,0,0.206035413590398,0.154764586409602,0,0.3608,0,185.542954446748,2.96722662440629e-06,-660,660,-1.32,1.32,0,0,0,0,0.0069084
0.45,0,0,-0.16154996417307,0,0.207686864632349,0.16131313536765,0,0.369,0,178.915427865461,2.42302404629413e-06,-660,660,-1.32,1.32,0,0,0,0,0.0072265
0.46,0,0,-0.154665302615038,0,0.209267940859072,0.167932059140928,0,0.3772,0,172.565363841131,1.93399269576844e-06,-660,660,-1.32,1.32,0,0,0,0,0.0072794
0.47,0,0,-0.148073487226558,0,0.210781634704577,0.174618365295423,0,0.3854,0,166.481965051964,1.49391955872602e-06,-660,660,-1.32,1.32,0,0,0,0,0.0070327
0.48,0,0,-0.141762221327165,0,0.212230813147098,0.181369186852901,0,0.3936,0,160.654694842175,1.09734580533427e-06,-660,660,-1.32,1.32,0,0,0,0,0.0067579
0.49,0,0,-0.135719694020939,0,0.213618222626982,0.188181777373017,0,0.401799999999999,0,155.07330452837,7.39473396293988e-07,-660,660,-1.32,1.32,0,0,0,0,0.0067754
0.5,0,0,-0.129934566927505,0,0.214946493838189,0.195053506161811,0,0.409999999999999,0,149.727851847187,4.16082055920697e-07,-660,660,-1.32,1.32,0,0,0,0,0.0070314
0.51,0,0,-0.124395960061616,0,0.216218146382847,0.201981853617153,0,0.4182,0,144.608712946996,1.23456938894151e-07,-660,660,-1.32,1.32,0,0,0,0,0.006937
0.52,0,0,-0.119093437159049,0,0.217435593281834,0.208964406718165,0,0.426399999999999,0,139.706589078531,-1.41674032505534e-07,-660,660,-1.32,1.32,0,0,0,0,0.0069533
0.53,0,0,-0.114016990693265,0,0.218601145337075,0.215998854662925,0,0.434599999999999,0,135.012509031221,-3.82195832315801e-07,-660,660,-1.32,1.32,0,0,0,0,0.0065383
0.54,0,0,-0.10915702677905,0,0.21971701534343,0.223082984656569,0,0.442799999999999,0,130.517828507349,-6.00653972782084e-07,-660,660,-1.32,1.32,0,0,0,0,0.0070822
0.55,0,0,-0.104504350104374,0,0.220785322149776,0.230214677850224,0,0.450999999999999,0,126.214226791635,-7.99296831388574e-07,-660,660,-1.32,1.32,0,0,0,0,0.0070303
0.56,0,0,-0.100050149015213,0,0.221808094570155,0.237391905429844,0,0.459199999999999,0,122.09370171465,-9.80111938275741e-07,-660,660,-1.32,1.32,0,0,0,0,0.006959
0.57,0,0,-0.0957859808320564,0,0.222787275146944,0.244612724853055,0,0.467399999999999,0,118.148563006893,-1.14485846935963e-06,-660,660,-1.32,1.32,0,0,0,0,0.0067202
0.58,0,0,-0.0917037574723489,0,0.22372472376871,0.251875276231289,0,0.475599999999999,0,114.371424673125,-1.29509502855285e-06,-660,660,-1.32,1.32,0,0,0,0,0.0069754
0.59,0,0,-0.0877957314240704,0,0.224622221146045,0.259177778853954,0,0.483799999999999,0,110.755196603015,-1.43220393411525e-06,-660,660,-1.32,1.32,0,0,0,0,0.007175
0.6,0,0,-0.0840544821057213,0,0.225481472149075,0.266518527850924,0,0.491999999999999,0,107.293075690046,-1.5574129967888e-06,-660,660,-1.32,1.32,0,0,0,0,0.0070503
0.61,0,0,-0.0804729026354181,0,0.226304109010612,0.273895890989387,0,0.500199999999999,0,103.978536522016,-1.67181372390246e-06,-660,660,-1.32,1.32,0,0,0,0,0.0071266
0.62,0,0,-0.0770441870288849,0,0.227091694399135,0.281308305600864,0,0.508399999999999,0,100.80532198213,-1.7763781237079e-06,-660,660,-1.32,1.32,0,0,0,0,0.0067273
0.63,0,0,-0.0737618178305012,0,0.227845724365927,0.288754275634072,0,0.516599999999999,0,97.7674337979406,-1.87197287360164e-06,-660,660,-1.32,1.32,0,0,0,0,0.0069904
0.64,0,0,-0.0706195541798369,0,0.22856763117069,0.296232368829309,0,0.524799999999999,0,94.8591230046004,-1.95937166225235e-06,-660,660,-1.32,1.32,0,0,0,0,0.0067713
0.65,0,0,-0.067611420317656,0,0.229258785990032,0.303741214009967,0,0.532999999999999,0,92.0748806428164,-2.03926662933895e-06,-660,660,-1.32,1.32,0,0,0,0,0.0074564
0.66,0,0,-0.0647316945205919,0,0.229920501513147,0.311279498486853,0,0.541199999999999,0,89.4094285648316,-2.11227732194175e-06,-660,660,-1.32,1.32,0,0,0,0,0.0070017
0.67,0,0,-0.0619748984595382,0,0.230554034428968,0.318845965571031,0,0.549399999999999,0,86.8577103763819,-2.17895983212202e-06,-660,660,-1.32,1.32,0,0,0,0,0.0066854
0.68,0,0,-0.0593357869755056,0,0.231160587808992,0.326439412191007,0,0.557599999999999,0,84.4148826412857,-2.23981380642613e-06,-660,660,-1.32,1.32,0,0,0,0,0.0065547
0.69,0,0,-0.0568093382608567,0,0.231741313389882,0.334058686610118,0,0.565799999999999,0,82.0763064213097,-2.29528910722365e-06,-660,660,-1.32,1.32,0,0,0,0,0.0066366
0.7,0,0,-0.0543907444304782,0,0.232297313759839,0.34170268624016,0,0.573999999999999,0,79.8375388849527,-2.34579135849344e-06,-660,660,-1.32,1.32,0,0,0,0,0.0066573
0.71,0,0,-0.0520754024797274,0,0.232829644452619,0.34937035554738,0,0.582199999999999,0,77.6943253986537,-2.39168720739258e-06,-660,660,-1.32,1.32,0,0,0,0,0.0070256
0.72,0,0,-0.0498589056069271,0,0.233339315952946,0.357060684047053,0,0.590399999999999,0,75.642591714859,-2.43330850935308e-06,-660,660,-1.32,1.32,0,0,0,0,0.0065634
0.73,0,0,-0.0477370348959546,0,0.233827295616958,0.364772704383041,0,0.598599999999999,0,73.6784365102649,-2.47095634264838e-06,-660,660,-1.32,1.32,0,0,0,0,0.0069898
0.74,0,0,-0.0457057513427916,0,0.234294509511194,0.372505490488805,0,0.606799999999999,0,71.7981242146343,-2.50490451136898e-06,-660,660,-1.32,1.32,0,0,0,0,0.007194
0.75,0,0,-0.0437611882126498,0,0.234741844173501,0.380258155826499,0,0.614999999999999,0,69.9980781041086,-2.53540222772131e-06,-660,660,-1.32,1.32,0,0,0,0,0.0073584
0.76,0,0,-0.0418996437154849,0,0.235170148299101,0.388029851700898,0,0.623199999999999,0,68.2748735863715,-2.56267723486303e-06,-660,660,-1.32,1.32,0,0,0,0,0.0067671
0.77,0,0,-0.0401175739910643,0,0.235580234354971,0.395819765645028,0,0.631399999999999,0,66.6252318806946,-2.58693770405216e-06,-660,660,-1.32,1.32,0,0,0,0,0.0067915
0.78,0,0,-0.038411586385388,0,0.235972880125515,0.403627119874484,0,0.639599999999999,0,65.0460138153285,-2.60837456522722e-06,-660,660,-1.32,1.32,0,0,0,0,0.0066311
0.79,0,0,-0.0367784330130604,0,0.236348830192442,0.411451169807557,0,0.647799999999999,0,63.5342139769346,-2.62716326560053e-06,-660,660,-1.32,1.32,0,0,0,0,0.0068701
0.8,0,0,-0.035215004589388,0,0.236708797351615,0.419291202648384,0,0.655999999999999,0,62.086955005303,-2.64346533640492e-06,-660,660,-1.32,1.32,0,0,0,0,0.007447
0.81,0,0,-0.0337183245255084,0,0.237053463969527,0.427146536030472,0,0.664199999999999,0,60.701482212171,-2.65742987437534e-06,-660,660,-1.32,1.32,0,0,0,0,0.006714
0.82,0,0,-0.0322855432716149,0,0.237383483281981,0.435016516718018,0,0.672399999999999,0,59.3751583714038,-2.66919475677696e-06,-660,660,-1.32,1.32,0,0,0,0,0.0065865
0.83,0,0,-0.0309139329003787,0,0.237699480637398,0.442900519362601,0,0.680599999999999,0,58.1054587177932,-2.67888779248437e-06,-660,660,-1.32,1.32,0,0,0,0,0.0066686
0.84,0,0,-0.0296008819209534,0,0.238002054687106,0.450797945312893,0,0.688799999999999,0,56.8899661749601,-2.68662764923988e-06,-660,660,-1.32,1.32,0,0,0,0,0.0072161
0.85,0,0,-0.0283438903130045,0,0.238291778524881,0.458708221475118,0,0.696999999999999,0,55.7263667816296,-2.69252484841331e-06,-660,660,-1.32,1.32,0,0,0,0,0.0074267
0.86,0,0,-0.0271405647716177,0,0.238569200777873,0.466630799222126,0,0.705199999999999,0,54.6124453097582,-2.69668239560872e-06,-660,660,-1.32,1.32,0,0,0,0,0.0067489
