step,fx,fy,fz,gx,gy,gz,theta_tcn,theta_fuzzyakf,accel_weight,accel_norm,fuzzy_innovation,fuzzy_nis,min_covariance_eigenvalue,gyro_energy,gyro_vibration_feature,P_tcn_base,P_tcn,P_fuzzyakf_total,cross_error_total,S,NIS,innovation,K_raw,K_eff,Kmax,NIS_weight,quality_weight,correction_prev,correction,target_correction,theta_fused,theta_tcn_abs,fallback,fallback_reason_code,innovation_gate_flag,innovation_min_gate,slope_gate,nis_downweight_flag,nis_reject_flag,Kmax_cap_flag,rate_limit_flag,observer_valid,tcn_ready,regime_index,quality_score,quality_bin,p_help,v7_gate,label_main,label_turn,conf_main
1,0.30174650295549,0.000357110462621563,9.74842223865989,-0.00197145617050242,-0.0026170083974343,-0.00287907575354159,0,0.030932329168024,0.525453753877704,9.75309116243524,2.61700839743438e-05,3.22400025744572e-07,9.99990961492742e-05,9.5122247895424e-07,0.00278658957524264,0.00284980193900787,0.00284980193900787,0.000178637123814681,-0.000232247604340901,0.00349293427150435,0.273926994723238,0.030932329168024,0.88236688806096,0,1,1,0,0,0,0,0,0,1,66,0,1,0,0,0,0,0,1,0,1,0.400840790637967,1,0.793194343476534,1,1,0,1
2,0.46751961034966,-0.0445809564521833,9.69392241484758,-0.000205768133878279,0.00153041954052179,-0.00347965742034346,0,0.0330597197819872,0.127866811361836,9.70529205293813,0.0172431420795278,0.0700920420989841,9.99946486063825e-05,1.62828836790063e-06,0.00364584008728385,0.00284980193900787,0.00284980193900787,0.000178637123814681,-0.000232247604340901,0.00349293427150435,0.312901700149315,0.0330597197819872,0.88236688806096,0,1,1,0,0,0,0,0,0,1,98,0,1,0,0,0,0,0,1,0,1,0.485391404882318,1,0.465284537263612,0,1,0,1
3,0.742859759887495,0.000845114995644918,9.74175060978733,-9.69847969871556e-05,0.000329530501958372,-0.00153211573048838,0,0.0357149396787179,0.0685289420729932,9.77003307468154,0.0430448991801187,0.250338371185224,9.99847498179325e-05,1.67014270021447e-06,0.00369240002720919,0.00109083141996135,0.00109083141996135,0.00134905366903603,-6.29966043373888e-05,0.00256587829767216,0.497122921773678,0.0357149396787179,0.449681508801695,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.536090646826819,2,0.465284537263612,0,1,0,1
4,1.02759894428521,-0.0005302776612888,9.81375561793558,-0.000562410942108646,-0.000279724622549792,5.84716262485731e-05,0,0.0383432311373153,0.0443444110048018,9.86740894055033,0.0686175397197779,0.421847313242151,9.99687343187577e-05,1.60653410837076e-06,0.00362140361599828,0.00109083141996135,0.00109083141996135,0.00134905366903603,-6.29966043373888e-05,0.00256587829767216,0.572982504814589,0.0383432311373153,0.449681508801695,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.617588191961247,2,0.465284537263612,0,1,0,1
5,1.37120794373782,0.0472553745856043,9.8159891718475,0.000662886330432849,0.000441191099019071,0.000954711431722751,0,0.0419009822946775,0.0424030597659373,9.91141199412194,0.10044510496343,0.867041305018201,9.99461765194498e-05,1.60348449249175e-06,0.003617964804481,0.00109083141996135,0.00109083141996135,0.00134905366903603,-6.29966043373888e-05,0.00256587829767216,0.684246138584085,0.0419009822946775,0.449681508801695,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.729857979142107,2,0.465284537263612,0,1,0,1
6,1.57915642878747,0.0229235431621646,9.78561545342811,0.00234687910036798,0.00212941606599091,-0.00110414157228006,0,0.0459548172498034,0.0423720424749383,9.91224143762565,0.118072923268701,1.1987162155167,9.99166707533524e-05,2.08637941314123e-06,0.00412694423014219,0.00109083141996135,0.00109083141996135,0.00134905366903603,-6.29966043373888e-05,0.00256587829767216,0.823049647513975,0.0459548172498034,0.449681508801695,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.779976737165363,2,0.465284537263612,0,1,0,1
7,1.76643473929108,0.088453692238511,9.79436325565643,-3.62465077845309e-05,0.000743570520201609,0.000449707417041494,0,0.0502304642975641,0.0412888709408401,9.9527718414318,0.132470571482249,1.47325458531588,9.98798087641971e-05,2.01988282692325e-06,0.00406064519546526,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,1.21354854038361,0.0502304642975641,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.80777683425206,3,0.457122741536033,0,1,0,1
8,1.94733355794837,0.0506616888994458,9.79142255754044,0.000501509763895303,-0.00183089544264247,-0.000347191632764739,0,0.0546910004565057,0.0405064522295433,9.983317599523,0.146105916511938,1.7610399045775,9.98351819825784e-05,2.10510029532874e-06,0.00414541821855952,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,1.43864785694984,0.0546910004565057,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.830353150730663,3,0.457122741536033,0,1,0,1
9,2.12388367175317,-0.0171110638675803,9.74559604582093,-0.00042463484875258,0.00266544139651015,0.00242099426100012,0,0.0594996360531824,0.0407248450969761,9.97435797071505,0.159857262981521,2.12112864243869,9.97823658166373e-05,2.65715057080233e-06,0.00465736245827766,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,1.70275194763921,0.0594996360531824,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.853297247585703,3,0.457122741536033,0,1,0,1
10,2.25919061732872,0.00660938940521568,9.77484864079069,0.00211790931862739,0.00104644378379702,-0.0011123650282746,0,0.0642160494249095,0.0392987209048188,10.0325296849709,0.16762083282251,2.25476879891497,9.97209594091254e-05,2.86519006379744e-06,0.00483624923295361,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,1.98339829550728,0.0642160494249095,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.860664484095531,3,0.419626571422284,0,1,0,1
11,2.24240364656696,-0.0382802965588479,9.80173083505954,-0.00272381692456258,0.00196401920624383,-0.00168120603807188,0,0.0685690943433186,0.0387681878344706,10.0550368899472,0.160665472176611,2.04589997385764,9.96505469455327e-05,3.42708075178145e-06,0.00528925036298127,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,2.26141148740163,0.0685690943433186,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.848953209844377,3,0.450808312049314,0,1,0,1
