t_s,e_y,e_psi,e_v,e_omega,xy_error,X,Y,X_ref,Y_ref,F_cmd,omega_cmd,F_limit_lo,F_limit_hi,omega_limit_lo,omega_limit_hi,theta_true,theta_ref,theta_imu_raw,theta_sched,solve_time_ms
0,0,0,-0.87,0,0,0,0,0,0,72.1822312027216,7.99289774384704e-05,-660,660,-1.32,1.32,0,0,0,0,4.5847138
0.01,0,0,-0.868029245660437,0,0.0086901462282565,9.8537717435039e-06,0,0.0087,0,150.405615545809,1.50879328302267e-05,-660,660,-1.32,1.32,0,0,0,0,0.0095156
0.02,0,0,-0.862452619608687,0,0.0173425555539777,5.74444460223228e-05,0,0.0174,0,222.916811492294,0.000217911158699735,-660,660,-1.32,1.32,0,0,0,0,0.0081686
0.03,0,0,-0.853533438663198,0,0.0259224858428174,0.000177514157182645,0,0.0261,0,287.017677862197,0.000199845890463735,-660,660,-1.32,1.32,0,0,0,0,0.00817
0.04,0,0,-0.84165939807235,0,0.034398450020236,0.000401549979764044,0,0.0348,0,342.945939365774,0.000239688503185675,-660,660,-1.32,1.32,0,0,0,0,0.0084863
0.05,0,0,-0.82720723704135,0,0.0427427831837103,0.000757216816289674,0,0.0435,0,391.23026477173,0.000255021181814641,-660,660,-1.32,1.32,0,0,0,0,0.0089804
0.06,0,0,-0.810529327222809,0,0.0509314659849665,0.00126853401503348,0,0.0522,0,432.121011618525,0.00026070796742772,-660,660,-1.32,1.32,0.00167569880697968,0.00167569880697968,0,0,0.0089976
0.07,0,0,-0.791966501997231,0,0.0589439451010386,0.00195605489896142,0,0.0609,0,465.746073890477,0.000259140836917027,-660,660,-1.32,1.32,0.00335139761395936,0.00335139761395936,0,0,0.0083722
0.08,0,0,-0.77185370142324,0,0.0667630460764543,0.00283695392354574,0,0.0696,0,492.322261277586,0.000252155681081945,-660,660,-1.32,1.32,0.00502709642093903,0.00502709642093903,0,0,0.008297
0.09,0,0,-0.750515873053802,0,0.0743748938942086,0.00392510610579144,0,0.0783,0,512.241931710392,0.000241220200095427,-660,660,-1.32,1.32,0.00670279522791871,0.00670279522791871,0,0,0.0083823
0.1,0,0,-0.728259879142223,0,0.081768772586793,0.00523122741320705,0,0.087,0,526.057822871953,0.000227559170710379,-660,660,-1.32,1.32,0.00837849403489839,0.00837849403489839,0,0,0.0088182
0.11,0,0,-0.706124817093282,0,0.0889406959883867,0.00675930401161328,0,0.0957,0,534.701758835465,0.000212124703111272,-660,660,-1.32,1.32,0.0152287089494197,0.0152287089494197,0,0,0.0085097
0.12,0,0,-0.683591397989341,0,0.0958892769709426,0.00851072302905739,0,0.1044,0,538.807627055794,0.000196066823136221,-660,660,-1.32,1.32,0.0220789238639409,0.0220789238639409,0,0,0.0087977
0.13,0,0,-0.660868829356101,0,0.102611578001935,0.0104884219980645,0,0.1131,0,538.958118353039,0.000179870402504889,-660,660,-1.32,1.32,0.0289291387784622,0.0289291387784622,0,0,0.0085298
0.14,0,0,-0.638139457700523,0,0.109106619319299,0.0126933806807011,0,0.1218,0,535.742840711027,0.000163920973605514,-660,660,-1.32,1.32,0.0357793536929834,0.0357793536929834,0,0,0.0083884
0.15,0,0,-0.615558449335823,0,0.115375108725294,0.0151248912747062,0,0.1305,0,529.739478502423,0.000148534127831113,-660,660,-1.32,1.32,0.0426295686075047,0.0426295686075047,0,0,0.0089744
0.16,0,0,-0.596349738308249,0,0.121434649544177,0.0177653504558231,0,0.1392,0,522.776381406933,0.00013366289776684,-660,660,-1.32,1.32,0.0478834686909118,0.0478834686909118,0,0,0.0088728
0.17,0,0,-0.577462153057656,0,0.127303708875199,0.0205962911248009,0,0.1479,0,514.95908119157,0.00012084396497869,-660,660,-1.32,1.32,0.0531373687743188,0.0531373687743188,0,0,0.008617
0.18,0,0,-0.558935077217367,0,0.132985694895013,0.0236143051049866,0,0.1566,0,506.139804277569,0.000109386047185467,-660,660,-1.32,1.32,0.0583912688577259,0.0583912688577259,0,0,0.0083971
0.19,0,0,-0.540814705428785,0,0.138484443671759,0.026815556328241,0,0.1653,0,496.338784817606,9.88668866881426e-05,-660,660,-1.32,1.32,0.063645168941133,0.063645168941133,0,0,0.0085912
0.2,0,0,-0.523146298565664,0,0.143804248551211,0.0301957514487886,0,0.174,0,485.728774596006,8.91535151055223e-05,-660,660,-1.32,1.32,0.06889906902454,0.06889906902454,0,0,0.0090873
0.21,0,0,-0.508337273662613,0,0.148961666288916,0.0337383337110841,0,0.1827,0,475.58290200308,8.00292736045094e-05,-660,660,-1.32,1.32,0.0690818892355866,0.0690818892355866,0,0,0.0089324
0.22,0,0,-0.493996092944624,0,0.153973332997497,0.0374266670025033,0,0.1914,0,465.787698645145,7.25719451537543e-05,-660,660,-1.32,1.32,0.0692647094466333,0.0692647094466333,0,0,0.0097546
0.23,0,0,-0.480106592597859,0,0.158843846300061,0.0412561536999394,0,0.2001,0,456.051931072026,6.6131748141629e-05,-660,660,-1.32,1.32,0.0694475296576799,0.0694475296576799,0,0,0.0090629
0.24,0,0,-0.466666033384892,0,0.16357770930455,0.0452222906954505,0,0.2088,0,446.245887119323,6.03122527564892e-05,-660,660,-1.32,1.32,0.0696303498687265,0.0696303498687265,0,0,0.0092974
0.25,0,0,-0.453677654900062,0,0.168179427620731,0.0493205723792693,0,0.2175,0,436.383943814784,5.49737197417244e-05,-660,660,-1.32,1.32,0.0698131700797732,0.0698131700797732,0,0,0.0086598
0.26,0,0,-0.441226421875236,0,0.172653947880817,0.0535460521191832,0,0.2262,0,426.577227745205,5.00864523331757e-05,-660,660,-1.32,1.32,0.0698131700797732,0.0698131700797732,0,0,0.0089283
0.27,0,0,-0.429227398079859,0,0.177006216857846,0.0578937831421536,0,0.2349,0,416.891420621425,4.56862762092669e-05,-660,660,-1.32,1.32,0.0698131700797732,0.0698131700797732,0,0,0.0089676
0.28,0,0,-0.417675008511992,0,0.181240728769428,0.0623592712305722,0,0.2436,0,407.370973754674,4.17366636753513e-05,-660,660,-1.32,1.32,0.0698131700797732,0.0698131700797732,0,0,0.0086234
0.29,0,0,-0.406561628729744,0,0.185361911835908,0.0669380881640921,0,0.2523,0,398.049823988229,3.81963816522557e-05,-660,660,-1.32,1.32,0.0698131700797732,0.0698131700797732,0,0,0.0092773
0.3,0,0,-0.395878069586988,0,0.189374110209654,0.0716258897903461,0,0.261,0,388.954753551632,3.50262491934927e-05,-660,660,-1.32,1.32,0.0698131700797732,0.0698131700797732,0,0,0.0094035
0.31,0,0,-0.385613907085856,0,0.193281569977277,0.076418430022723,0,0.2697,0,380.106250796467,3.21900154887089e-05,-660,660,-1.32,1.32,0.0698131700797732,0.0698131700797732,0,0,0.0094669
0.32,0,0,-0.375757772548484,0,0.197088428261976,0.0813115717380244,0,0.2784,0,371.519048053771,2.96540495838826e-05,-660,660,-1.32,1.32,0.0698131700797732,0.0698131700797732,0,0,0.0098134
0.33,0,0,-0.3662976179915,0,0.200798705103612,0.0863012948963885,0,0.2871,0,363.202859748155,2.73871826976801e-05,-660,660,-1.32,1.32,0.0698131700797732,0.0698131700797732,0,0,0.0099724
0.34,0,0,-0.357220947471824,0,0.204416297822387,0.091383702177613,0,0.2958,0,355.163243029267,2.53607589826288e-05,-660,660,-1.32,1.32,0.0698131700797732,0.0698131700797732,0,0,0.0097323
0.35,0,0,-0.348515008756158,0,0.207944977497598,0.0965550225024023,0,0.3045,0,347.40242261067,2.35487033393156e-05,-660,660,-1.32,1.32,0.0698131700797732,0.0698131700797732,0,0,0.0095988
0.36,0,0,-0.340166946964319,0,0.21138838717295,0.10181161282705,0,0.3132,0,339.919998977333,2.19275070634239e-05,-660,660,-1.32,1.32,0.0689320684096587,0.0689320684096587,0,0,0.0091998
0.37,0,0,-0.332163925563073,0,0.214750041435066,0.107149958564934,0,0.3219,0,332.713525269181,2.04761182800439e-05,-660,660,-1.32,1.32,0.0680509667395442,0.0680509667395442,0,0,0.0092858
0.38,0,0,-0.324493220764401,0,0.218033327068941,0.112566672931059,0,0.3306,0,325.778969649225,1.91757696228478e-05,-660,660,-1.32,1.32,0.0671698650694297,0.0671698650694297,0,0,0.0092768
0.39,0,0,-0.317142294607324,0,0.221241504550814,0.118058495449186,0,0.3393,0,319.111086595803,1.80097778610389e-05,-660,660,-1.32,1.32,0.0662887633993152,0.0662887633993152,0,0,0.0091711
0.4,0,0,-0.310098850921856,0,0.224377710186255,0.123622289813745,0,0.348,0,312.70371638611,1.69633404283331e-05,-660,660,-1.32,1.32,0.0654076617292007,0.0654076617292007,0,0,0.0091899
0.41,0,0,-0.302953749751998,0,0.227442973094896,0.129257026905104,0,0.3567,0,306.3668060489,1.60492322294203e-05,-660,660,-1.32,1.32,0.0566359954041536,0.0566359954041536,0,0,0.0090538
0.42,0,0,-0.296100873879271,0,0.23043824612107,0.13496175387893,0,0.3654,0,300.152430195361,1.50870522617197e-05,-660,660,-1.32,1.32,0.0478643290791067,0.0478643290791067,0,0,0.0092189
0.43,0,0,-0.289534571483962,0,0.233366423258713,0.140733576741287,0,0.3741,0,294.135096374899,1.41775182527226e-05,-660,660,-1.32,1.32,0.0390926627540596,0.0390926627540596,0,0,0.0090735
0.44,0,0,-0.283245756120563,0,0.23623032481038,0.14656967518962,0,0.3828,0,288.352770779282,1.33711564984651e-05,-660,660,-1.32,1.32,0.0303209964290126,0.0303209964290126,0,0,0.0092311
0.45,0,0,-0.277223591224131,0,0.239032671463537,0.152467328536462,0,0.3915,0,282.812293354422,1.26716527972803e-05,-660,660,-1.32,1.32,0.0215493301039656,0.0215493301039656,0,0,0.0091173
0.46,0,0,-0.267496952034588,0,0.241756274043058,0.158443725956942,0,0.4002,0,275.677566040307,1.22952445735791e-05,-660,660,-1.32,1.32,0.0172394640831725,0.0172394640831725,0,0,0.0093461
0.47,0,0,-0.2580993657987,0,0.244384255497964,0.164515744502036,0,0.4089,0,267.530699912459,1.05713506002303e-05,-660,660,-1.32,1.32,0.0129295980623793,0.0129295980623793,0,0,0.0091326
0.48,0,0,-0.249077485638227,0,0.246920139624301,0.170679860375699,0,0.4176,0,259.181172143668,8.59495506233543e-06,-660,660,-1.32,1.32,0.00861973204158624,0.00861973204158624,0,0,0.0093955
0.49,0,0,-0.240440649347406,0,0.249367730172171,0.176932269827829,0,0.4263,0,251.076702680439,6.95049440935236e-06,-660,660,-1.32,1.32,0.00430986602079312,0.00430986602079312,0,0,0.0092246
0.5,0,0,-0.232177555857812,0,0.251730821074995,0.183269178925005,0,0.435,0,243.356075961143,5.74684140985937e-06,-660,660,-1.32,1.32,0,0,0,0,0.009239
0.51,0,0,-0.222322014074973,0,0.254003318775613,0.189696681224387,0,0.4437,0,235.114975702018,4.99002283049776e-06,-660,660,-1.32,1.32,0,0,0,0,0.0096226
0.52,0,0,-0.212846539924715,0,0.256179161400158,0.196220838599842,0,0.4524,0,226.605852473527,3.75796616935986e-06,-660,660,-1.32,1.32,0,0,0,0,0.0090283
0.53,0,0,-0.20376348391134,0,0.258262211377925,0.202837788622075,0,0.4611,0,218.198550533503,2.50947235258536e-06,-660,660,-1.32,1.32,0,0,0,0,0.0090509
0.54,0,0,-0.195068147411611,0,0.260256369397345,0.209543630602655,0,0.4698,0,210.096262607723,1.48706992320058e-06,-660,660,-1.32,1.32,0,0,0,0,0.0090792
0.55,0,0,-0.186746465090969,0,0.262165442326892,0.216334557673107,0,0.4785,0,202.357305150479,7.21549312743264e-07,-660,660,-1.32,1.32,0,0,0,0,0.0090603
0.56,0,0,-0.178781683419418,0,0.263993082940655,0.223206917059344,0,0.4872,0,194.972440633923,1.53934294644387e-07,-660,660,-1.32,1.32,-7.90306969005477e-05,-7.90306969005477e-05,0,0,0.0094758
0.57,0,0,-0.171157474762897,0,0.265742778606887,0.230157221393113,0,0.4959,0,187.915663611144,-2.83401917045012e-07,-660,660,-1.32,1.32,-0.000158061393801095,-0.000158061393801095,0,0,0.0093383
0.58,0,0,-0.163858710344978,0,0.267417859411787,0.237182140588213,0,0.5046,0,181.163867395371,-6.38481040482475e-07,-660,660,-1.32,1.32,-0.000237092090701642,-0.000237092090701642,0,0,0.0096365
0.59,0,0,-0.156871326622672,0,0.269021509479958,0.244278490520042,0,0.5133,0,174.699927892536,-9.39283566481208e-07,-660,660,-1.32,1.32,-0.00031612278760219,-0.00031612278760219,0,0,0.0097843
0.6,0,0,-0.150182049508071,0,0.270556776247846,0.251443223752154,0,0.522,0,168.510638665408,-1.2010068815016e-06,-660,660,-1.32,1.32,-0.000395153484502738,-0.000395153484502738,0,0,0.0089094
0.61,0,0,-0.143742475358652,0,0.272026398762628,0.258673601237371,0,0.5307,0,162.568037871271,-1.43084922399339e-06,-660,660,-1.32,1.32,-0.00470974228485871,-0.00470974228485871,0,0,0.0090339
0.62,0,0,-0.137576967159662,0,0.273432995869417,0.265967004130583,0,0.5394,0,156.866681095213,-1.64856538731328e-06,-660,660,-1.32,1.32,-0.00902433108521473,-0.00902433108521473,0,0,0.0094924
0.63,0,0,-0.131674399804693,0,0.27477925260211,0.27332074739789,0,0.5481,0,151.403476569802,-1.84813976034093e-06,-660,660,-1.32,1.32,-0.0133389198855707,-0.0133389198855707,0,0,0.0088311
0.64,0,0,-0.126023790802939,0,0.276067743456611,0.280732256543389,0,0.5568,0,146.172350369394,-2.0273165546314e-06,-660,660,-1.32,1.32,-0.0176535086859268,-0.0176535086859268,0,0,0.0091925
0.65,0,0,-0.12061443775661,0,0.277300934504375,0.288199065495625,0,0.5655,0,141.164786975831,-2.18749323011025e-06,-660,660,-1.32,1.32,-0.0219680974862828,-0.0219680974862828,0,0,0.0093538
0.66,0,0,-0.113484772555661,0,0.278471430429627,0.295728569570373,0,0.5742,0,135.469808142632,-2.26344456422112e-06,-660,660,-1.32,1.32,-0.0280633999073017,-0.0280633999073017,0,0,0.0094663
0.67,0,0,-0.106617778893252,0,0.279571943064086,0.303328056935914,0,0.5829,0,129.370746668428,-3.02042684552362e-06,-660,660,-1.32,1.32,-0.0341587023283206,-0.0341587023283206,0,0,0.009294
0.68,0,0,-0.100032079305974,0,0.280605192236283,0.310994807763717,0,0.5916,0,123.26301927492,-3.9104606202045e-06,-660,660,-1.32,1.32,-0.0402540047493394,-0.0402540047493394,0,0,0.0091569
0.69,0,0,-0.0937280683995922,0,0.281573992860138,0.318726007139862,0,0.6003,0,117.36338667199,-4.6423323638578e-06,-660,660,-1.32,1.32,-0.0463493071703583,-0.0463493071703583,0,0,0.0091132
0.7,0,0,-0.0876961486850382,0,0.282481113834962,0.326518886165038,0,0.609,0,111.736220560968,-5.16157112429028e-06,-660,660,-1.32,1.32,-0.0524446095913772,-0.0524446095913772,0,0,0.0091429
0.71,0,0,-0.0791678894318307,0,0.283315433867714,0.334384566132286,0,0.6177,0,105.102163475007,-5.43400108199421e-06,-660,660,-1.32,1.32,-0.0541729924370621,-0.0541729924370621,0,0,0.0092217
0.72,0,0,-0.0709456280309725,0,0.284066001301239,0.342333998698761,0,0.6264,0,97.8513364046812,-6.58228758254609e-06,-660,660,-1.32,1.32,-0.0559013752827469,-0.0559013752827469,0,0,0.0088137
0.73,0,0,-0.0630577905158989,0,0.284736018244944,0.350363981755056,0,0.6351,0,90.5346687249839,-7.87179047279096e-06,-660,660,-1.32,1.32,-0.0576297581284318,-0.0576297581284318,0,0,0.0092076
0.74,0,0,-0.055507406089387,0,0.285328844083946,0.358471155916054,0,0.6438,0,83.456272598356,-8.91338549990905e-06,-660,660,-1.32,1.32,-0.0593581409741167,-0.0593581409741167,0,0,0.0099497
0.75,0,0,-0.048283485134565,0,0.285847798401013,0.366652201598988,0,0.6525,0,76.7083944715559,-9.64126389035869e-06,-660,660,-1.32,1.32,-0.0610865238198015,-0.0610865238198015,0,0,0.0093368
0.76,0,0,-0.040589794558652,0,0.286292164650033,0.374907835349967,0,0.6612,0,69.9241749551147,-1.01087010868639e-05,-660,660,-1.32,1.32,-0.0610865238198015,-0.0610865238198015,0,0,0.008988
0.77,0,0,-0.0332090133890486,0,0.286661158545095,0.383238841454905,0,0.6699,0,63.1904872972518,-1.07017864330317e-05,-660,660,-1.32,1.32,-0.0610865238198015,-0.0610865238198015,0,0,0.0092948
0.78,0,0,-0.0261388064595042,0,0.286957897504547,0.391642102495453,0,0.6786,0,56.6430535744876,-1.12630999034025e-05,-660,660,-1.32,1.32,-0.0610865238198015,-0.0610865238198015,0,0,0.0094256
0.79,0,0,-0.0193705821481014,0,0.287185444312663,0.400114555687337,0,0.6873,0,50.3543977467343,-1.17113711439742e-05,-660,660,-1.32,1.32,-0.0610865238198015,-0.0610865238198015,0,0,0.0093038
0.8,0,0,-0.0128924057558316,0,0.287346759122033,0.408653240877967,0,0.696,0,44.3413134943694,-1.20430421191031e-05,-660,660,-1.32,1.32,-0.0610865238198015,-0.0610865238198015,0,0,0.0095986
