step,fx,fy,fz,gx,gy,gz,theta_tcn,theta_fuzzyakf,accel_weight,accel_norm,fuzzy_innovation,fuzzy_nis,min_covariance_eigenvalue,gyro_energy,gyro_vibration_feature,P_tcn_base,P_tcn,P_fuzzyakf_total,cross_error_total,S,NIS,innovation,K_raw,K_eff,Kmax,NIS_weight,quality_weight,correction_prev,correction,target_correction,theta_fused,theta_tcn_abs,fallback,fallback_reason_code,innovation_gate_flag,innovation_min_gate,slope_gate,nis_downweight_flag,nis_reject_flag,Kmax_cap_flag,rate_limit_flag,observer_valid,tcn_ready,regime_index,quality_score,quality_bin,p_help,v7_gate,label_main,label_turn,conf_main
1,0.317454603056547,0.000357110462621563,9.74838111485603,-0.00197145617050242,-0.0026170083974343,-0.00287907575354159,0,0.0325422139306314,0.527392412378362,9.75354868306974,2.61700839743403e-05,3.2290616365639e-07,9.99990961071842e-05,9.5122247895424e-07,0.00278658957524264,0.00284980193900787,0.00284980193900787,0.000178637123814681,-0.000232247604340901,0.00349293427150435,0.303182254572139,0.0325422139306314,0.88236688806096,0,1,1,0,0,0,0,0,0,1,66,0,1,0,0,0,0,0,1,0,1,0.399254785325072,1,0.793194343476534,1,1,0,1
2,0.496780295780677,-0.0445809564521833,9.69384581037724,-0.000205768133878279,0.00153041954052179,-0.00347965742034346,0,0.0347389797099048,0.121637264463614,9.70666908467176,0.0186446670639951,0.0784442143984624,9.99946427840524e-05,1.62828836790063e-06,0.00364584008728385,0.00284980193900787,0.00284980193900787,0.000178637123814681,-0.000232247604340901,0.00349293427150435,0.345496541727202,0.0347389797099048,0.88236688806096,0,1,1,0,0,0,0,0,0,1,98,0,1,0,0,0,0,0,1,0,1,0.484360830695564,1,0.465284537263612,0,1,0,1
3,0.791270868800729,0.000845114995644918,9.74162386951101,-9.69847969871556e-05,0.000329530501958372,-0.00153211573048838,0,0.0374454385186507,0.064445449270165,9.77370686674502,0.0463055031245164,0.273376068622723,9.99847602505024e-05,1.67014270021447e-06,0.00369240002720919,0.00109083141996135,0.00109083141996135,0.00134905366903603,-6.29966043373888e-05,0.00256587829767216,0.546464291438193,0.0374454385186507,0.449681508801695,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.550368192107213,2,0.465284537263612,0,1,0,1
4,1.09612753598446,-0.0005302776612888,9.81357621009216,-0.000562410942108646,-0.000279724622549792,5.84716262485731e-05,0,0.0402367895008448,0.0434397355972981,9.87460246732113,0.0737911319336074,0.47814284999091,9.99688196123872e-05,1.60653410837076e-06,0.00362140361599828,0.00109083141996135,0.00109083141996135,0.00134905366903603,-6.29966043373888e-05,0.00256587829767216,0.630972728053431,0.0402367895008448,0.449681508801695,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.635935985702004,2,0.465284537263612,0,1,0,1
5,1.45863119749005,0.0472553745856043,9.81576029778149,0.000662886330432849,0.000441191099019071,0.000954711431722751,0,0.0440368438228377,0.0420690364614895,9.92365800822569,0.107279795319014,0.981253573485843,9.9946407411599e-05,1.60348449249175e-06,0.003617964804481,0.00109083141996135,0.00109083141996135,0.00134905366903603,-6.29966043373888e-05,0.00256587829767216,0.755781603373918,0.0440368438228377,0.449681508801695,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.748795641454579,2,0.465284537263612,0,1,0,1
6,1.68349535267929,0.0229235431621646,9.78534229414006,0.00234687910036798,0.00212941606599091,-0.00110414157228006,0,0.0483603890357087,0.0419134507783408,9.92912916145269,0.126315773572359,1.35720960091243,9.99171250966215e-05,2.08637941314123e-06,0.00412694423014219,0.00109083141996135,0.00109083141996135,0.00134905366903603,-6.29966043373888e-05,0.00256587829767216,0.911472391269241,0.0483603890357087,0.449681508801695,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.797146376192014,2,0.465284537263612,0,1,0,1
7,1.88532241621385,0.088453692238511,9.79405200773411,-3.62465077845309e-05,0.000700577293885239,0.000449707417041494,0,0.0529127534630757,0.0407364684480642,9.97425282409412,0.141801841114161,1.66581748828879,9.98805729765446e-05,2.01677839823298e-06,0.00405752352161173,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,1.34661513371777,0.0529127534630757,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.82336985501193,3,0.457122741536033,0,1,0,1
8,2.07840509102492,0.0506616888994458,9.79107941227888,0.000501509763895303,-0.00190970447683284,-0.000347191632764739,0,0.0576485806520156,0.0398629557340801,10.009374125622,0.156274855045066,1.98316664119722,9.9836352708099e-05,2.11689074142031e-06,0.0041570110351415,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,1.59845349476867,0.0576485806520156,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.845112409482027,3,0.43026351048902,0,1,0,1
9,2.26484243859121,-0.0171110638675803,9.74522701576799,-0.00042463484875258,0.00256391079636546,0.00242099426100012,0,0.0627288825503719,0.0399634622095509,10.0049614516501,0.170674637574834,2.37343501113749,9.97840524479833e-05,2.64180453126379e-06,0.00464389397764665,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,1.89259578883238,0.0627288825503719,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.867155939766948,3,0.43026351048902,0,1,0,1
10,2.40785172334054,0.00660938940521568,9.77445944598764,0.00211790931862739,0.000933122083428453,-0.0011123650282746,0,0.0677021729181369,0.038509004813365,10.0666703068532,0.178790085726492,2.51452243190886,9.97232838507411e-05,2.83939493773255e-06,0.00481442978820668,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,2.20459075881644,0.0677021729181369,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.874855256470961,3,0.477530798186493,0,1,0,1
11,2.44323182980929,-0.0382802965588479,9.80120506681492,-0.00272381692456258,0.00184685312958793,-0.00168120603807188,0,0.0724010832980707,0.0377357811471312,10.1012112103973,0.176574112588696,2.40645631480579,9.96536513364618e-05,3.3802501340085e-06,0.00525298759231043,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,2.5212324951063,0.0724010832980707,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.869027753319083,3,0.417582458732279,0,1,0,1
12,2.50870827580944,-0.00426715735597407,9.79180426528058,-0.00159180299732807,0.000243511499168902,0.00125430558271486,0,0.0769964018678484,0.0375866563291552,10.1080693602346,0.178400325097885,2.44871536728779,9.95747459957344e-05,3.41955848367607e-06,0.00528344235627205,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,2.85143599974305,0.0769964018678484,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.871400192064328,3,0.366839345141245,0,1,0,1
13,2.55607369521499,-0.00976536151366385,9.76866648178147,0.00187389767653828,-0.00139006945382583,-0.000783559704714693,0,0.0815042116124146,0.037814044676869,10.0975468768378,0.178932767705995,2.47948151496832,9.94861429956075e-05,3.55146812946465e-06,0.00538438265421937,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,3.19508832969533,0.0815042116124146,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.873015505289318,3,0.417582458732279,0,1,0,1
14,2.56524513863951,0.066127270823675,9.77624824167051,-0.000996801492420133,-0.000329587292176694,0.00118795396644809,0,0.085797693638619,0.0375999646536632,10.1074173318423,0.175100887461432,2.36277301473004,9.93874361116845e-05,3.49956850423418e-06,0.00534489533639469,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,3.54057659677451,0.085797693638619,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.866574419822173,3,0.366839345141245,0,1,0,1
