t_s,e_y,e_psi,e_v,e_omega,xy_error,X,Y,X_ref,Y_ref,F_cmd,omega_cmd,F_limit_lo,F_limit_hi,omega_limit_lo,omega_limit_hi,theta_true,theta_ref,theta_imu_raw,theta_sched,solve_time_ms
0,0,0,-0.93,0,0,0,0,0,0,75.5898533957079,8.62785238382457e-05,-660,660,-1.32,1.32,0,0,0,0,4.7111713
0.01,0,0,-0.927872164124147,0,0.00928936082056727,1.06391794325309e-05,0,0.0092999999999998,-1.11428879999995e-10,158.630262979306,1.59081477448808e-05,-660,660,-1.32,1.32,-3.0551784025389e-06,-3.0551784025389e-06,0,0,0.0099703
0.02,0,0,-0.921916405638101,0,0.0185383036686628,6.16963313367644e-05,0,0.0185999999999996,-2.2285775999999e-10,236.071130738594,0.000232592255258623,-660,660,-1.32,1.32,-6.1103568050778e-06,-6.1103568050778e-06,0,0,0.0093037
0.03,0,0,-0.912390848882598,0,0.0277098399383869,0.000190160061612456,0,0.0278999999999994,-3.34286639999986e-10,304.670109906234,0.000213422318012135,-660,660,-1.32,1.32,-9.16553520761671e-06,-9.16553520761671e-06,0,0,0.008963
0.04,0,0,-0.899703083205541,0,0.0367703095916768,0.00042969040832239,0,0.0371999999999992,-4.45715519999981e-10,364.527932324447,0.00025614609700142,-660,660,-1.32,1.32,-1.22207136101556e-05,-1.22207136101556e-05,0,0,0.0094867
0.05,-3.54582705414636e-09,8.97999999999981e-08,-0.88425605722824,7.475e-06,0.045690105280027,0.000809894719971969,0,0.046499999999999,-5.57144399999976e-10,416.17782995943,0.000275588958061235,-660,660,-1.32,1.32,-1.52758920126945e-05,-1.52758920126945e-05,0,0,0.008962
0.06,-3.49674363722276e-09,8.97999999999981e-08,-0.86642676044538,7.475e-06,0.0544435193454651,0.00135648065453319,0,0.0557999999999982,-3.44815727999975e-09,459.89811319951,0.000280947183597391,-660,660,-1.32,1.32,-2.43902945273817e-05,-2.43902945273817e-05,0,0,0.0085572
0.07,-3.43074462104403e-09,8.97999999999981e-08,-0.84658211907107,7.475e-06,0.0630085637087303,0.00209143629126743,0,0.0650999999999974,-6.33917015999953e-09,495.840724118985,0.000278911290934047,-660,660,-1.32,1.32,-3.35046970420689e-05,-3.35046970420689e-05,0,0,0.0084779
0.08,-3.34618121183164e-09,8.97999999999981e-08,-0.825080676175433,7.475e-06,0.0713668776373222,0.00303312236267498,0,0.0743999999999966,-9.2301830399993e-09,524.246154137887,0.000271157315864912,-660,660,-1.32,1.32,-4.26190995567561e-05,-4.26190995567561e-05,0,0,0.0086453
0.09,-3.24172161085069e-09,8.97999999999981e-08,-0.802269890919211,7.475e-06,0.0795036304103624,0.00419636958963428,0,0.0836999999999958,-1.21211959199991e-08,545.536801197566,0.000259228115425003,-660,660,-1.32,1.32,-5.17335020714433e-05,-5.17335020714433e-05,0,0,0.0089049
0.1,-5.93670914673855e-08,8.50949999999982e-07,-0.778477752586402,2.98e-05,0.0874073685497275,0.0055926314502688,0,0.092999999999995,-1.50122087999989e-08,560.303768106736,0.000247220386228264,-660,660,-1.32,1.32,-6.08479045861304e-05,-6.08479045861304e-05,0,0,0.0090749
0.11,-5.79735698554818e-08,8.50949999999982e-07,-0.754000881493245,2.98e-05,0.0950697616258044,0.00723023837418195,0,0.102299999999982,-2.96828806799897e-08,569.246188499965,0.00023125193806095,-660,660,-1.32,1.32,-7.59448321735716e-05,-7.59448321735716e-05,0,0,0.0084609
0.12,-5.63700089256639e-08,8.50949999999982e-07,-0.729111913403587,2.98e-05,0.102485325489927,0.00911467451005148,0,0.111599999999968,-4.43535525599806e-08,573.111527004279,0.000213832135074199,-660,660,-1.32,1.32,-9.10417597610128e-05,-9.10417597610128e-05,0,0,0.0085323
0.13,-5.45538977962961e-08,8.50949999999982e-07,-0.704044906091173,2.98e-05,0.109651109461518,0.0112488905384527,0,0.120899999999955,-5.90242244399715e-08,572.644317545928,0.000195940682118589,-660,660,-1.32,1.32,-0.000106138687348454,-0.000106138687348454,0,0,0.008494
0.14,-5.25245712704156e-08,8.50949999999982e-07,-0.678999595631436,2.98e-05,0.116566331829594,0.0136336681703708,0,0.130199999999942,-7.36948963199625e-08,568.552119352855,0.000178242535554318,-660,660,-1.32,1.32,-0.000121235614935895,-0.000121235614935895,0,0,0.0085656
0.15,-2.84158742704155e-07,3.02294999999994e-06,-0.654143100466439,6.6825e-05,0.123232045156015,0.0162679548439456,0,0.139499999999929,-8.83655681999533e-08,561.485331722535,0.000162416712811364,-660,660,-1.32,1.32,-0.000136332542523336,-0.000136332542523336,0,0,0.0084474
0.16,-2.75448849822211e-07,3.02294999999994e-06,-0.629605729047402,6.6825e-05,0.129650789137171,0.0191492108627209,0,0.148799999999826,-1.30665424079777e-07,552.024014421739,0.000147637621495278,-660,660,-1.32,1.32,-0.000157335296144137,-0.000157335296144137,0,0,0.008733
0.17,-2.66003799692249e-07,3.02294999999994e-06,-0.605504703187384,6.6825e-05,0.13582634112111,0.0222736588787239,0,0.158099999999724,-1.72965279959601e-07,540.680881359614,0.000133118583249825,-660,660,-1.32,1.32,-0.000178338049764938,-0.000178338049764938,0,0,0.0086802
0.18,-2.55838094158362e-07,3.02294999999994e-06,-0.581926781292898,6.6825e-05,0.141763498356905,0.0256365016428791,0,0.167399999999621,-2.15265135839425e-07,527.899044879712,0.000119330646128901,-660,660,-1.32,1.32,-0.000199340803385739,-0.000199340803385739,0,0,0.0084599
0.19,-2.44968548964625e-07,3.02294999999994e-06,-0.558938293827006,6.6825e-05,0.147467823537977,0.0292321764617661,0,0.176699999999519,-2.57564991719249e-07,514.055028506555,0.000106511483323857,-660,660,-1.32,1.32,-0.00022034355700654,-0.00022034355700654,0,0,0.0085449
0.2,-8.22418318483389e-07,7.33779999999984e-06,-0.53658821288787,0.0001184,0.152945455870512,0.0330545441291982,0,0.185999999999416,-2.99864847599073e-07,499.464495935477,9.38573048756552e-05,-660,660,-1.32,1.32,-0.000241346310627341,-0.000241346310627341,0,0,0.0086382
0.21,-7.92754881580543e-07,7.33779999999984e-06,-0.51490146005222,0.0001184,0.158202904028651,0.0370970959707737,0,0.195299999998938,-3.92423112477365e-07,484.384778299369,8.49241135369994e-05,-660,660,-1.32,1.32,-0.000268178191242107,-0.000268178191242107,0,0,0.0086504
0.22,-7.61525626946696e-07,7.33779999999984e-06,-0.493910088594153,0.0001184,0.163246961561437,0.041353038437743,0,0.204599999998459,-4.84981377355658e-07,469.031510912813,7.61140511542635e-05,-660,660,-1.32,1.32,-0.000295010071856874,-0.000295010071856874,0,0,0.0102408
0.23,-7.28782043075145e-07,7.33779999999984e-06,-0.473626712376605,0.0001184,0.168084645353124,0.0458153546458498,0,0.213899999997981,-5.7753964223395e-07,453.580284514464,6.77683829621856e-05,-660,660,-1.32,1.32,-0.00032184195247164,-0.00032184195247164,0,0,0.0085647
0.24,-6.94576247020301e-07,7.33779999999984e-06,-0.454055849697797,0.0001184,0.172723057948669,0.0504769420501334,0,0.223199999997503,-6.70097907112242e-07,438.171369590796,6.00477276293532e-05,-660,660,-1.32,1.32,-0.000348673833086406,-0.000348673833086406,0,0,0.0089618
0.25,-1.80984227799327e-06,1.45199999999997e-05,-0.4351955515756,0.000184375,0.17716931473951,0.0553306852591556,0,0.232499999997025,-7.62656171990535e-07,422.915300049819,4.95079941629228e-05,-660,660,-1.32,1.32,-0.000375505713701173,-0.000375505713701173,0,0,0.0094345
0.26,-1.73667760590065e-06,1.45199999999997e-05,-0.417026638955239,0.000184375,0.181430425475889,0.0603695745219097,0,0.241799999995391,-9.3481202085995e-07,407.892513641156,4.5014839400892e-05,-660,660,-1.32,1.32,-0.00040809002227051,-0.00040809002227051,0,0,0.0093267
0.27,-1.66092510245283e-06,1.45199999999997e-05,-0.399550491408281,0.000184375,0.185513310912444,0.0655866890846154,0,0.251099999993757,-1.10696786972937e-06,393.170588233508,4.02355692585843e-05,-660,660,-1.32,1.32,-0.000440674330839848,-0.000440674330839848,0,0,0.0091642
0.28,-1.58268435016494e-06,1.45199999999997e-05,-0.382753238640915,0.000184375,0.18942482934911,0.070975170647332,0,0.260399999992124,-1.27912371859878e-06,378.801357709803,3.55082817691255e-05,-660,660,-1.32,1.32,-0.000473258639409185,-0.000473258639409185,0,0,0.0103939
0.29,-1.50205274405919e-06,1.45199999999997e-05,-0.366618620207791,0.000184375,0.193171688432041,0.0765283115639008,0,0.26969999999049,-1.4512795674682e-06,364.82217719499,3.10115108277387e-05,-660,660,-1.32,1.32,-0.000505842947978522,-0.000505842947978522,0,0,0.0097399
