metric,path_id,baseline_mean,fusion_mean,effect_moderntcn_minus_fusion_mean,fusion_case_wins,ties,fusion_case_losses
ey_rmse,p01_factory_logistics_showcase,0.03660541963108099,0.01870679298433342,0.017898626646747573,6,0,4
ey_rmse,p02_sharp_turn_transition,0.04241563343859599,0.02907194078055243,0.013343692658043558,9,0,1
ey_rmse,p03_long_updown,0.037870147517439175,0.03136442629649966,0.006505721220939516,7,0,3
ey_rmse,p04_soft_updown_straight_turn,0.003955013058945628,0.003943168881851707,1.1844177093920348e-05,1,9,0
ey_rmse,p05_factory_flat_logistics,0.017531567322817965,0.016185066497477002,0.0013465008253409608,3,7,0
ey_rmse,p06_downhill_after_turn,0.019715913367996198,0.014194547246546943,0.005521366121449255,10,0,0
epsi_rmse,p01_factory_logistics_showcase,0.034654956228130425,0.02238121184213018,0.012273744386000242,7,0,3
epsi_rmse,p02_sharp_turn_transition,0.03139234217657907,0.03180065166890571,-0.0004083094923266344,6,0,4
epsi_rmse,p03_long_updown,0.025675510100643978,0.027312950720032935,-0.0016374406193889568,3,0,7
epsi_rmse,p04_soft_updown_straight_turn,0.008113135260347123,0.008111445463693646,1.6897966534744692e-06,1,9,0
epsi_rmse,p05_factory_flat_logistics,0.014109759066605016,0.013560439283360792,0.0005493197832442238,2,7,1
epsi_rmse,p06_downhill_after_turn,0.019022302652685424,0.012798938204726617,0.006223364447958806,10,0,0
j_du,p01_factory_logistics_showcase,1.5364842995715127,0.1857965741207049,1.3506877254508078,9,0,1
j_du,p02_sharp_turn_transition,0.9844304242890637,0.7084126934251849,0.27601773086387865,8,0,2
j_du,p03_long_updown,1.8090184640417217,1.7978976885558882,0.011120775485833522,4,0,6
j_du,p04_soft_updown_straight_turn,0.3066988398780176,0.30645219020901127,0.00024664966900635464,1,9,0
j_du,p05_factory_flat_logistics,0.437578019471138,0.5100007844236718,-0.07242276495253375,1,7,2
j_du,p06_downhill_after_turn,0.5089745348353538,0.5331274477296776,-0.024152912894323725,1,0,9
