method_id,method_label,seed,path_id,path_label,n_samples,duration_s,mae_deg,p95_abs_error_deg,raw_result_file
modern_tcn_delta_bank_124,ModernTCN-delta,1,p01_factory_logistics_showcase,P1 Factory logistics,24583,245.82,0.352974230355,1.18504827364,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\30_rhofmd_lag_rescreen\04_full_closed_loop\db124\s1\path_factory_logistics_showcase_theta10_v10\delta_bank_124_seed1_out.mat
modern_tcn_delta_bank_124,ModernTCN-delta,1,p02_sharp_turn_transition,P2 Sharp-turn transition,5201,52,0.501714598187,1.48741261574,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\30_rhofmd_lag_rescreen\04_full_closed_loop\db124\s1\path_closed_loop_sharp_turn_transition_theta10_v1\delta_bank_124_seed1_out.mat
modern_tcn_delta_bank_124,ModernTCN-delta,1,p03_long_updown,P3 Long up/down slope,4401,44,0.631241272463,1.85348515625,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\30_rhofmd_lag_rescreen\04_full_closed_loop\db124\s1\path_closed_loop_long_updown_theta10_v1\delta_bank_124_seed1_out.mat
modern_tcn_delta_bank_124,ModernTCN-delta,1,p04_soft_updown_straight_turn,P4 Mild slope-turn coupling,5601,56,0.0166951978219,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\30_rhofmd_lag_rescreen\04_full_closed_loop\db124\s1\path_modern_tcn_showcase_candidate_soft_updown_straight_turn_v1\delta_bank_124_seed1_out.mat
modern_tcn_delta_bank_124,ModernTCN-delta,1,p05_factory_flat_logistics,P5 Flat factory logistics,19001,190,0,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\30_rhofmd_lag_rescreen\04_full_closed_loop\db124\s1\path_modern_tcn_showcase_candidate_factory_flat_logistics_safe_190_v1\delta_bank_124_seed1_out.mat
modern_tcn_delta_bank_124,ModernTCN-delta,1,p06_downhill_after_turn,P6 Downhill recovery,3801,38,0.617579574986,1.36507696875,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\30_rhofmd_lag_rescreen\04_full_closed_loop\db124\s1\path_factory_target_downhill_straight_after_turn_v1\delta_bank_124_seed1_out.mat
modern_tcn_delta_bank_124,ModernTCN-delta,7,p01_factory_logistics_showcase,P1 Factory logistics,24583,245.82,0.566768749853,2.23532166237,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\30_rhofmd_lag_rescreen\04_full_closed_loop\db124\s7\path_factory_logistics_showcase_theta10_v10\delta_bank_124_seed7_out.mat
modern_tcn_delta_bank_124,ModernTCN-delta,7,p02_sharp_turn_transition,P2 Sharp-turn transition,5201,52,0.672229673258,1.93573076262,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\30_rhofmd_lag_rescreen\04_full_closed_loop\db124\s7\path_closed_loop_sharp_turn_transition_theta10_v1\delta_bank_124_seed7_out.mat
modern_tcn_delta_bank_124,ModernTCN-delta,7,p03_long_updown,P3 Long up/down slope,4401,44,0.732288467352,1.97247942756,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\30_rhofmd_lag_rescreen\04_full_closed_loop\db124\s7\path_closed_loop_long_updown_theta10_v1\delta_bank_124_seed7_out.mat
modern_tcn_delta_bank_124,ModernTCN-delta,7,p04_soft_updown_straight_turn,P4 Mild slope-turn coupling,5601,56,0.0166951978219,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\30_rhofmd_lag_rescreen\04_full_closed_loop\db124\s7\path_modern_tcn_showcase_candidate_soft_updown_straight_turn_v1\delta_bank_124_seed7_out.mat
