record_type,controller_id,controller_label,path_id,path_label,t_s,distance_m,theta_true_deg,theta_sched_deg,e_y_m,e_psi_rad,F_cmd_N,omega_cmd_rad_s,cumulative_j_du,included_in_metric,contrast_id,priority,target,comparator,metric,target_value,comparator_value,effect_comparator_minus_target,relative_effect_pct,target_to_comparator_ratio,positive_favors_target,contrast_label,estimate,bootstrap_mean,ci95_low,ci95_high,iterations,random_seed,n_paths
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0,0,0,0,0,0,72.75016823,8.098724354e-05,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.01,0.008799920593,0,0,0,0,151.7763903,1.667873174e-05,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.02,0.01759984119,0,0,0,0,225.1091981,0.0002193708801,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.03,0.02639976178,0,0,0,0,289.95975,0.0002029071398,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.04,0.03519968237,0,0,0,0,346.5429383,0.0002420211481,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.05,0.04399960296,0,0,0,0,395.3805085,0.0002572668546,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.06,0.05279893437,0,0,0,0,436.7365766,0.000262727729,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.07,0.06159826578,0,0,0,0,470.7445237,0.0002608982597,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.08,0.07039759719,0,0,0,0,497.6241473,0.0002536384696,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.09,0.07919692859,0,0,0,0,517.7717734,0.0002424300499,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.1,0.08799626,0,0,0,0,531.7120507,0.0002285159647,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.11,0.09679436667,0,0,0,0,540.151066,0.0002128756132,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.12,0.1055924733,0,0,0,0,543.8012899,0.0001964031478,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.13,0.11439058,0,0,0,0,543.3610893,0.0001797412995,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.14,0.1231886867,0,0,0,0,539.4943247,0.000163369527,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.15,0.1319867933,0,0,0,0,532.7482195,0.0001476466935,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.16,0.1407830619,0,0,0,0,523.7584858,0.0001327219271,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.17,0.1495793305,0,0,0,0,513.0184579,0.0001188483068,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.18,0.1583755991,0,0,0,0,500.934235,0.0001060818845,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.19,0.1671718677,0,0,0,0,487.8507199,9.44258971e-05,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.2,0.1759681363,0,0,0,0,473.964833,8.387353056e-05,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.21,0.1847619757,0,0,0,0,459.6492361,7.426159773e-05,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.22,0.1935558151,0,0,0,0,445.1193528,6.568600232e-05,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.23,0.2023496545,0,0,0,0,430.5213147,5.805071938e-05,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.24,0.2111434939,0,0,0,0,415.970923,5.125586343e-05,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.25,0.2199373333,0,0,0,0,401.4395334,4.523740104e-05,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.26,0.2287281747,0,0,0,0,387.1719847,3.977303406e-05,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.27,0.237519016,0,0,0,0,373.2466863,3.499302373e-05,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.28,0.2463098573,0,0,0,0,359.686366,3.079895011e-05,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.29,0.2551006987,0,0,0,0,346.5043052,2.709878042e-05,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.3,0.26389154,0,0,0,0,333.5621643,2.384942839e-05,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.31,0.2726788366,0,0,0,0,321.0745054,2.082738804e-05,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.32,0.2814661332,0,0,0,0,309.0695498,1.822854999e-05,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.33,0.2902534298,0,0,0,0,297.521529,1.597336699e-05,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.34,0.2990407264,0,0,0,0,286.4045855,1.398837778e-05,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.35,0.307828023,0,0,0,0,275.525371,1.225338031e-05,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.36,0.3166112504,0,0,0,0,265.1099408,1.054455608e-05,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.37,0.3253944778,0,0,0,0,255.1726468,9.11459931e-06,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.38,0.3341777052,0,0,0,0,245.6696227,7.895639969e-06,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.39,0.3429609326,0,0,0,0,236.560767,6.824495914e-06,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.4,0.35174416,0,0,0,0,227.6192992,5.893998521e-06,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.41,0.360522816,0,0,0,0,219.0971929,4.873746919e-06,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.42,0.369301472,0,0,0,0,211.0079853,4.061894048e-06,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.43,0.378080128,0,0,0,0,203.300648,3.394443427e-06,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.44,0.386858784,0,0,0,0,195.9296149,2.811293514e-06,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.45,0.39563744,0,0,0,0,188.6428181,2.310789414e-06,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.46,0.4044110446,0,0,0,0,181.7219513,1.652155818e-06,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.47,0.4131846492,0,0,0,0,175.1838934,1.171157196e-06,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.48,0.4219582538,0,0,0,0,168.9740769,8.030338154e-07,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.49,0.4307318584,0,0,0,0,163.0443054,4.866794274e-07,,False,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.5,0.439505463,0,0,0,0,157.1204654,2.215418835e-07,0,True,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.51,0.4482735584,0,0,0,0,151.5140272,-2.448197716e-07,0.007225781266,True,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.52,0.4570416538,0,0,0,0,146.2462324,-5.44078878e-07,0.01360501408,True,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.53,0.4658097492,0,0,0,0,141.2600412,-7.44102179e-07,0.01932043989,True,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.54,0.4745778446,0,0,0,0,136.5054101,-9.090221464e-07,0.0245173403,True,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.55,0.48334594,0,0,0,0,131.6877361,-1.04073956e-06,0.02985296863,True,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.56,0.4921080907,0,0,0,0,127.1470945,-1.403236679e-06,0.03459260681,True,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.57,0.5008702413,0,0,0,0,122.9090741,-1.599069412e-06,0.03872153019,True,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.58,0.509632392,0,0,0,0,118.9143942,-1.700284008e-06,0.04238991346,True,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.59,0.5183945427,0,0,0,0,115.1112883,-1.774948975e-06,0.04571488232,True,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.6,0.5271566933,0,0,0,0,111.1856832,-1.827687404e-06,0.04925749746,True,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.61,0.5359124859,0,0,0,0,107.5047282,-2.133229954e-06,0.05237230892,True,,,,,,,,,,,,,,,,,,,
trajectory,ZS_LPV_MPC,Zero-grade,p03_long_updown,P3,0.62,0.5446682785,0,0,0,0,104.0980396,-2.267603689e-06,0.05504024609,True,,,,,,,,,,,,,,,,,,,
