method_id,method_label,method_order,seed,grade_mae_deg,p95_abs_error_deg
modern_tcn_delta_bank_124,ModernTCN-delta,0,1,0.5640103534,1.719741528
modern_tcn_delta_bank_124,ModernTCN-delta,0,7,0.5733422854,1.671545792
modern_tcn_delta_bank_124,ModernTCN-delta,0,11,0.6102967135,1.735848608
modern_tcn_delta_bank_124,ModernTCN-delta,0,21,0.5188886395,1.410734272
modern_tcn_delta_bank_124,ModernTCN-delta,0,42,0.5821501846,1.758211828
modern_tcn_delta_bank_124,ModernTCN-delta,0,73,0.5947506451,1.565066598
modern_tcn_delta_bank_124,ModernTCN-delta,0,101,0.5610719202,1.587545458
modern_tcn_delta_bank_124,ModernTCN-delta,0,202,0.7087790897,1.795851527
modern_tcn_delta_bank_124,ModernTCN-delta,0,340,0.5734636325,1.710546813
modern_tcn_delta_bank_124,ModernTCN-delta,0,520,0.7020882462,1.822657431
modern_tcn_22d,ModernTCN-22D,1,1,0.7672754509,2.055317473
modern_tcn_22d,ModernTCN-22D,1,7,0.6812975984,1.892673367
modern_tcn_22d,ModernTCN-22D,1,11,0.6630845111,1.730483975
modern_tcn_22d,ModernTCN-22D,1,21,0.6184027337,1.757248872
modern_tcn_22d,ModernTCN-22D,1,42,0.6701116679,1.869561567
modern_tcn_22d,ModernTCN-22D,1,73,0.587539389,1.634296822
modern_tcn_22d,ModernTCN-22D,1,101,0.5687614422,1.527783757
modern_tcn_22d,ModernTCN-22D,1,202,0.7392885236,2.123269104
modern_tcn_22d,ModernTCN-22D,1,340,0.6347800857,1.764814053
modern_tcn_22d,ModernTCN-22D,1,520,0.5994871626,1.707197832
gru_22d,GRU-22D,2,1,1.011032396,2.350827315
gru_22d,GRU-22D,2,7,0.9454165267,2.581456963
gru_22d,GRU-22D,2,11,0.8404109375,2.073971387
gru_22d,GRU-22D,2,21,0.7803950594,2.047026904
gru_22d,GRU-22D,2,42,0.9286960711,2.143432583
gru_22d,GRU-22D,2,73,1.110437497,2.907066048
gru_22d,GRU-22D,2,101,0.8088671268,2.106512943
gru_22d,GRU-22D,2,202,0.6370455844,1.81306411
gru_22d,GRU-22D,2,340,0.8109447878,2.183000749
gru_22d,GRU-22D,2,520,0.9850425316,2.38864055
tcn_22d,TCN-22D,3,1,1.001504391,2.694284551
tcn_22d,TCN-22D,3,7,0.9175396365,2.209464784
tcn_22d,TCN-22D,3,11,1.053820599,2.649838803
tcn_22d,TCN-22D,3,21,0.869687695,2.858282316
tcn_22d,TCN-22D,3,42,0.969404107,2.937308765
tcn_22d,TCN-22D,3,73,0.7714682206,2.651452862
tcn_22d,TCN-22D,3,101,0.892992903,2.142885528
tcn_22d,TCN-22D,3,202,0.8803098435,2.262214015
tcn_22d,TCN-22D,3,340,0.9650134024,3.658115891
tcn_22d,TCN-22D,3,520,0.8319504944,2.29411412
