method_id,method_label,method_order,seed,metric_id,value_deg
modern_tcn_delta_bank_124,ModernTCN-delta,0,1,grade_mae_abs_le_10_deg,0.564010353412906
modern_tcn_delta_bank_124,ModernTCN-delta,0,7,grade_mae_abs_le_10_deg,0.573342285414087
modern_tcn_delta_bank_124,ModernTCN-delta,0,11,grade_mae_abs_le_10_deg,0.610296713539698
modern_tcn_delta_bank_124,ModernTCN-delta,0,21,grade_mae_abs_le_10_deg,0.518888639453515
modern_tcn_delta_bank_124,ModernTCN-delta,0,42,grade_mae_abs_le_10_deg,0.582150184564468
modern_tcn_delta_bank_124,ModernTCN-delta,0,73,grade_mae_abs_le_10_deg,0.594750645058873
modern_tcn_delta_bank_124,ModernTCN-delta,0,101,grade_mae_abs_le_10_deg,0.56107192022388
modern_tcn_delta_bank_124,ModernTCN-delta,0,202,grade_mae_abs_le_10_deg,0.708779089692493
modern_tcn_delta_bank_124,ModernTCN-delta,0,340,grade_mae_abs_le_10_deg,0.573463632536691
modern_tcn_delta_bank_124,ModernTCN-delta,0,520,grade_mae_abs_le_10_deg,0.702088246233369
modern_tcn_delta_bank_124,ModernTCN-delta,0,1,p95_abs_error_abs_le_10_deg,1.71974152804919
modern_tcn_delta_bank_124,ModernTCN-delta,0,7,p95_abs_error_abs_le_10_deg,1.67154579227487
modern_tcn_delta_bank_124,ModernTCN-delta,0,11,p95_abs_error_abs_le_10_deg,1.73584860821596
modern_tcn_delta_bank_124,ModernTCN-delta,0,21,p95_abs_error_abs_le_10_deg,1.410734271766
modern_tcn_delta_bank_124,ModernTCN-delta,0,42,p95_abs_error_abs_le_10_deg,1.75821182816745
modern_tcn_delta_bank_124,ModernTCN-delta,0,73,p95_abs_error_abs_le_10_deg,1.5650665982296
modern_tcn_delta_bank_124,ModernTCN-delta,0,101,p95_abs_error_abs_le_10_deg,1.58754545781941
modern_tcn_delta_bank_124,ModernTCN-delta,0,202,p95_abs_error_abs_le_10_deg,1.79585152658983
modern_tcn_delta_bank_124,ModernTCN-delta,0,340,p95_abs_error_abs_le_10_deg,1.71054681276588
modern_tcn_delta_bank_124,ModernTCN-delta,0,520,p95_abs_error_abs_le_10_deg,1.82265743108076
modern_tcn_22d,ModernTCN-22D,1,1,grade_mae_abs_le_10_deg,0.767275450947987
modern_tcn_22d,ModernTCN-22D,1,7,grade_mae_abs_le_10_deg,0.681297598358578
modern_tcn_22d,ModernTCN-22D,1,11,grade_mae_abs_le_10_deg,0.663084511073655
modern_tcn_22d,ModernTCN-22D,1,21,grade_mae_abs_le_10_deg,0.618402733740334
modern_tcn_22d,ModernTCN-22D,1,42,grade_mae_abs_le_10_deg,0.670111667936375
modern_tcn_22d,ModernTCN-22D,1,73,grade_mae_abs_le_10_deg,0.587539388999727
modern_tcn_22d,ModernTCN-22D,1,101,grade_mae_abs_le_10_deg,0.56876144221824
modern_tcn_22d,ModernTCN-22D,1,202,grade_mae_abs_le_10_deg,0.739288523644518
modern_tcn_22d,ModernTCN-22D,1,340,grade_mae_abs_le_10_deg,0.634780085744245
modern_tcn_22d,ModernTCN-22D,1,520,grade_mae_abs_le_10_deg,0.599487162561621
modern_tcn_22d,ModernTCN-22D,1,1,p95_abs_error_abs_le_10_deg,2.05531747315179
modern_tcn_22d,ModernTCN-22D,1,7,p95_abs_error_abs_le_10_deg,1.89267336675723
modern_tcn_22d,ModernTCN-22D,1,11,p95_abs_error_abs_le_10_deg,1.73048397487059
modern_tcn_22d,ModernTCN-22D,1,21,p95_abs_error_abs_le_10_deg,1.75724887154608
modern_tcn_22d,ModernTCN-22D,1,42,p95_abs_error_abs_le_10_deg,1.86956156741086
modern_tcn_22d,ModernTCN-22D,1,73,p95_abs_error_abs_le_10_deg,1.63429682202768
modern_tcn_22d,ModernTCN-22D,1,101,p95_abs_error_abs_le_10_deg,1.52778375718103
modern_tcn_22d,ModernTCN-22D,1,202,p95_abs_error_abs_le_10_deg,2.12326910421354
modern_tcn_22d,ModernTCN-22D,1,340,p95_abs_error_abs_le_10_deg,1.76481405310381
modern_tcn_22d,ModernTCN-22D,1,520,p95_abs_error_abs_le_10_deg,1.70719783227761
gru_22d,GRU-22D,2,1,grade_mae_abs_le_10_deg,1.01103239610331
gru_22d,GRU-22D,2,7,grade_mae_abs_le_10_deg,0.945416526654929
gru_22d,GRU-22D,2,11,grade_mae_abs_le_10_deg,0.840410937541695
gru_22d,GRU-22D,2,21,grade_mae_abs_le_10_deg,0.780395059438904
gru_22d,GRU-22D,2,42,grade_mae_abs_le_10_deg,0.928696071135967
gru_22d,GRU-22D,2,73,grade_mae_abs_le_10_deg,1.11043749666074
gru_22d,GRU-22D,2,101,grade_mae_abs_le_10_deg,0.808867126787487
gru_22d,GRU-22D,2,202,grade_mae_abs_le_10_deg,0.637045584416521
gru_22d,GRU-22D,2,340,grade_mae_abs_le_10_deg,0.810944787836
gru_22d,GRU-22D,2,520,grade_mae_abs_le_10_deg,0.985042531554239
gru_22d,GRU-22D,2,1,p95_abs_error_abs_le_10_deg,2.35082731513969
gru_22d,GRU-22D,2,7,p95_abs_error_abs_le_10_deg,2.581456963418
gru_22d,GRU-22D,2,11,p95_abs_error_abs_le_10_deg,2.07397138678577
gru_22d,GRU-22D,2,21,p95_abs_error_abs_le_10_deg,2.04702690415986
gru_22d,GRU-22D,2,42,p95_abs_error_abs_le_10_deg,2.14343258303556
gru_22d,GRU-22D,2,73,p95_abs_error_abs_le_10_deg,2.90706604835575
gru_22d,GRU-22D,2,101,p95_abs_error_abs_le_10_deg,2.10651294263221
gru_22d,GRU-22D,2,202,p95_abs_error_abs_le_10_deg,1.81306411022637
gru_22d,GRU-22D,2,340,p95_abs_error_abs_le_10_deg,2.18300074935153
gru_22d,GRU-22D,2,520,p95_abs_error_abs_le_10_deg,2.38864054972576
tcn_22d,TCN-22D,3,1,grade_mae_abs_le_10_deg,1.0015043906106
tcn_22d,TCN-22D,3,7,grade_mae_abs_le_10_deg,0.917539636507359
tcn_22d,TCN-22D,3,11,grade_mae_abs_le_10_deg,1.05382059939343
tcn_22d,TCN-22D,3,21,grade_mae_abs_le_10_deg,0.869687695021726
tcn_22d,TCN-22D,3,42,grade_mae_abs_le_10_deg,0.969404107007964
tcn_22d,TCN-22D,3,73,grade_mae_abs_le_10_deg,0.771468220553126
tcn_22d,TCN-22D,3,101,grade_mae_abs_le_10_deg,0.892992903030993
tcn_22d,TCN-22D,3,202,grade_mae_abs_le_10_deg,0.880309843490152
tcn_22d,TCN-22D,3,340,grade_mae_abs_le_10_deg,0.965013402362021
tcn_22d,TCN-22D,3,520,grade_mae_abs_le_10_deg,0.831950494444863
tcn_22d,TCN-22D,3,1,p95_abs_error_abs_le_10_deg,2.69428455149254
tcn_22d,TCN-22D,3,7,p95_abs_error_abs_le_10_deg,2.2094647841982
tcn_22d,TCN-22D,3,11,p95_abs_error_abs_le_10_deg,2.64983880301596
tcn_22d,TCN-22D,3,21,p95_abs_error_abs_le_10_deg,2.85828231600322
tcn_22d,TCN-22D,3,42,p95_abs_error_abs_le_10_deg,2.93730876529883
tcn_22d,TCN-22D,3,73,p95_abs_error_abs_le_10_deg,2.65145286209421
tcn_22d,TCN-22D,3,101,p95_abs_error_abs_le_10_deg,2.14288552757174
tcn_22d,TCN-22D,3,202,p95_abs_error_abs_le_10_deg,2.2622140149931
tcn_22d,TCN-22D,3,340,p95_abs_error_abs_le_10_deg,3.65811589064615
tcn_22d,TCN-22D,3,520,p95_abs_error_abs_le_10_deg,2.29411412002695
