contrast_id,target,comparator,seed,metric_id,effect_deg,positive_favors
A1_OFFLINE_DB124_VS_M22,modern_tcn_delta_bank_124,modern_tcn_22d,1,grade_mae_abs_le_10_deg,0.203265097535081,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,modern_tcn_delta_bank_124,modern_tcn_22d,7,grade_mae_abs_le_10_deg,0.107955312944491,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,modern_tcn_delta_bank_124,modern_tcn_22d,11,grade_mae_abs_le_10_deg,0.0527877975339562,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,modern_tcn_delta_bank_124,modern_tcn_22d,21,grade_mae_abs_le_10_deg,0.0995140942868192,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,modern_tcn_delta_bank_124,modern_tcn_22d,42,grade_mae_abs_le_10_deg,0.0879614833719071,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,modern_tcn_delta_bank_124,modern_tcn_22d,73,grade_mae_abs_le_10_deg,-0.0072112560591463,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,modern_tcn_delta_bank_124,modern_tcn_22d,101,grade_mae_abs_le_10_deg,0.00768952199436057,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,modern_tcn_delta_bank_124,modern_tcn_22d,202,grade_mae_abs_le_10_deg,0.0305094339520251,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,modern_tcn_delta_bank_124,modern_tcn_22d,340,grade_mae_abs_le_10_deg,0.0613164532075535,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,modern_tcn_delta_bank_124,modern_tcn_22d,520,grade_mae_abs_le_10_deg,-0.102601083671747,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,modern_tcn_delta_bank_124,modern_tcn_22d,1,edge_p95_abs_error_deg,0.523820248840724,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,modern_tcn_delta_bank_124,modern_tcn_22d,7,edge_p95_abs_error_deg,0.155750980766596,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,modern_tcn_delta_bank_124,modern_tcn_22d,11,edge_p95_abs_error_deg,0.165049408203584,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,modern_tcn_delta_bank_124,modern_tcn_22d,21,edge_p95_abs_error_deg,1.38288065360898,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,modern_tcn_delta_bank_124,modern_tcn_22d,42,edge_p95_abs_error_deg,0.338847178828214,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,modern_tcn_delta_bank_124,modern_tcn_22d,73,edge_p95_abs_error_deg,1.00881548262761,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,modern_tcn_delta_bank_124,modern_tcn_22d,101,edge_p95_abs_error_deg,0.0818218029310045,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,modern_tcn_delta_bank_124,modern_tcn_22d,202,edge_p95_abs_error_deg,-0.104157012436791,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,modern_tcn_delta_bank_124,modern_tcn_22d,340,edge_p95_abs_error_deg,0.29163573734632,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,modern_tcn_delta_bank_124,modern_tcn_22d,520,edge_p95_abs_error_deg,0.416302313756779,ModernTCN-delta
