sample_index,debug_step,t_s,theta_true_deg,theta_mtcn_deg,theta_imu_deg,variance_imu_rad2,imu_valid,K_imu_eff,quality_code,observer_update_available,imu_uncertainty_halfwidth_deg,delta_abs_error_deg,imu_locally_better
0,,0.0,0.0,,,,0,0.0,0,0,,,0
1,1.0,0.01,0.0,0.0,0.0574809921162004,0.0064395337265243,0,0.0,0,1,9.01168317620859,0.0574809921162004,0
2,2.0,0.02,0.0,0.0,-0.022519007883795954,0.0056929185629748,0,0.0,0,1,8.47317525841913,0.022519007883795954,0
3,3.0,0.03,0.0,0.0,-0.10251900788379231,0.0048498893917398,0,0.0,0,1,7.820681884197187,0.10251900788379231,0
4,4.0,0.04,0.0,0.0,-0.022519007883795954,0.0041772487834356,0,0.0,0,1,7.258115490428713,0.022519007883795954,0
5,5.0,0.05,0.0,0.0,0.0574809921162004,0.0034030131125283,0,0.0,0,1,6.5510439797039615,0.0574809921162004,0
6,6.0,0.06,0.0,0.0,0.1374809921162025,0.0026963317313644,0,0.0,0,1,5.831299733765895,0.1374809921162025,0
7,7.0,0.07,0.0,0.0,0.12722830986973652,0.0021158017940436,0,0.0,0,1,5.165545535288373,0.12722830986973652,0
8,8.0,0.08,0.0,0.0,0.20722830986973287,0.0015759745410647,0,0.0,0,1,4.458135892644738,0.20722830986973287,0
9,9.0,0.09,0.0,0.0,0.2872283098697349,0.0012184696791468,0,0.0,0,1,3.9199999999999444,0.2872283098697349,0
10,10.0,0.1,0.0,0.0,0.36722830986973704,0.0012184696791468,0,0.0,0,1,3.9199999999999444,0.36722830986973704,0
11,11.0,0.11,0.0,0.0,0.4472283098697334,0.0012184696791468,0,0.0,0,1,3.9199999999999444,0.4472283098697334,0
12,12.0,0.12,0.0,0.0,0.5272283098697356,0.0012184696791468,0,0.0,0,1,3.9199999999999444,0.5272283098697356,0
13,13.0,0.13,0.0,0.0,0.6072283098697376,0.0012184696791468,0,0.0,0,1,3.9199999999999444,0.6072283098697376,0
14,14.0,0.14,0.0,0.0,0.6872283098697397,0.0012184696791468,0,0.0,0,1,3.9199999999999444,0.6872283098697397,0
15,15.0,0.15,0.0,0.0,0.767228309869736,0.0012184696791468,0,0.0,0,1,3.9199999999999444,0.767228309869736,0
16,16.0,0.16,0.0,0.0,0.8472283098697381,0.0012184696791468,0,0.0,0,1,3.9199999999999444,0.8472283098697381,0
17,17.0,0.17,0.0,0.0,0.9272283098697345,0.0012184696791468,0,0.0,0,1,3.9199999999999444,0.9272283098697345,0
18,18.0,0.18,0.0,0.0,1.0072283098697365,0.0012184696791468,0,0.0,0,1,3.9199999999999444,1.0072283098697365,0
19,19.0,0.19,0.0,0.0,1.0872283098697386,0.0012184696791468,0,0.0,0,1,3.9199999999999444,1.0872283098697386,0
20,20.0,0.2,0.0,0.0,1.1672283098697351,0.0012184696791468,0,0.0,0,1,3.9199999999999444,1.1672283098697351,0
21,21.0,0.21,0.0,0.0,1.0872283098697386,0.0012184696791468,0,0.0,0,1,3.9199999999999444,1.0872283098697386,0
22,22.0,0.22,0.0,0.0,1.0072283098697365,0.0012184696791468,0,0.0,0,1,3.9199999999999444,1.0072283098697365,0
23,23.0,0.23,0.0,0.0,0.9272283098697345,0.0012184696791468,0,0.0,0,1,3.9199999999999444,0.9272283098697345,0
24,24.0,0.24,0.0,0.0,0.8472283098697381,0.0012184696791468,0,0.0,0,1,3.9199999999999444,0.8472283098697381,0
25,25.0,0.25,0.0,0.0,0.767228309869736,0.0012184696791468,0,0.0,0,1,3.9199999999999444,0.767228309869736,0
26,26.0,0.26,0.0,0.0,0.6872283098697397,0.0012184696791468,0,0.0,0,1,3.9199999999999444,0.6872283098697397,0
27,27.0,0.27,0.0,0.0,0.6072283098697376,0.0012184696791468,0,0.0,0,1,3.9199999999999444,0.6072283098697376,0
28,28.0,0.28,0.0,0.0,0.5272283098697356,0.0012184696791468,0,0.0,0,1,3.9199999999999444,0.5272283098697356,0
29,29.0,0.29,0.0,0.0,0.4472283098697334,0.0012184696791468,0,0.0,0,1,3.9199999999999444,0.4472283098697334,0
30,30.0,0.3,0.0,0.0,0.36722830986973704,0.0012184696791468,0,0.0,0,1,3.9199999999999444,0.36722830986973704,0
31,31.0,0.31,0.0,0.0,0.2872283098697349,0.0012184696791468,0,0.0,0,1,3.9199999999999444,0.2872283098697349,0
32,32.0,0.32,0.0,0.0,0.20722830986973287,0.0012184696791468,0,0.0,0,1,3.9199999999999444,0.20722830986973287,0
33,33.0,0.33,0.0,0.0,0.12722830986973652,0.0012184696791468,0,0.0,0,1,3.9199999999999444,0.12722830986973652,0
34,34.0,0.34,0.0,0.0,0.047228309869734426,0.0012184696791468,0,0.0,0,1,3.9199999999999444,0.047228309869734426,0
