record_type,source,regime,excitation_bin,error_scale_deg,Kmax,K_raw_p05,K_raw_p50,K_raw_p95,K_eff_p05,K_eff_p50,K_eff_p95,sample_count,mae_ratio,K_eff_spread,qualified,selected
error_scale,ModernTCN-delta,flat_steady,Low,1.6618091108670987,,,,,,,,,,,,
error_scale,ModernTCN-delta,flat_steady,Medium,1.6618091108670987,,,,,,,,,,,,
error_scale,ModernTCN-delta,flat_steady,High,1.6618091108670987,,,,,,,,,,,,
error_scale,ModernTCN-delta,slope_steady,Low,0.7868392935525433,,,,,,,,,,,,
error_scale,ModernTCN-delta,slope_steady,Medium,0.7868392935525433,,,,,,,,,,,,
error_scale,ModernTCN-delta,slope_steady,High,0.7868392935525433,,,,,,,,,,,,
error_scale,ModernTCN-delta,flat_transition,Low,2.690530584292002,,,,,,,,,,,,
error_scale,ModernTCN-delta,flat_transition,Medium,2.690530584292002,,,,,,,,,,,,
error_scale,ModernTCN-delta,flat_transition,High,2.690530584292002,,,,,,,,,,,,
error_scale,ModernTCN-delta,slope_transition,Low,1.0156393331756453,,,,,,,,,,,,
error_scale,ModernTCN-delta,slope_transition,Medium,1.0156393331756453,,,,,,,,,,,,
error_scale,ModernTCN-delta,slope_transition,High,1.0156393331756453,,,,,,,,,,,,
error_scale,Qualified observer,flat_steady,Low,4.3634533110287075,,,,,,,,,,,,
error_scale,Qualified observer,flat_steady,Medium,3.5627447094927054,,,,,,,,,,,,
error_scale,Qualified observer,flat_steady,High,3.5627447094927054,,,,,,,,,,,,
error_scale,Qualified observer,slope_steady,Low,1.0358351476206327,,,,,,,,,,,,
error_scale,Qualified observer,slope_steady,Medium,0.8457558564370131,,,,,,,,,,,,
error_scale,Qualified observer,slope_steady,High,0.8457558564370131,,,,,,,,,,,,
error_scale,Qualified observer,flat_transition,Low,4.223220437374889,,,,,,,,,,,,
error_scale,Qualified observer,flat_transition,Medium,3.448245047620692,,,,,,,,,,,,
error_scale,Qualified observer,flat_transition,High,3.448245047620692,,,,,,,,,,,,
error_scale,Qualified observer,slope_transition,Low,0.9949816472018435,,,,,,,,,,,,
error_scale,Qualified observer,slope_transition,Medium,0.8123991130261423,,,,,,,,,,,,
error_scale,Qualified observer,slope_transition,High,0.8123991130261423,,,,,,,,,,,,
gain_quantiles,,,Low,,0.5,0.1298305368613521,0.4206971626922873,0.5237993113886306,0.1298305368613521,0.4206971626922873,0.5,109610.0,,,,
gain_quantiles,,,Medium,,0.5,0.4398803761459502,0.7077231531663997,0.7097441662901854,0.4398803761459502,0.5,0.5,264235.0,,,,
gain_quantiles,,,High,,0.5,0.439877369751554,0.7077233068440147,0.7079716403363104,0.439877369751554,0.5,0.5,84482.0,,,,
candidate,,,,,0.3,,,,,,,,0.92260360604839,0.0187167128127112,False,False
candidate,,,,,0.4,,,,,,,,0.9030171070498476,0.1187167128127112,True,False
candidate,,,,,0.5,,,,,,,,0.8897014056073527,0.2187167128127112,True,True
