record_type,route_id,route_condition,model_seed,sample_index,debug_step,t_s,theta_true_deg,theta_sched_fusion_lpv_mpc_deg,theta_sched_mtcn_lpv_mpc_deg,theta_mtcn_deg,theta_imu_deg,theta_fused_deg,variance_imu_rad2,imu_valid,K_imu_eff,fallback_exact,imu_uncertainty_halfwidth_deg,local_fusion_effect_deg
trace,P2,Sharp-turn transition,7,0,,0.0,0.0,0.0,0.0,,,,,0,0.0,1,,
trace,P2,Sharp-turn transition,7,1,1.0,0.01,0.0,0.0,0.0,0.0,0.05058176045548042,0.0,0.0064395693877967,0,0.0,1,9.01170812891924,0.0
trace,P2,Sharp-turn transition,7,2,2.0,0.02,0.0,0.0,0.0,0.0,-0.029418239544510203,0.0,0.0057201853023851,0,0.0,1,8.493442532403613,0.0
trace,P2,Sharp-turn transition,7,3,3.0,0.03,0.0,0.0,0.0,0.0,-0.10941823954451228,0.0,0.0048725122484101,0,0.0,1,7.838900889606115,0.0
trace,P2,Sharp-turn transition,7,4,4.0,0.04,0.0,0.0,0.0,0.0,-0.029418239544510203,0.0,0.0041654686358214,0,0.0,1,7.24787405620894,0.0
trace,P2,Sharp-turn transition,7,5,5.0,0.05,0.0,0.0,0.0,0.0,0.05058176045548042,0.0,0.0033925206865669,0,0.0,1,6.540936847177983,0.0
trace,P2,Sharp-turn transition,7,6,6.0,0.06,0.0,0.0,0.0,0.0,0.1305817604554825,0.0,0.0026757168019561,0,0.0,1,5.80896522558231,0.0
trace,P2,Sharp-turn transition,7,7,7.0,0.07,0.0,0.0,0.0,0.0,0.05058176045548042,0.0,0.0020903967647439,0,0.0,1,5.134439797882845,0.0
trace,P2,Sharp-turn transition,7,8,8.0,0.08,0.0,0.0,0.0,0.0,0.1305817604554825,0.0,0.0015690564423167,0,0.0,1,4.448340129823923,0.0
trace,P2,Sharp-turn transition,7,9,9.0,0.09,0.0,0.0,0.0,0.0,0.2105817604554846,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,10,10.0,0.1,0.0,0.0,0.0,0.0,0.29058176045548095,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
