t_s,reference_grade_deg,mtcn_delta_grade_deg,qualified_observer_grade_deg,fused_grade_deg,K_eff,Kmax,target_correction_deg,applied_correction_deg,NIS,fallback,rate_limit_active,fallback_reason
0.01,0.0,0.0,0.002657543987629441,0.0,0.0,0.5,0.0,0.0,6.67461671174359e-07,1,0,TCN_NOT_READY
0.02,0.0,0.0,0.0026575439876290225,0.0,0.0,0.5,0.0,0.0,6.6746167117415e-07,1,0,TCN_NOT_READY
0.03,0.0,0.0,0.002657543987629441,0.0,0.0,0.5,0.0,0.0,6.67461671174359e-07,1,0,TCN_NOT_READY
0.04,0.0,0.0,0.0026575439876319277,0.0,0.0,0.5,0.0,0.0,6.67461671175609e-07,1,0,TCN_NOT_READY
0.05,0.0,0.0,0.002657543987629441,0.0,0.0,0.5,0.0,0.0,6.67461671174359e-07,1,0,TCN_NOT_READY
0.06,0.0,0.0,0.0026575439876261177,0.0,0.0,0.5,0.0,0.0,6.67461671172691e-07,1,0,TCN_NOT_READY
0.07,0.0,0.0,0.002657543987631097,0.0,0.0,0.5,0.0,0.0,6.67461671175193e-07,1,0,TCN_NOT_READY
0.08,0.0,0.0,0.0026575439876277795,0.0,0.0,0.5,0.0,0.0,6.67461671173525e-07,1,0,TCN_NOT_READY
0.09,0.0,0.0,0.0026575439876277795,0.0,0.0,0.5,0.0,0.0,6.67461671173525e-07,1,0,TCN_NOT_READY
0.1,0.0,0.0,0.0026575439876261177,0.0,0.0,0.5,0.0,0.0,6.67461671172691e-07,1,0,TCN_NOT_READY
0.11,0.0,0.0,0.002657543987629441,0.0,0.0,0.5,0.0,0.0,6.67461671174359e-07,1,0,TCN_NOT_READY
0.12,0.0,0.0,0.0026575439876277795,0.0,0.0,0.5,0.0,0.0,6.67461671173525e-07,1,0,TCN_NOT_READY
0.13,0.0,0.0,0.002657543987629441,0.0,0.0,0.5,0.0,0.0,6.67461671174359e-07,1,0,TCN_NOT_READY
0.14,0.0,0.0,0.002657543987629441,0.0,0.0,0.5,0.0,0.0,6.67461671174359e-07,1,0,TCN_NOT_READY
0.15,0.0,0.0,0.0026575439876277795,0.0,0.0,0.5,0.0,0.0,6.67461671173525e-07,1,0,TCN_NOT_READY
0.16,0.0,0.0,0.0026575439876261177,0.0,0.0,0.5,0.0,0.0,6.67461671172691e-07,1,0,TCN_NOT_READY
0.17,0.0,0.0,0.0026575439876277795,0.0,0.0,0.5,0.0,0.0,6.67461671173525e-07,1,0,TCN_NOT_READY
0.18,0.0,0.0,0.002657543987631097,0.0,0.0,0.5,0.0,0.0,6.67461671175193e-07,1,0,TCN_NOT_READY
0.19,0.0,0.0,0.002657543987631097,0.0,0.0,0.5,0.0,0.0,6.67461671175193e-07,1,0,TCN_NOT_READY
0.2,0.0,0.0,0.0026575439876277795,0.0,0.0,0.5,0.0,0.0,6.67461671173525e-07,1,0,TCN_NOT_READY
0.21,0.0,0.0,0.002657543987629441,0.0,0.0,0.5,0.0,0.0,6.67461671174359e-07,1,0,TCN_NOT_READY
0.22,0.0,0.0,0.0026575439876277795,0.0,0.0,0.5,0.0,0.0,6.67461671173525e-07,1,0,TCN_NOT_READY
0.23,0.0,0.0,0.0026575439876277795,0.0,0.0,0.5,0.0,0.0,6.67461671173525e-07,1,0,TCN_NOT_READY
0.24,0.0,0.0,0.0026575439876261177,0.0,0.0,0.5,0.0,0.0,6.67461671172691e-07,1,0,TCN_NOT_READY
0.25,0.0,0.0,0.0026575439876277795,0.0,0.0,0.5,0.0,0.0,6.67461671173525e-07,1,0,TCN_NOT_READY
0.26,0.0,0.0,0.0026575439876277795,0.0,0.0,0.5,0.0,0.0,6.67461671173525e-07,1,0,TCN_NOT_READY
0.27,0.0,0.0,0.0026575439876277795,0.0,0.0,0.5,0.0,0.0,6.67461671173525e-07,1,0,TCN_NOT_READY
0.28,0.0,0.0,0.002657543987631097,0.0,0.0,0.5,0.0,0.0,6.67461671175193e-07,1,0,TCN_NOT_READY
0.29,0.0,0.0,0.002657543987629441,0.0,0.0,0.5,0.0,0.0,6.67461671174359e-07,1,0,TCN_NOT_READY
0.3,0.0,0.0,0.002657543987629441,0.0,0.0,0.5,0.0,0.0,6.67461671174359e-07,1,0,TCN_NOT_READY
0.31,0.0,0.0,0.002657543987629441,0.0,0.0,0.5,0.0,0.0,6.67461671174359e-07,1,0,TCN_NOT_READY
0.32,0.0,0.0,0.0026575439876277795,0.0,0.0,0.5,0.0,0.0,6.67461671173525e-07,1,0,TCN_NOT_READY
0.33,0.0,0.0,0.0026575439876277795,0.0,0.0,0.5,0.0,0.0,6.67461671173525e-07,1,0,TCN_NOT_READY
0.34,0.0,0.0,0.0026575439876286105,0.0,0.0,0.5,0.0,0.0,6.67461671173942e-07,1,0,TCN_NOT_READY
