metric_id,method_id,method_label,seed,value_deg
grade_mae_abs_le_10_deg,modern_tcn_delta_bank_124,ModernTCN-delta,1,0.564010353412906
grade_mae_abs_le_10_deg,modern_tcn_delta_bank_124,ModernTCN-delta,7,0.573342285414087
grade_mae_abs_le_10_deg,modern_tcn_delta_bank_124,ModernTCN-delta,11,0.610296713539698
grade_mae_abs_le_10_deg,modern_tcn_delta_bank_124,ModernTCN-delta,21,0.518888639453515
grade_mae_abs_le_10_deg,modern_tcn_delta_bank_124,ModernTCN-delta,42,0.582150184564468
grade_mae_abs_le_10_deg,modern_tcn_delta_bank_124,ModernTCN-delta,73,0.594750645058873
grade_mae_abs_le_10_deg,modern_tcn_delta_bank_124,ModernTCN-delta,101,0.56107192022388
grade_mae_abs_le_10_deg,modern_tcn_delta_bank_124,ModernTCN-delta,202,0.708779089692493
grade_mae_abs_le_10_deg,modern_tcn_delta_bank_124,ModernTCN-delta,340,0.573463632536691
grade_mae_abs_le_10_deg,modern_tcn_delta_bank_124,ModernTCN-delta,520,0.702088246233369
grade_mae_abs_le_10_deg,modern_tcn_22d,ModernTCN-22D,1,0.767275450947987
grade_mae_abs_le_10_deg,modern_tcn_22d,ModernTCN-22D,7,0.681297598358578
grade_mae_abs_le_10_deg,modern_tcn_22d,ModernTCN-22D,11,0.663084511073655
grade_mae_abs_le_10_deg,modern_tcn_22d,ModernTCN-22D,21,0.618402733740334
grade_mae_abs_le_10_deg,modern_tcn_22d,ModernTCN-22D,42,0.670111667936375
grade_mae_abs_le_10_deg,modern_tcn_22d,ModernTCN-22D,73,0.587539388999727
grade_mae_abs_le_10_deg,modern_tcn_22d,ModernTCN-22D,101,0.56876144221824
grade_mae_abs_le_10_deg,modern_tcn_22d,ModernTCN-22D,202,0.739288523644518
grade_mae_abs_le_10_deg,modern_tcn_22d,ModernTCN-22D,340,0.634780085744245
grade_mae_abs_le_10_deg,modern_tcn_22d,ModernTCN-22D,520,0.599487162561621
edge_p95_abs_error_deg,modern_tcn_delta_bank_124,ModernTCN-delta,1,2.5014832095732
edge_p95_abs_error_deg,modern_tcn_delta_bank_124,ModernTCN-delta,7,2.94908524939971
edge_p95_abs_error_deg,modern_tcn_delta_bank_124,ModernTCN-delta,11,2.18073022638473
edge_p95_abs_error_deg,modern_tcn_delta_bank_124,ModernTCN-delta,21,1.88695740822448
edge_p95_abs_error_deg,modern_tcn_delta_bank_124,ModernTCN-delta,42,2.20848280043071
edge_p95_abs_error_deg,modern_tcn_delta_bank_124,ModernTCN-delta,73,2.1546164068197
edge_p95_abs_error_deg,modern_tcn_delta_bank_124,ModernTCN-delta,101,2.44563800343793
edge_p95_abs_error_deg,modern_tcn_delta_bank_124,ModernTCN-delta,202,3.14572144371723
edge_p95_abs_error_deg,modern_tcn_delta_bank_124,ModernTCN-delta,340,2.54316031952536
edge_p95_abs_error_deg,modern_tcn_delta_bank_124,ModernTCN-delta,520,2.54900179612433
edge_p95_abs_error_deg,modern_tcn_22d,ModernTCN-22D,1,3.02530345841393
edge_p95_abs_error_deg,modern_tcn_22d,ModernTCN-22D,7,3.1048362301663
edge_p95_abs_error_deg,modern_tcn_22d,ModernTCN-22D,11,2.34577963458831
edge_p95_abs_error_deg,modern_tcn_22d,ModernTCN-22D,21,3.26983806183345
edge_p95_abs_error_deg,modern_tcn_22d,ModernTCN-22D,42,2.54732997925893
edge_p95_abs_error_deg,modern_tcn_22d,ModernTCN-22D,73,3.16343188944732
edge_p95_abs_error_deg,modern_tcn_22d,ModernTCN-22D,101,2.52745980636894
edge_p95_abs_error_deg,modern_tcn_22d,ModernTCN-22D,202,3.04156443128044
edge_p95_abs_error_deg,modern_tcn_22d,ModernTCN-22D,340,2.83479605687168
edge_p95_abs_error_deg,modern_tcn_22d,ModernTCN-22D,520,2.96530410988111
