contrast_id,metric_id,seed,modern_tcn_delta_deg,modern_tcn_22d_deg,effect_deg,effect_definition,positive_favors
A1_OFFLINE_DB124_VS_M22,grade_mae_abs_le_10_deg,1,0.564010353412906,0.767275450947987,0.203265097535081,ModernTCN-22D - ModernTCN-delta,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,grade_mae_abs_le_10_deg,7,0.573342285414087,0.681297598358578,0.107955312944491,ModernTCN-22D - ModernTCN-delta,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,grade_mae_abs_le_10_deg,11,0.610296713539698,0.663084511073655,0.0527877975339562,ModernTCN-22D - ModernTCN-delta,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,grade_mae_abs_le_10_deg,21,0.518888639453515,0.618402733740334,0.0995140942868192,ModernTCN-22D - ModernTCN-delta,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,grade_mae_abs_le_10_deg,42,0.582150184564468,0.670111667936375,0.0879614833719071,ModernTCN-22D - ModernTCN-delta,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,grade_mae_abs_le_10_deg,73,0.594750645058873,0.587539388999727,-0.0072112560591463,ModernTCN-22D - ModernTCN-delta,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,grade_mae_abs_le_10_deg,101,0.56107192022388,0.56876144221824,0.00768952199436057,ModernTCN-22D - ModernTCN-delta,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,grade_mae_abs_le_10_deg,202,0.708779089692493,0.739288523644518,0.0305094339520251,ModernTCN-22D - ModernTCN-delta,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,grade_mae_abs_le_10_deg,340,0.573463632536691,0.634780085744245,0.0613164532075535,ModernTCN-22D - ModernTCN-delta,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,grade_mae_abs_le_10_deg,520,0.702088246233369,0.599487162561621,-0.102601083671747,ModernTCN-22D - ModernTCN-delta,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,edge_p95_abs_error_deg,1,2.5014832095732,3.02530345841393,0.523820248840724,ModernTCN-22D - ModernTCN-delta,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,edge_p95_abs_error_deg,7,2.94908524939971,3.1048362301663,0.155750980766596,ModernTCN-22D - ModernTCN-delta,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,edge_p95_abs_error_deg,11,2.18073022638473,2.34577963458831,0.165049408203584,ModernTCN-22D - ModernTCN-delta,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,edge_p95_abs_error_deg,21,1.88695740822448,3.26983806183345,1.38288065360898,ModernTCN-22D - ModernTCN-delta,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,edge_p95_abs_error_deg,42,2.20848280043071,2.54732997925893,0.338847178828214,ModernTCN-22D - ModernTCN-delta,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,edge_p95_abs_error_deg,73,2.1546164068197,3.16343188944732,1.00881548262761,ModernTCN-22D - ModernTCN-delta,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,edge_p95_abs_error_deg,101,2.44563800343793,2.52745980636894,0.0818218029310045,ModernTCN-22D - ModernTCN-delta,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,edge_p95_abs_error_deg,202,3.14572144371723,3.04156443128044,-0.104157012436791,ModernTCN-22D - ModernTCN-delta,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,edge_p95_abs_error_deg,340,2.54316031952536,2.83479605687168,0.29163573734632,ModernTCN-22D - ModernTCN-delta,ModernTCN-delta
A1_OFFLINE_DB124_VS_M22,edge_p95_abs_error_deg,520,2.54900179612433,2.96530410988111,0.416302313756779,ModernTCN-22D - ModernTCN-delta,ModernTCN-delta
