sample_index,debug_step,t_s,theta_true_deg,theta_mtcn_deg,theta_rkf_deg,abs_error_mtcn_deg,abs_error_rkf_deg,delta_abs_error_deg,evaluation_sample,rkf_better_beyond_tolerance,mtcn_better_beyond_tolerance,near_tie
0,,0.0,0.0,,,,,,0,0,0,0
1,1.0,0.01,0.0,0.0,0.16098330677290046,0.0,0.16098330677290046,0.16098330677290046,0,0,0,0
2,2.0,0.02,0.0,0.0,0.16757308994229259,0.0,0.16757308994229259,0.16757308994229259,0,0,0,0
3,3.0,0.03,0.0,0.0,0.17266503474524306,0.0,0.17266503474524306,0.17266503474524306,0,0,0,0
4,4.0,0.04,0.0,0.0,0.17580627096230372,0.0,0.17580627096230372,0.17580627096230372,0,0,0,0
5,5.0,0.05,0.0,0.0,0.17867289845510087,0.0,0.17867289845510087,0.17867289845510087,0,0,0,0
6,6.0,0.06,0.0,0.0,0.18131793159933135,0.0,0.18131793159933135,0.18131793159933135,0,0,0,0
7,7.0,0.07,0.0,0.0,0.18291754533832635,0.0,0.18291754533832635,0.18291754533832635,0,0,0,0
8,8.0,0.08,0.0,0.0,0.1830591822747769,0.0,0.1830591822747769,0.1830591822747769,0,0,0,0
9,9.0,0.09,0.0,0.0,0.18554354240967144,0.0,0.18554354240967144,0.18554354240967144,0,0,0,0
10,10.0,0.1,0.0,0.0,0.18692892453540907,0.0,0.18692892453540907,0.18692892453540907,0,0,0,0
11,11.0,0.11,0.0,0.0,0.18836053709033238,0.0,0.18836053709033238,0.18836053709033238,0,0,0,0
12,12.0,0.12,0.0,0.0,0.18911991821527804,0.0,0.18911991821527804,0.18911991821527804,0,0,0,0
13,13.0,0.13,0.0,0.0,0.188942875705908,0.0,0.188942875705908,0.188942875705908,0,0,0,0
14,14.0,0.14,0.0,0.0,0.18923884712059078,0.0,0.18923884712059078,0.18923884712059078,0,0,0,0
15,15.0,0.15,0.0,0.0,0.18965435886431553,0.0,0.18965435886431553,0.18965435886431553,0,0,0,0
16,16.0,0.16,0.0,0.0,0.18902197770316284,0.0,0.18902197770316284,0.18902197770316284,0,0,0,0
17,17.0,0.17,0.0,0.0,0.1875360882694662,0.0,0.1875360882694662,0.1875360882694662,0,0,0,0
18,18.0,0.18,0.0,0.0,0.1859722460952683,0.0,0.1859722460952683,0.1859722460952683,0,0,0,0
19,19.0,0.19,0.0,0.0,0.18604259828883848,0.0,0.18604259828883848,0.18604259828883848,0,0,0,0
20,20.0,0.2,0.0,0.0,0.18613286151510366,0.0,0.18613286151510366,0.18613286151510366,0,0,0,0
21,21.0,0.21,0.0,0.0,0.18613194426152632,0.0,0.18613194426152632,0.18613194426152632,0,0,0,0
22,22.0,0.22,0.0,0.0,0.18575808161170576,0.0,0.18575808161170576,0.18575808161170576,0,0,0,0
23,23.0,0.23,0.0,0.0,0.1871627941247279,0.0,0.1871627941247279,0.1871627941247279,0,0,0,0
24,24.0,0.24,0.0,0.0,0.1883330381542519,0.0,0.1883330381542519,0.1883330381542519,0,0,0,0
25,25.0,0.25,0.0,0.0,0.18857053312562555,0.0,0.18857053312562555,0.18857053312562555,0,0,0,0
26,26.0,0.26,0.0,0.0,0.18861296008529255,0.0,0.18861296008529255,0.18861296008529255,0,0,0,0
27,27.0,0.27,0.0,0.0,0.18836780726392602,0.0,0.18836780726392602,0.18836780726392602,0,0,0,0
28,28.0,0.28,0.0,0.0,0.18976886811251134,0.0,0.18976886811251134,0.18976886811251134,0,0,0,0
29,29.0,0.29,0.0,0.0,0.18992740116729961,0.0,0.18992740116729961,0.18992740116729961,0,0,0,0
30,30.0,0.3,0.0,0.0,0.18980505660355268,0.0,0.18980505660355268,0.18980505660355268,0,0,0,0
31,31.0,0.31,0.0,0.0,0.19023455667062797,0.0,0.19023455667062797,0.19023455667062797,0,0,0,0
32,32.0,0.32,0.0,0.0,0.19168610264043004,0.0,0.19168610264043004,0.19168610264043004,0,0,0,0
33,33.0,0.33,0.0,0.0,0.19239748669687165,0.0,0.19239748669687165,0.19239748669687165,0,0,0,0
34,34.0,0.34,0.0,0.0,0.191774805209692,0.0,0.191774805209692,0.191774805209692,0,0,0,0
35,35.0,0.35,0.0,0.0,0.19193978965639796,0.0,0.19193978965639796,0.19193978965639796,0,0,0,0
36,36.0,0.36,0.0,0.0,0.19257852045669605,0.0,0.19257852045669605,0.19257852045669605,0,0,0,0
37,37.0,0.37,0.0,0.0,0.1919416735232364,0.0,0.1919416735232364,0.1919416735232364,0,0,0,0
38,38.0,0.38,0.0,0.0,0.19276444746682275,0.0,0.19276444746682275,0.19276444746682275,0,0,0,0
39,39.0,0.39,0.0,0.0,0.1942429405376926,0.0,0.1942429405376926,0.1942429405376926,0,0,0,0
40,40.0,0.4,0.0,0.0,0.1934368383641615,0.0,0.1934368383641615,0.1934368383641615,0,0,0,0
41,41.0,0.41,0.0,0.0,0.19232154085084374,0.0,0.19232154085084374,0.19232154085084374,0,0,0,0
42,42.0,0.42,0.0,0.0,0.1918969489143176,0.0,0.1918969489143176,0.1918969489143176,0,0,0,0
43,43.0,0.43,0.0,0.0,0.1931948439147203,0.0,0.1931948439147203,0.1931948439147203,0,0,0,0
44,44.0,0.44,0.0,0.0,0.19348329046442703,0.0,0.19348329046442703,0.19348329046442703,0,0,0,0
45,45.0,0.45,0.0,0.0,0.19262609692295027,0.0,0.19262609692295027,0.19262609692295027,0,0,0,0
46,46.0,0.46,0.0,0.0,0.1932598223544791,0.0,0.1932598223544791,0.1932598223544791,0,0,0,0
47,47.0,0.47,0.0,0.0,0.19405447221896469,0.0,0.19405447221896469,0.19405447221896469,0,0,0,0
48,48.0,0.48,0.0,0.0,0.1947824335345091,0.0,0.1947824335345091,0.1947824335345091,0,0,0,0
49,49.0,0.49,0.0,0.0,0.19461928125962194,0.0,0.19461928125962194,0.19461928125962194,0,0,0,0
50,50.0,0.5,0.0,0.0,0.19331678828366775,0.0,0.19331678828366775,0.19331678828366775,1,0,1,0
51,51.0,0.51,0.0,0.0,0.19308639182473572,0.0,0.19308639182473572,0.19308639182473572,1,0,1,0
52,52.0,0.52,0.0,0.0,0.19311470307612483,0.0,0.19311470307612483,0.19311470307612483,1,0,1,0
53,53.0,0.53,0.0,0.0,0.19215546840238235,0.0,0.19215546840238235,0.19215546840238235,1,0,1,0
54,54.0,0.54,0.0,0.0,0.19040732136586552,0.0,0.19040732136586552,0.19040732136586552,1,0,1,0
55,55.0,0.55,0.0,0.0,0.19121064665656234,0.0,0.19121064665656234,0.19121064665656234,1,0,1,0
56,56.0,0.56,0.0,0.0,0.19156670920552835,0.0,0.19156670920552835,0.19156670920552835,1,0,1,0
57,57.0,0.57,0.0,0.0,0.1916897347971264,0.0,0.1916897347971264,0.1916897347971264,1,0,1,0
58,58.0,0.58,0.0,0.0,0.19156935106192577,0.0,0.19156935106192577,0.19156935106192577,1,0,1,0
59,59.0,0.59,0.0,0.0,0.1914766547740562,0.0,0.1914766547740562,0.1914766547740562,1,0,1,0
60,60.0,0.6,0.0,0.0,0.19159438342200344,0.0,0.19159438342200344,0.19159438342200344,1,0,1,0
61,61.0,0.61,0.0,0.0,0.19326355178043844,0.0,0.19326355178043844,0.19326355178043844,1,0,1,0
62,62.0,0.62,0.0,0.0,0.19285550624346814,0.0,0.19285550624346814,0.19285550624346814,1,0,1,0
63,63.0,0.63,0.0,0.0,0.19320404493916404,0.0,0.19320404493916404,0.19320404493916404,1,0,1,0
64,64.0,0.64,0.0,0.0,0.19291913484187906,0.0,0.19291913484187906,0.19291913484187906,1,0,1,0
65,65.0,0.65,0.0,0.0,0.19406204207744546,0.0,0.19406204207744546,0.19406204207744546,1,0,1,0
66,66.0,0.66,0.0,0.0,0.1928352801889918,0.0,0.1928352801889918,0.1928352801889918,1,0,1,0
67,67.0,0.67,0.0,0.0,0.19209552948385425,0.0,0.19209552948385425,0.19209552948385425,1,0,1,0
68,68.0,0.68,0.0,0.0,0.19452793338990748,0.0,0.19452793338990748,0.19452793338990748,1,0,1,0
69,69.0,0.69,0.0,0.0,0.19578073061662074,0.0,0.19578073061662074,0.19578073061662074,1,0,1,0
70,70.0,0.7,0.0,0.0,0.19805772906924446,0.0,0.19805772906924446,0.19805772906924446,1,0,1,0
71,71.0,0.71,0.0,0.0,0.1981702754675447,0.0,0.1981702754675447,0.1981702754675447,1,0,1,0
72,72.0,0.72,0.0,0.0,0.198527465664436,0.0,0.198527465664436,0.198527465664436,1,0,1,0
73,73.0,0.73,0.0,0.0,0.1993436562261264,0.0,0.1993436562261264,0.1993436562261264,1,0,1,0
74,74.0,0.74,0.0,0.0,0.1989955489487656,0.0,0.1989955489487656,0.1989955489487656,1,0,1,0
75,75.0,0.75,0.0,0.0,0.19659359248148026,0.0,0.19659359248148026,0.19659359248148026,1,0,1,0
76,76.0,0.76,0.0,0.0,0.1961675865242717,0.0,0.1961675865242717,0.1961675865242717,1,0,1,0
77,77.0,0.77,0.0,0.0,0.1972782252456734,0.0,0.1972782252456734,0.1972782252456734,1,0,1,0
78,78.0,0.78,0.0,0.0,0.1979623644102153,0.0,0.1979623644102153,0.1979623644102153,1,0,1,0
79,79.0,0.79,0.0,0.0,0.19834437464396815,0.0,0.19834437464396815,0.19834437464396815,1,0,1,0
80,80.0,0.8,0.0,0.0,0.1990096805648958,0.0,0.1990096805648958,0.1990096805648958,1,0,1,0
81,81.0,0.81,0.0,0.0,0.19921418637791194,0.0,0.19921418637791194,0.19921418637791194,1,0,1,0
82,82.0,0.82,0.0,0.0,0.1981750114014841,0.0,0.1981750114014841,0.1981750114014841,1,0,1,0
83,83.0,0.83,0.0,0.0,0.19791084035685563,0.0,0.19791084035685563,0.19791084035685563,1,0,1,0
84,84.0,0.84,0.0,0.0,0.19838021538358133,0.0,0.19838021538358133,0.19838021538358133,1,0,1,0
85,85.0,0.85,0.0,0.0,0.19917286470695067,0.0,0.19917286470695067,0.19917286470695067,1,0,1,0
86,86.0,0.86,0.0,0.0,0.19876534742828403,0.0,0.19876534742828403,0.19876534742828403,1,0,1,0
87,87.0,0.87,0.0,0.0,0.19817600411324784,0.0,0.19817600411324784,0.19817600411324784,1,0,1,0
88,88.0,0.88,0.0,0.0,0.19839370286764377,0.0,0.19839370286764377,0.19839370286764377,1,0,1,0
89,89.0,0.89,0.0,0.0,0.19808954382245308,0.0,0.19808954382245308,0.19808954382245308,1,0,1,0
90,90.0,0.9,0.0,0.0,0.1979815739566099,0.0,0.1979815739566099,0.1979815739566099,1,0,1,0
91,91.0,0.91,0.0,0.0,0.19592976737671217,0.0,0.19592976737671217,0.19592976737671217,1,0,1,0
92,92.0,0.92,0.0,0.0,0.19701965552932657,0.0,0.19701965552932657,0.19701965552932657,1,0,1,0
93,93.0,0.93,0.0,0.0,0.19688909782605102,0.0,0.19688909782605102,0.19688909782605102,1,0,1,0
94,94.0,0.94,0.0,0.0,0.19638023862690843,0.0,0.19638023862690843,0.19638023862690843,1,0,1,0
95,95.0,0.95,0.0,0.0,0.1965428264891847,0.0,0.1965428264891847,0.1965428264891847,1,0,1,0
96,96.0,0.96,0.0,0.0,0.19457262688492047,0.0,0.19457262688492047,0.19457262688492047,1,0,1,0
97,97.0,0.97,0.0,0.0,0.19445923209116228,0.0,0.19445923209116228,0.19445923209116228,1,0,1,0
98,98.0,0.98,0.0,0.0,0.19380886082705098,0.0,0.19380886082705098,0.19380886082705098,1,0,1,0
99,99.0,0.99,0.0,0.0,0.1930683527463303,0.0,0.1930683527463303,0.1930683527463303,1,0,1,0
100,100.0,1.0,0.0,0.0,0.19462332042900615,0.0,0.19462332042900615,0.19462332042900615,1,0,1,0
101,101.0,1.01,0.0,0.0,0.19482133964333206,0.0,0.19482133964333206,0.19482133964333206,1,0,1,0
102,102.0,1.02,0.0,0.0,0.19584155702449688,0.0,0.19584155702449688,0.19584155702449688,1,0,1,0
103,103.0,1.03,0.0,0.0,0.19560277603524584,0.0,0.19560277603524584,0.19560277603524584,1,0,1,0
104,104.0,1.04,0.0,0.0,0.19500608202571154,0.0,0.19500608202571154,0.19500608202571154,1,0,1,0
105,105.0,1.05,0.0,0.0,0.19726958790331361,0.0,0.19726958790331361,0.19726958790331361,1,0,1,0
106,106.0,1.06,0.0,0.0,0.19740234602814036,0.0,0.19740234602814036,0.19740234602814036,1,0,1,0
107,107.0,1.07,0.0,0.0,0.19844271894984275,0.0,0.19844271894984275,0.19844271894984275,1,0,1,0
108,108.0,1.08,0.0,0.0,0.19841651471741054,0.0,0.19841651471741054,0.19841651471741054,1,0,1,0
109,109.0,1.09,0.0,0.0,0.19854157611376919,0.0,0.19854157611376919,0.19854157611376919,1,0,1,0
110,110.0,1.1,0.0,0.0,0.19984235646114248,0.0,0.19984235646114248,0.19984235646114248,1,0,1,0
111,111.0,1.11,0.0,0.0,0.19909974700385014,0.0,0.19909974700385014,0.19909974700385014,1,0,1,0
112,112.0,1.12,0.0,0.0,0.19723100217589112,0.0,0.19723100217589112,0.19723100217589112,1,0,1,0
113,113.0,1.13,0.0,0.0,0.19645341412606654,0.0,0.19645341412606654,0.19645341412606654,1,0,1,0
114,114.0,1.14,0.0,0.0,0.19747568185469785,0.0,0.19747568185469785,0.19747568185469785,1,0,1,0
115,115.0,1.15,0.0,0.0,0.19673516041373584,0.0,0.19673516041373584,0.19673516041373584,1,0,1,0
116,116.0,1.16,0.0,0.0,0.1962504229942929,0.0,0.1962504229942929,0.1962504229942929,1,0,1,0
117,117.0,1.17,0.0,0.0,0.1959461873484036,0.0,0.1959461873484036,0.1959461873484036,1,0,1,0
118,118.0,1.18,0.0,0.0,0.19641406205845438,0.0,0.19641406205845438,0.19641406205845438,1,0,1,0
119,119.0,1.19,0.0,0.0,0.19840895304572312,0.0,0.19840895304572312,0.19840895304572312,1,0,1,0
120,120.0,1.2,0.0,0.0,0.19891580669062087,0.0,0.19891580669062087,0.19891580669062087,1,0,1,0
121,121.0,1.21,0.0,0.0,0.19974608810518157,0.0,0.19974608810518157,0.19974608810518157,1,0,1,0
122,122.0,1.22,0.0,0.0,0.20019233363425298,0.0,0.20019233363425298,0.20019233363425298,1,0,1,0
123,123.0,1.23,0.0,0.0,0.19970393100029954,0.0,0.19970393100029954,0.19970393100029954,1,0,1,0
124,124.0,1.24,0.0,0.0,0.19923428457097775,0.0,0.19923428457097775,0.19923428457097775,1,0,1,0
125,125.0,1.25,0.0,0.0,0.19913463119589034,0.0,0.19913463119589034,0.19913463119589034,1,0,1,0
126,126.0,1.26,0.0,0.0,0.19863310162119277,0.0,0.19863310162119277,0.19863310162119277,1,0,1,0
127,127.0,1.27,0.0,0.0,0.1979381379673183,0.0,0.1979381379673183,0.1979381379673183,1,0,1,0
128,128.0,1.28,0.0,0.0,0.1970537572121248,0.0,0.1970537572121248,0.1970537572121248,1,0,1,0
129,129.0,1.29,0.0,0.0,0.19811792920944146,0.0,0.19811792920944146,0.19811792920944146,1,0,1,0
130,130.0,1.3,0.0,0.0,0.19880931059063997,0.0,0.19880931059063997,0.19880931059063997,1,0,1,0
131,131.0,1.31,0.0,0.0,0.19901605254211285,0.0,0.19901605254211285,0.19901605254211285,1,0,1,0
