sample_index,debug_step,t_s,theta_true_deg,theta_mtcn_deg,theta_rkf_deg,abs_error_mtcn_deg,abs_error_rkf_deg,delta_abs_error_deg,evaluation_sample,rkf_better_beyond_tolerance,mtcn_better_beyond_tolerance,near_tie
0,,0.0,0.0,,,,,,0,0,0,0
1,1.0,0.01,0.0,0.0,0.15488797143398722,0.0,0.15488797143398722,0.15488797143398722,0,0,0,0
2,2.0,0.02,0.0,0.0,0.15865619882825963,0.0,0.15865619882825963,0.15865619882825963,0,0,0,0
3,3.0,0.03,0.0,0.0,0.16131621465360893,0.0,0.16131621465360893,0.16131621465360893,0,0,0,0
4,4.0,0.04,0.0,0.0,0.16279041066285474,0.0,0.16279041066285474,0.16279041066285474,0,0,0,0
5,5.0,0.05,0.0,0.0,0.16432435469954054,0.0,0.16432435469954054,0.16432435469954054,0,0,0,0
6,6.0,0.06,0.0,0.0,0.1662035587287644,0.0,0.1662035587287644,0.1662035587287644,0,0,0,0
7,7.0,0.07,0.0,0.0,0.16715445703700257,0.0,0.16715445703700257,0.16715445703700257,0,0,0,0
8,8.0,0.08,0.0,0.0,0.16656691252919795,0.0,0.16656691252919795,0.16656691252919795,0,0,0,0
9,9.0,0.09,0.0,0.0,0.1685105610971365,0.0,0.1685105610971365,0.1685105610971365,0,0,0,0
10,10.0,0.1,0.0,0.0,0.16943119737269535,0.0,0.16943119737269535,0.16943119737269535,0,0,0,0
11,11.0,0.11,0.0,0.0,0.17062367178979565,0.0,0.17062367178979565,0.17062367178979565,0,0,0,0
12,12.0,0.12,0.0,0.0,0.17106549532937068,0.0,0.17106549532937068,0.17106549532937068,0,0,0,0
13,13.0,0.13,0.0,0.0,0.17059987902154142,0.0,0.17059987902154142,0.17059987902154142,0,0,0,0
14,14.0,0.14,0.0,0.0,0.1706845387388476,0.0,0.1706845387388476,0.1706845387388476,0,0,0,0
15,15.0,0.15,0.0,0.0,0.17086811897410914,0.0,0.17086811897410914,0.17086811897410914,0,0,0,0
16,16.0,0.16,0.0,0.0,0.17009906661858581,0.0,0.17009906661858581,0.17009906661858581,0,0,0,0
17,17.0,0.17,0.0,0.0,0.1686174052659814,0.0,0.1686174052659814,0.1686174052659814,0,0,0,0
18,18.0,0.18,0.0,0.0,0.16696281253536613,0.0,0.16696281253536613,0.16696281253536613,0,0,0,0
19,19.0,0.19,0.0,0.0,0.16697117249062002,0.0,0.16697117249062002,0.16697117249062002,0,0,0,0
20,20.0,0.2,0.0,0.0,0.16693623902167695,0.0,0.16693623902167695,0.16693623902167695,0,0,0,0
21,21.0,0.21,0.0,0.0,0.16687920692172428,0.0,0.16687920692172428,0.16687920692172428,0,0,0,0
22,22.0,0.22,0.0,0.0,0.1665642488576617,0.0,0.1665642488576617,0.1665642488576617,0,0,0,0
23,23.0,0.23,0.0,0.0,0.16774910535294874,0.0,0.16774910535294874,0.16774910535294874,0,0,0,0
24,24.0,0.24,0.0,0.0,0.16906722609459174,0.0,0.16906722609459174,0.16906722609459174,0,0,0,0
25,25.0,0.25,0.0,0.0,0.16918853898322755,0.0,0.16918853898322755,0.16918853898322755,0,0,0,0
26,26.0,0.26,0.0,0.0,0.16930900018138242,0.0,0.16930900018138242,0.16930900018138242,0,0,0,0
27,27.0,0.27,0.0,0.0,0.16912960457585285,0.0,0.16912960457585285,0.16912960457585285,0,0,0,0
28,28.0,0.28,0.0,0.0,0.1704144001048556,0.0,0.1704144001048556,0.1704144001048556,0,0,0,0
29,29.0,0.29,0.0,0.0,0.17049955412361747,0.0,0.17049955412361747,0.17049955412361747,0,0,0,0
30,30.0,0.3,0.0,0.0,0.17036876174310867,0.0,0.17036876174310867,0.17036876174310867,0,0,0,0
31,31.0,0.31,0.0,0.0,0.17089307699989723,0.0,0.17089307699989723,0.17089307699989723,0,0,0,0
32,32.0,0.32,0.0,0.0,0.1721563416510859,0.0,0.1721563416510859,0.1721563416510859,0,0,0,0
33,33.0,0.33,0.0,0.0,0.17294322613946006,0.0,0.17294322613946006,0.17294322613946006,0,0,0,0
34,34.0,0.34,0.0,0.0,0.17243220443495308,0.0,0.17243220443495308,0.17243220443495308,0,0,0,0
35,35.0,0.35,0.0,0.0,0.17259378495690206,0.0,0.17259378495690206,0.17259378495690206,0,0,0,0
36,36.0,0.36,0.0,0.0,0.17323332166364352,0.0,0.17323332166364352,0.17323332166364352,0,0,0,0
37,37.0,0.37,0.0,0.0,0.1726588348600136,0.0,0.1726588348600136,0.1726588348600136,0,0,0,0
38,38.0,0.38,0.0,0.0,0.17361577354049557,0.0,0.17361577354049557,0.17361577354049557,0,0,0,0
39,39.0,0.39,0.0,0.0,0.1749724265456316,0.0,0.1749724265456316,0.1749724265456316,0,0,0,0
40,40.0,0.4,0.0,0.0,0.1740895811507989,0.0,0.1740895811507989,0.1740895811507989,0,0,0,0
41,41.0,0.41,0.0,0.0,0.172965909657607,0.0,0.172965909657607,0.172965909657607,0,0,0,0
42,42.0,0.42,0.0,0.0,0.17263078206747373,0.0,0.17263078206747373,0.17263078206747373,0,0,0,0
43,43.0,0.43,0.0,0.0,0.17378503469514728,0.0,0.17378503469514728,0.17378503469514728,0,0,0,0
44,44.0,0.44,0.0,0.0,0.17410858606671498,0.0,0.17410858606671498,0.17410858606671498,0,0,0,0
45,45.0,0.45,0.0,0.0,0.17326615583213895,0.0,0.17326615583213895,0.17326615583213895,0,0,0,0
46,46.0,0.46,0.0,0.0,0.17399097098013722,0.0,0.17399097098013722,0.17399097098013722,0,0,0,0
47,47.0,0.47,0.0,0.0,0.1748122314407822,0.0,0.1748122314407822,0.1748122314407822,0,0,0,0
48,48.0,0.48,0.0,0.0,0.17550180585439773,0.0,0.17550180585439773,0.17550180585439773,0,0,0,0
49,49.0,0.49,0.0,0.0,0.17541970966830775,0.0,0.17541970966830775,0.17541970966830775,0,0,0,0
50,50.0,0.5,0.0,0.0,0.17410727092374273,0.0,0.17410727092374273,0.17410727092374273,1,0,1,0
51,51.0,0.51,0.0,0.0,0.17392688152593128,0.0,0.17392688152593128,0.17392688152593128,1,0,1,0
52,52.0,0.52,0.0,0.0,0.17385939554012347,0.0,0.17385939554012347,0.17385939554012347,1,0,1,0
53,53.0,0.53,0.0,0.0,0.17290945942518957,0.0,0.17290945942518957,0.17290945942518957,1,0,1,0
54,54.0,0.54,0.0,0.0,0.17125534250872174,0.0,0.17125534250872174,0.17125534250872174,1,0,1,0
55,55.0,0.55,0.0,0.0,0.1720517724894842,0.0,0.1720517724894842,0.1720517724894842,1,0,1,0
56,56.0,0.56,0.0,0.0,0.17246029516256453,0.0,0.17246029516256453,0.17246029516256453,1,0,1,0
57,57.0,0.57,0.0,0.0,0.17256912114541156,0.0,0.17256912114541156,0.17256912114541156,1,0,1,0
58,58.0,0.58,0.0,0.0,0.17241206089841418,0.0,0.17241206089841418,0.17241206089841418,1,0,1,0
59,59.0,0.59,0.0,0.0,0.17221032778048376,0.0,0.17221032778048376,0.17221032778048376,1,0,1,0
60,60.0,0.6,0.0,0.0,0.17242402363880607,0.0,0.17242402363880607,0.17242402363880607,1,0,1,0
61,61.0,0.61,0.0,0.0,0.17397586085452635,0.0,0.17397586085452635,0.17397586085452635,1,0,1,0
62,62.0,0.62,0.0,0.0,0.17365905098394852,0.0,0.17365905098394852,0.17365905098394852,1,0,1,0
63,63.0,0.63,0.0,0.0,0.1740065517443735,0.0,0.1740065517443735,0.1740065517443735,1,0,1,0
64,64.0,0.64,0.0,0.0,0.173679396188883,0.0,0.173679396188883,0.173679396188883,1,0,1,0
65,65.0,0.65,0.0,0.0,0.17487103183667466,0.0,0.17487103183667466,0.17487103183667466,1,0,1,0
66,66.0,0.66,0.0,0.0,0.17377598886108933,0.0,0.17377598886108933,0.17377598886108933,1,0,1,0
67,67.0,0.67,0.0,0.0,0.17300326372193356,0.0,0.17300326372193356,0.17300326372193356,1,0,1,0
68,68.0,0.68,0.0,0.0,0.1753650006275689,0.0,0.1753650006275689,0.1753650006275689,1,0,1,0
69,69.0,0.69,0.0,0.0,0.1766907103338012,0.0,0.1766907103338012,0.1766907103338012,1,0,1,0
70,70.0,0.7,0.0,0.0,0.17894161762999816,0.0,0.17894161762999816,0.17894161762999816,1,0,1,0
71,71.0,0.71,0.0,0.0,0.17900035650023874,0.0,0.17900035650023874,0.17900035650023874,1,0,1,0
72,72.0,0.72,0.0,0.0,0.17934194993260616,0.0,0.17934194993260616,0.17934194993260616,1,0,1,0
73,73.0,0.73,0.0,0.0,0.18016789596844027,0.0,0.18016789596844027,0.18016789596844027,1,0,1,0
74,74.0,0.74,0.0,0.0,0.17986895967800462,0.0,0.17986895967800462,0.17986895967800462,1,0,1,0
75,75.0,0.75,0.0,0.0,0.17749190570306014,0.0,0.17749190570306014,0.17749190570306014,1,0,1,0
76,76.0,0.76,0.0,0.0,0.17693142593457392,0.0,0.17693142593457392,0.17693142593457392,1,0,1,0
77,77.0,0.77,0.0,0.0,0.1780547342546286,0.0,0.1780547342546286,0.1780547342546286,1,0,1,0
78,78.0,0.78,0.0,0.0,0.17875673963776187,0.0,0.17875673963776187,0.17875673963776187,1,0,1,0
79,79.0,0.79,0.0,0.0,0.1791842280977458,0.0,0.1791842280977458,0.1791842280977458,1,0,1,0
80,80.0,0.8,0.0,0.0,0.17983859605872793,0.0,0.17983859605872793,0.17983859605872793,1,0,1,0
81,81.0,0.81,0.0,0.0,0.18003246420773383,0.0,0.18003246420773383,0.18003246420773383,1,0,1,0
82,82.0,0.82,0.0,0.0,0.1789619256845612,0.0,0.1789619256845612,0.1789619256845612,1,0,1,0
83,83.0,0.83,0.0,0.0,0.17875122915309596,0.0,0.17875122915309596,0.17875122915309596,1,0,1,0
84,84.0,0.84,0.0,0.0,0.17932132652453064,0.0,0.17932132652453064,0.17932132652453064,1,0,1,0
85,85.0,0.85,0.0,0.0,0.18005332611766195,0.0,0.18005332611766195,0.18005332611766195,1,0,1,0
86,86.0,0.86,0.0,0.0,0.1796602410094017,0.0,0.1796602410094017,0.1796602410094017,1,0,1,0
87,87.0,0.87,0.0,0.0,0.17909078139664705,0.0,0.17909078139664705,0.17909078139664705,1,0,1,0
88,88.0,0.88,0.0,0.0,0.17933282184203425,0.0,0.17933282184203425,0.17933282184203425,1,0,1,0
89,89.0,0.89,0.0,0.0,0.17896053749860877,0.0,0.17896053749860877,0.17896053749860877,1,0,1,0
90,90.0,0.9,0.0,0.0,0.1788035407529822,0.0,0.1788035407529822,0.1788035407529822,1,0,1,0
91,91.0,0.91,0.0,0.0,0.176863199811386,0.0,0.176863199811386,0.176863199811386,1,0,1,0
92,92.0,0.92,0.0,0.0,0.17780764226626752,0.0,0.17780764226626752,0.17780764226626752,1,0,1,0
93,93.0,0.93,0.0,0.0,0.17780026586519287,0.0,0.17780026586519287,0.17780026586519287,1,0,1,0
94,94.0,0.94,0.0,0.0,0.17723128453939702,0.0,0.17723128453939702,0.17723128453939702,1,0,1,0
95,95.0,0.95,0.0,0.0,0.17741668276975975,0.0,0.17741668276975975,0.17741668276975975,1,0,1,0
96,96.0,0.96,0.0,0.0,0.17553978270946632,0.0,0.17553978270946632,0.17553978270946632,1,0,1,0
97,97.0,0.97,0.0,0.0,0.17540172972927667,0.0,0.17540172972927667,0.17540172972927667,1,0,1,0
98,98.0,0.98,0.0,0.0,0.17462708772486682,0.0,0.17462708772486682,0.17462708772486682,1,0,1,0
99,99.0,0.99,0.0,0.0,0.17394198204099448,0.0,0.17394198204099448,0.17394198204099448,1,0,1,0
100,100.0,1.0,0.0,0.0,0.17541986721241565,0.0,0.17541986721241565,0.17541986721241565,1,0,1,0
101,101.0,1.01,0.0,0.0,0.1756396691159027,0.0,0.1756396691159027,0.1756396691159027,1,0,1,0
102,102.0,1.02,0.0,0.0,0.17670975580478154,0.0,0.17670975580478154,0.17670975580478154,1,0,1,0
103,103.0,1.03,0.0,0.0,0.17659558897251632,0.0,0.17659558897251632,0.17659558897251632,1,0,1,0
104,104.0,1.04,0.0,0.0,0.17599403524373977,0.0,0.17599403524373977,0.17599403524373977,1,0,1,0
105,105.0,1.05,0.0,0.0,0.17814469838093344,0.0,0.17814469838093344,0.17814469838093344,1,0,1,0
106,106.0,1.06,0.0,0.0,0.17829766447402728,0.0,0.17829766447402728,0.17829766447402728,1,0,1,0
107,107.0,1.07,0.0,0.0,0.17934988738856994,0.0,0.17934988738856994,0.17934988738856994,1,0,1,0
108,108.0,1.08,0.0,0.0,0.17929168784989613,0.0,0.17929168784989613,0.17929168784989613,1,0,1,0
109,109.0,1.09,0.0,0.0,0.17941441496221902,0.0,0.17941441496221902,0.17941441496221902,1,0,1,0
110,110.0,1.1,0.0,0.0,0.18064450004746402,0.0,0.18064450004746402,0.18064450004746402,1,0,1,0
111,111.0,1.11,0.0,0.0,0.17999675642794455,0.0,0.17999675642794455,0.17999675642794455,1,0,1,0
112,112.0,1.12,0.0,0.0,0.17809507244339126,0.0,0.17809507244339126,0.17809507244339126,1,0,1,0
113,113.0,1.13,0.0,0.0,0.17723053279103293,0.0,0.17723053279103293,0.17723053279103293,1,0,1,0
114,114.0,1.14,0.0,0.0,0.17825746712341864,0.0,0.17825746712341864,0.17825746712341864,1,0,1,0
115,115.0,1.15,0.0,0.0,0.17767842253947827,0.0,0.17767842253947827,0.17767842253947827,1,0,1,0
116,116.0,1.16,0.0,0.0,0.17718882434609234,0.0,0.17718882434609234,0.17718882434609234,1,0,1,0
