sample_index,debug_step,t_s,theta_true_deg,theta_mtcn_deg,theta_rkf_deg,abs_error_mtcn_deg,abs_error_rkf_deg,delta_abs_error_deg,evaluation_sample,rkf_better_beyond_tolerance,mtcn_better_beyond_tolerance,near_tie
0,,0.0,0.0,,,,,,0,0,0,0
1,1.0,0.01,0.0,0.0,0.154605208405283,0.0,0.154605208405283,0.154605208405283,0,0,0,0
2,2.0,0.02,0.0,0.0,0.1582543689037347,0.0,0.1582543689037347,0.1582543689037347,0,0,0,0
3,3.0,0.03,0.0,0.0,0.16079068294956977,0.0,0.16079068294956977,0.16079068294956977,0,0,0,0
4,4.0,0.04,0.0,0.0,0.16218017929363715,0.0,0.16218017929363715,0.16218017929363715,0,0,0,0
5,5.0,0.05,0.0,0.0,0.1636415238445095,0.0,0.1636415238445095,0.1636415238445095,0,0,0,0
6,6.0,0.06,0.0,0.0,0.16548944840546248,0.0,0.16548944840546248,0.16548944840546248,0,0,0,0
7,7.0,0.07,0.0,0.0,0.1664114871842781,0.0,0.1664114871842781,0.1664114871842781,0,0,0,0
8,8.0,0.08,0.0,0.0,0.1657942917938902,0.0,0.1657942917938902,0.1657942917938902,0,0,0,0
9,9.0,0.09,0.0,0.0,0.16770799292773841,0.0,0.16770799292773841,0.16770799292773841,0,0,0,0
10,10.0,0.1,0.0,0.0,0.16860326757377128,0.0,0.16860326757377128,0.16860326757377128,0,0,0,0
11,11.0,0.11,0.0,0.0,0.169789951306238,0.0,0.169789951306238,0.169789951306238,0,0,0,0
12,12.0,0.12,0.0,0.0,0.1702156110456832,0.0,0.1702156110456832,0.1702156110456832,0,0,0,0
13,13.0,0.13,0.0,0.0,0.1697343154595695,0.0,0.1697343154595695,0.1697343154595695,0,0,0,0
14,14.0,0.14,0.0,0.0,0.1698088561782341,0.0,0.1698088561782341,0.1698088561782341,0,0,0,0
15,15.0,0.15,0.0,0.0,0.16997835038251788,0.0,0.16997835038251788,0.16997835038251788,0,0,0,0
