sample_index,debug_step,t_s,theta_true_deg,theta_mtcn_deg,theta_observer_deg,abs_error_mtcn_deg,abs_error_observer_deg,delta_abs_error_deg,evaluation_sample,observer_better_beyond_tolerance,mtcn_better_beyond_tolerance,near_tie
0,,0.0,0.0,,,,,,0,0,0,0
1,1.0,0.01,0.0,0.0,1.6954191878965907,0.0,1.6954191878965907,1.6954191878965907,0,0,0,0
2,2.0,0.02,0.0,0.0,1.8136852800830296,0.0,1.8136852800830296,1.8136852800830296,0,0,0,0
3,3.0,0.03,0.0,0.0,1.9631169371025998,0.0,1.9631169371025998,1.9631169371025998,0,0,0,0
4,4.0,0.04,0.0,0.0,2.1120580217460345,0.0,2.1120580217460345,2.1120580217460345,0,0,0,0
5,5.0,0.05,0.0,0.0,2.3035498105061225,0.0,2.3035498105061225,2.3035498105061225,0,0,0,0
6,6.0,0.06,0.0,0.0,2.52203563893113,0.0,2.52203563893113,2.52203563893113,0,0,0,0
7,7.0,0.07,0.0,0.0,2.7527983759321644,0.0,2.7527983759321644,2.7527983759321644,0,0,0,0
8,8.0,0.08,0.0,0.0,2.994131928358265,0.0,2.994131928358265,2.994131928358265,0,0,0,0
9,9.0,0.09,0.0,0.0,3.255477222476599,0.0,3.255477222476599,3.255477222476599,0,0,0,0
10,10.0,0.1,0.0,0.0,3.5122748141934004,0.0,3.5122748141934004,3.5122748141934004,0,0,0,0
11,11.0,0.11,0.0,0.0,3.7540301546540498,0.0,3.7540301546540498,3.7540301546540498,0,0,0,0
12,12.0,0.12,0.0,0.0,3.9908504514126597,0.0,3.9908504514126597,3.9908504514126597,0,0,0,0
13,13.0,0.13,0.0,0.0,4.223593941815415,0.0,4.223593941815415,4.223593941815415,0,0,0,0
14,14.0,0.14,0.0,0.0,4.445123095793462,0.0,4.445123095793462,4.445123095793462,0,0,0,0
15,15.0,0.15,0.0,0.0,4.655492315243845,0.0,4.655492315243845,4.655492315243845,0,0,0,0
16,16.0,0.16,0.0,0.0,4.8572625493485875,0.0,4.8572625493485875,4.8572625493485875,0,0,0,0
17,17.0,0.17,0.0,0.0,5.04038510571147,0.0,5.04038510571147,5.04038510571147,0,0,0,0
18,18.0,0.18,0.0,0.0,5.215713972348775,0.0,5.215713972348775,5.215713972348775,0,0,0,0
19,19.0,0.19,0.0,0.0,5.369206053708006,0.0,5.369206053708006,5.369206053708006,0,0,0,0
20,20.0,0.2,0.0,0.0,5.514153575491375,0.0,5.514153575491375,5.514153575491375,0,0,0,0
21,21.0,0.21,0.0,0.0,5.649290913074832,0.0,5.649290913074832,5.649290913074832,0,0,0,0
22,22.0,0.22,0.0,0.0,5.764706800898556,0.0,5.764706800898556,5.764706800898556,0,0,0,0
23,23.0,0.23,0.0,0.0,5.886050439556305,0.0,5.886050439556305,5.886050439556305,0,0,0,0
24,24.0,0.24,0.0,0.0,5.984533260480605,0.0,5.984533260480605,5.984533260480605,0,0,0,0
25,25.0,0.25,0.0,0.0,6.077796722176788,0.0,6.077796722176788,6.077796722176788,0,0,0,0
26,26.0,0.26,0.0,0.0,6.162491260426171,0.0,6.162491260426171,6.162491260426171,0,0,0,0
27,27.0,0.27,0.0,0.0,6.241553651044973,0.0,6.241553651044973,6.241553651044973,0,0,0,0
28,28.0,0.28,0.0,0.0,6.320419863529417,0.0,6.320419863529417,6.320419863529417,0,0,0,0
29,29.0,0.29,0.0,0.0,6.392568414732357,0.0,6.392568414732357,6.392568414732357,0,0,0,0
30,30.0,0.3,0.0,0.0,6.463455562398866,0.0,6.463455562398866,6.463455562398866,0,0,0,0
31,31.0,0.31,0.0,0.0,6.532038607119351,0.0,6.532038607119351,6.532038607119351,0,0,0,0
32,32.0,0.32,0.0,0.0,6.5931516648501605,0.0,6.5931516648501605,6.5931516648501605,0,0,0,0
33,33.0,0.33,0.0,0.0,6.6508095804721625,0.0,6.6508095804721625,6.6508095804721625,0,0,0,0
34,34.0,0.34,0.0,0.0,6.687688656274078,0.0,6.687688656274078,6.687688656274078,0,0,0,0
