seed,sensor_seed,case_dir,window_start_s,window_end_s,tcn_ready_fraction,tcn_mae_deg,tcn_max_abs_error_deg,qualified_observer_mae_deg,max_abs_tcn_rate_deg_s,jump_group_count,zero_output_run_count,zero_output_while_ready_fraction,longest_zero_output_run_s,classification
1,4631,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed1\p01_factory_logistics_showcase,130.0,155.0,1.0,1.0539825728885657,1.1999993143129848,0.2956872850460118,200.2947246770268,2,2,0.9960015993602559,18.3,step-like oscillation/dropout
7,4631,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed7\p01_factory_logistics_showcase\attempts\20260801_214557_070,130.0,155.0,1.0,1.5762912425155868,2.456154387738605,0.29484054707106555,200.96094508481985,6,4,0.4934026389444222,9.4,step-like oscillation/dropout
11,4631,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed11\p01_factory_logistics_showcase\attempts\20260801_220943_660,130.0,155.0,1.0,1.0545476064530337,1.1999993143129848,0.29560812244765206,0.0,0,1,1.0,25.01,persistent zero-output dropout
21,4631,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed21\p01_factory_logistics_showcase\attempts\20260801_224127_153,130.0,155.0,1.0,1.1235537479092739,1.5516383502064792,0.2997333586919701,200.8460717664484,6,5,0.5729708116753298,9.28,step-like oscillation/dropout
42,4631,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed42\p01_factory_logistics_showcase\attempts\20260801_205613_566,130.0,155.0,1.0,1.061347526029066,1.5239945069137257,0.29927336442016816,201.6636640123182,10,6,0.6517393042782886,5.73,step-like oscillation/dropout
73,4631,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed73\p01_factory_logistics_showcase\attempts\20260801_231757_377,130.0,155.0,1.0,1.036746265366698,1.4064951388810538,0.2979236856406998,200.94642987943428,9,5,0.8084766093562575,10.48,step-like oscillation/dropout
101,4631,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed101\p01_factory_logistics_showcase\attempts\20260801_234303_971,130.0,155.0,1.0,1.4368769705636046,2.321614037128276,0.2920142562361538,201.51452604864036,8,5,0.3322670931627349,3.9,step-like oscillation/dropout
202,4631,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed202\p01_factory_logistics_showcase\attempts\20260802_001525_687,130.0,155.0,1.0,1.4113126147650445,1.8249060223915725,0.2979899897858422,200.20902536150587,1,1,0.3750499800079968,9.38,step-like oscillation/dropout
340,4631,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed340\p01_factory_logistics_showcase\attempts\20260802_004342_214,130.0,155.0,1.0,1.0437886194997934,1.1999993143129848,0.2968537208576104,200.69216149405491,2,2,0.9136345461815274,16.77,step-like oscillation/dropout
520,4631,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed520\p01_factory_logistics_showcase\attempts\20260802_011239_892,130.0,155.0,1.0,1.0545476064530337,1.1999993143129848,0.2944643863707134,0.0,0,1,1.0,25.01,persistent zero-output dropout
