sample_index,debug_step,t_s,theta_true_deg,theta_mtcn_deg,theta_observer_deg,abs_error_mtcn_deg,abs_error_observer_deg,delta_abs_error_deg,evaluation_sample,observer_better_beyond_tolerance,mtcn_better_beyond_tolerance,near_tie
0,,0.0,0.0,,,,,,0,0,0,0
1,1.0,0.01,-0.00017504882812499988,0.0,1.8645315142370127,0.00017504882812499988,1.8647065630651376,1.8645315142370127,0,0,0,0
2,2.0,0.02,-0.00035009765624999977,0.0,1.9903969219681459,0.00035009765624999977,1.990747019624396,1.9903969219681459,0,0,0,0
3,3.0,0.03,-0.0005251464843750002,0.0,2.1454655891352905,0.0005251464843750002,2.1459907356196655,2.1454655891352905,0,0,0,0
4,4.0,0.04,-0.0007001953124999995,0.0,2.3053982195547094,0.0007001953124999995,2.3060984148672095,2.3053982195547094,0,0,0,0
5,5.0,0.05,-0.0008752441406249993,0.0,2.52312529412535,0.0008752441406249993,2.524000538265975,2.52312529412535,0,0,0,0
6,6.0,0.06,-0.0013974609375000003,0.0,2.7708461873568493,0.0013974609375000003,2.7722436482943493,2.7708461873568493,0,0,0,0
7,7.0,0.07,-0.001919677734375001,0.0,3.0316774558504687,0.001919677734375001,3.0335971335848435,3.0316774558504687,0,0,0,0
8,8.0,0.08,-0.0024418945312500023,0.0,3.3030203662800295,0.0024418945312500023,3.3054622608112796,3.3030203662800295,0,0,0,0
9,9.0,0.09,-0.002964111328125003,0.0,3.5941002237081454,0.002964111328125003,3.5970643350362703,3.5941002237081454,0,0,0,0
10,10.0,0.1,-0.003486328124999998,0.0,3.879048772074145,0.003486328124999998,3.8825351001991453,3.879048772074145,0,0,0,0
11,11.0,0.11,-0.004351318359374999,0.0,4.148276505154566,0.004351318359374999,4.152627823513941,4.148276505154566,0,0,0,0
12,12.0,0.12,-0.00521630859375,0.0,4.4115688647209215,0.00521630859375,4.416785173314672,4.4115688647209215,0,0,0,0
13,13.0,0.13,-0.006081298828121907,0.0,4.66984733793251,0.006081298828121907,4.6759286367606325,4.66984733793251,0,0,0,0
14,14.0,0.14,-0.0069462890624945465,0.0,4.9158457374493,0.0069462890624945465,4.922792026511795,4.9158457374493,0,0,0,0
15,15.0,0.15,-0.007811279296872916,0.0,5.149309221210565,0.007811279296872916,5.157120500507438,5.149309221210565,0,0,0,0
16,16.0,0.16,-0.009014648437497864,0.0,5.373648872754251,0.009014648437497864,5.382663521191749,5.373648872754251,0,0,0,0
17,17.0,0.17,-0.010218017578122813,0.0,5.578829734785357,0.010218017578122813,5.58904775236348,5.578829734785357,0,0,0,0
18,18.0,0.18,-0.011421386718747761,0.0,5.775526115979949,0.011421386718747761,5.786947502698697,5.775526115979949,0,0,0,0
19,19.0,0.19,-0.01262475585937271,0.0,5.948454112519126,0.01262475585937271,5.961078868378499,5.948454112519126,0,0,0,0
20,20.0,0.2,-0.013828124999997658,0.0,6.111566127371281,0.013828124999997658,6.125394252371279,6.111566127371281,0,0,0,0
21,21.0,0.21,-0.015365478515624587,0.0,6.263973638787737,0.015365478515624587,6.279339117303362,6.263973638787737,0,0,0,0
22,22.0,0.22,-0.016902832031245783,0.0,6.395339662536616,0.016902832031245783,6.412242494567861,6.395339662536616,0,0,0,0
23,23.0,0.23,-0.01844018554687271,0.0,6.531557278953253,0.01844018554687271,6.549997464500126,6.531557278953253,0,0,0,0
24,24.0,0.24,-0.019977539062499643,0.0,6.643744873939392,0.019977539062499643,6.663722413001891,6.643744873939392,0,0,0,0
25,25.0,0.25,-0.02151489257812084,0.0,6.749514942862639,0.02151489257812084,6.77102983544076,6.749514942862639,0,0,0,0
26,26.0,0.26,-0.023381835937499422,0.0,6.8389932004188285,0.023381835937499422,6.862375036356328,6.8389932004188285,0,0,0,0
27,27.0,0.27,-0.025248779296872276,0.0,6.919363906944554,0.025248779296872276,6.944612686241426,6.919363906944554,0,0,0,0
28,28.0,0.28,-0.027115722656245126,0.0,6.999485407586459,0.027115722656245126,7.026601130242704,6.999485407586459,0,0,0,0
29,29.0,0.29,-0.028982666015623708,0.0,7.0733445174420355,0.028982666015623708,7.10232718345766,7.0733445174420355,0,0,0,0
