sample_index,debug_step,t_s,theta_true_deg,theta_mtcn_deg,theta_rkf_deg,abs_error_mtcn_deg,abs_error_rkf_deg,delta_abs_error_deg,evaluation_sample,rkf_better_beyond_tolerance,mtcn_better_beyond_tolerance,near_tie
0,,0.0,0.0,,,,,,0,0,0,0
1,1.0,0.01,0.0,0.0,0.15488797144227792,0.0,0.15488797144227792,0.15488797144227792,0,0,0,0
2,2.0,0.02,0.0,0.0,0.1586561965974828,0.0,0.1586561965974828,0.1586561965974828,0,0,0,0
3,3.0,0.03,0.0,0.0,0.16131616971548055,0.0,0.16131616971548055,0.16131616971548055,0,0,0,0
4,4.0,0.04,0.0,0.0,0.16279036580781672,0.0,0.16279036580781672,0.16279036580781672,0,0,0,0
5,5.0,0.05,0.0,0.0,0.16432430878214707,0.0,0.16432430878214707,0.16432430878214707,0,0,0,0
6,6.0,0.06,0.0,0.0,0.16620354059144163,0.0,0.16620354059144163,0.16620354059144163,0,0,0,0
7,7.0,0.07,0.0,0.0,0.16715443873763014,0.0,0.16715443873763014,0.16715443873763014,0,0,0,0
8,8.0,0.08,0.0,0.0,0.16656690765991042,0.0,0.16656690765991042,0.16656690765991042,0,0,0,0
9,9.0,0.09,0.0,0.0,0.16851052044665757,0.0,0.16851052044665757,0.16851052044665757,0,0,0,0
10,10.0,0.1,0.0,0.0,0.16943113232960974,0.0,0.16943113232960974,0.16943113232960974,0,0,0,0
11,11.0,0.11,0.0,0.0,0.1706235728869784,0.0,0.1706235728869784,0.1706235728869784,0,0,0,0
12,12.0,0.12,0.0,0.0,0.17106543622843606,0.0,0.17106543622843606,0.17106543622843606,0,0,0,0
13,13.0,0.13,0.0,0.0,0.17059981618249265,0.0,0.17059981618249265,0.17059981618249265,0,0,0,0
14,14.0,0.14,0.0,0.0,0.17068450126676032,0.0,0.17068450126676032,0.17068450126676032,0,0,0,0
15,15.0,0.15,0.0,0.0,0.17086815961220647,0.0,0.17086815961220647,0.17086815961220647,0,0,0,0
16,16.0,0.16,0.0,0.0,0.17009907479157665,0.0,0.17009907479157665,0.17009907479157665,0,0,0,0
17,17.0,0.17,0.0,0.0,0.16861742306833014,0.0,0.16861742306833014,0.16861742306833014,0,0,0,0
18,18.0,0.18,0.0,0.0,0.16696281824773815,0.0,0.16696281824773815,0.16696281824773815,0,0,0,0
19,19.0,0.19,0.0,0.0,0.16697116959737796,0.0,0.16697116959737796,0.16697116959737796,0,0,0,0
20,20.0,0.2,0.0,0.0,0.166936316278968,0.0,0.166936316278968,0.166936316278968,0,0,0,0
21,21.0,0.21,0.0,0.0,0.16687927688406512,0.0,0.16687927688406512,0.16687927688406512,0,0,0,0
22,22.0,0.22,0.0,0.0,0.16656432272889246,0.0,0.16656432272889246,0.16656432272889246,0,0,0,0
23,23.0,0.23,0.0,0.0,0.16774914089931336,0.0,0.16774914089931336,0.16774914089931336,0,0,0,0
24,24.0,0.24,0.0,0.0,0.1690673026690489,0.0,0.1690673026690489,0.1690673026690489,0,0,0,0
25,25.0,0.25,0.0,0.0,0.16918864266285122,0.0,0.16918864266285122,0.16918864266285122,0,0,0,0
26,26.0,0.26,0.0,0.0,0.16930910472663646,0.0,0.16930910472663646,0.16930910472663646,0,0,0,0
27,27.0,0.27,0.0,0.0,0.1691297073096607,0.0,0.1691297073096607,0.1691297073096607,0,0,0,0
