sample_index,debug_step,t_s,theta_true_deg,theta_mtcn_deg,theta_rkf_deg,rkf_innovation_norm_mps2,rkf_external_accel_variance_max_m2ps4,rkf_covariance_updated,rkf_anomaly_detected,rkf_observer_valid,abs_error_mtcn_deg,abs_error_rkf_deg,delta_abs_error_deg,evaluation_sample,rkf_locally_better,mtcn_locally_better,near_tie
0,,0.0,0.0,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0,0,0,0
1,1.0,0.01,0.0,0.0,0.0,0.237758569928001,0.0029149712166519,1,1,1,0.0,0.0,0.0,0,0,0,0
2,2.0,0.02,0.0,0.0,0.0,0.17877059233035,0.0055871635624549,1,1,1,0.0,0.0,0.0,0,0,0,0
3,3.0,0.03,0.0,0.0,0.0,0.281328974817097,0.0131232021699558,1,1,1,0.0,0.0,0.0,0,0,0,0
4,4.0,0.04,0.0,0.0,0.0,0.301605727906506,0.021727055533311,1,1,1,0.0,0.0,0.0,0,0,0,0
5,5.0,0.05,0.0,0.0,0.0,0.366683422824333,0.0349503640570672,1,1,1,0.0,0.0,0.0,0,0,0,0
6,6.0,0.06,0.0,0.0,0.0,0.24522868487766,0.0408250300174898,1,1,1,0.0,0.0,0.0,0,0,0,0
7,7.0,0.07,0.0,0.0,0.0,0.240646812434048,0.0461777740928722,1,1,1,0.0,0.0,0.0,0,0,0,0
8,8.0,0.08,0.0,0.0,0.0,0.236676721373076,0.0516555108523815,1,1,1,0.0,0.0,0.0,0,0,0,0
9,9.0,0.09,0.0,0.0,0.0,0.251212078523574,0.0573132181025428,1,1,1,0.0,0.0,0.0,0,0,0,0
10,10.0,0.1,0.0,0.0,0.0,0.208236386128924,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
11,11.0,0.11,0.0,0.0,0.0,0.118335653655,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
12,12.0,0.12,0.0,0.0,0.0,0.144513972403192,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
13,13.0,0.13,0.0,0.0,0.0,0.13034662534635,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
14,14.0,0.14,0.0,0.0,0.0,0.120369841978866,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
15,15.0,0.15,0.0,0.0,0.0,0.111362532771114,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
16,16.0,0.16,0.0,0.0,0.0,0.0755008476239213,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
17,17.0,0.17,0.0,0.0,0.0,0.0231198970954533,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
18,18.0,0.18,0.0,0.0,0.0,0.0590184254869355,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
19,19.0,0.19,0.0,0.0,0.0,0.0847525957481431,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
20,20.0,0.2,0.0,0.0,0.0,0.0786954084454216,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
21,21.0,0.21,0.0,0.0,0.0,0.0308287504544933,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
22,22.0,0.22,0.0,0.0,0.0,0.0422384436937436,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
23,23.0,0.23,0.0,0.0,0.0,0.13326056528503,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
24,24.0,0.24,0.0,0.0,0.0,0.0827937763444816,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
25,25.0,0.25,0.0,0.0,0.0,0.0588424635120514,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
26,26.0,0.26,0.0,0.0,0.0,0.035973864573543,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
27,27.0,0.27,0.0,0.0,0.0,0.0545575750471001,0.0573132181025428,0,0,1,0.0,0.0,0.0,0,0,0,0
