sample_index,debug_step,t_s,theta_true_deg,theta_mtcn_deg,theta_rkf_deg,rkf_theta_variance_rad2,rkf_observer_valid,observer_update_available,rkf_uncertainty_halfwidth_deg,delta_abs_error_deg,rkf_locally_better
0,,0.0,0.0,,,,0,0,,,0
1,1.0,0.01,0.0,0.0,0.15488797144227792,2.7180492522597914e-07,1,1,0.05854736647502627,0.15488797144227792,0
2,2.0,0.02,0.0,0.0,0.1586561965974828,2.7132603157489014e-07,1,1,0.058495766374334665,0.1586561965974828,0
3,3.0,0.03,0.0,0.0,0.16131616971548055,2.7127196133024934e-07,1,1,0.05848993752339196,0.16131616971548055,0
4,4.0,0.04,0.0,0.0,0.16279036580781672,2.713790817728497e-07,1,1,0.05850148469833081,0.16279036580781672,0
5,5.0,0.05,0.0,0.0,0.16432430878214707,2.715893854667806e-07,1,1,0.05852414800683804,0.16432430878214707,0
6,6.0,0.06,0.0,0.0,0.16620354059144163,2.71825138011207e-07,1,1,0.05854954337329817,0.16620354059144163,0
7,7.0,0.07,0.0,0.0,0.16715443873763014,2.7207868749627887e-07,1,1,0.05857684354596876,0.16715443873763014,0
8,8.0,0.08,0.0,0.0,0.16656690765991042,2.723467941479309e-07,1,1,0.058605697284100144,0.16656690765991042,0
9,9.0,0.09,0.0,0.0,0.16851052044665757,2.726271349762165e-07,1,1,0.05863585248381639,0.16851052044665757,0
10,10.0,0.1,0.0,0.0,0.16943113232960974,2.729072293876504e-07,1,1,0.058665965697607465,0.16943113232960974,0
11,11.0,0.11,0.0,0.0,0.1706235728869784,2.7318707878423775e-07,1,1,0.058696037140709305,0.1706235728869784,0
12,12.0,0.12,0.0,0.0,0.17106543622843606,2.7346668062673027e-07,1,1,0.05872606660464202,0.17106543622843606,0
13,13.0,0.13,0.0,0.0,0.17059981618249265,2.737460379084634e-07,1,1,0.05875605447501102,0.17059981618249265,0
14,14.0,0.14,0.0,0.0,0.17068450126676032,2.7402514949445374e-07,1,1,0.05878600069372664,0.17068450126676032,0
15,15.0,0.15,0.0,0.0,0.17086815961220647,2.7430401431343524e-07,1,1,0.058815905209560176,0.17086815961220647,0
16,16.0,0.16,0.0,0.0,0.17009907479157665,2.745826341922293e-07,1,1,0.05884576828184287,0.17009907479157665,0
17,17.0,0.17,0.0,0.0,0.16861742306833014,2.748610089704108e-07,1,1,0.05887558995645645,0.16861742306833014,0
18,18.0,0.18,0.0,0.0,0.16696281824773815,2.751391378640451e-07,1,1,0.05890537021235795,0.16696281824773815,0
19,19.0,0.19,0.0,0.0,0.16697116959737796,2.754170206976765e-07,1,1,0.05893510909356227,0.16697116959737796,0
20,20.0,0.2,0.0,0.0,0.166936316278968,2.756946569597094e-07,1,1,0.05896480660796202,0.166936316278968,0
21,21.0,0.21,0.0,0.0,0.16687927688406512,2.759720476378903e-07,1,1,0.05899446292360388,0.16687927688406512,0
