t_s,reference_grade_deg,mtcn_delta_grade_deg,rkf_ra_x2_qg_x05_grade_deg,fused_grade_deg,K_eff,Kmax,target_correction_deg,applied_correction_deg,NIS,fallback,rate_limit_active,fallback_reason
0.01,0.0,0.0,0.16098330677290046,0.0,0.0,0.5,0.0,0.0,0.002449216046726703,1,0,TCN_NOT_READY
0.02,0.0,0.0,0.16757308994229259,0.0,0.0,0.5,0.0,0.0,0.002653835283230295,1,0,TCN_NOT_READY
0.03,0.0,0.0,0.17266503474524306,0.0,0.0,0.5,0.0,0.0,0.002817566719426271,1,0,TCN_NOT_READY
0.04,0.0,0.0,0.17580627096230372,0.0,0.0,0.5,0.0,0.0,0.0029210173225070004,1,0,TCN_NOT_READY
0.05,0.0,0.0,0.17867289845510087,0.0,0.0,0.5,0.0,0.0,0.0030170518467598204,1,0,TCN_NOT_READY
0.06,0.0,0.0,0.18131793159933135,0.0,0.0,0.5,0.0,0.0,0.00310704054403889,1,0,TCN_NOT_READY
0.07,0.0,0.0,0.18291754533832635,0.0,0.0,0.5,0.0,0.0,0.0031621039128156498,1,0,TCN_NOT_READY
0.08,0.0,0.0,0.1830591822747769,0.0,0.0,0.5,0.0,0.0,0.0031670027770336006,1,0,TCN_NOT_READY
0.09,0.0,0.0,0.18554354240967144,0.0,0.0,0.5,0.0,0.0,0.0032535470833076575,1,0,TCN_NOT_READY
0.1,0.0,0.0,0.18692892453540907,0.0,0.0,0.5,0.0,0.0,0.0033023144340585285,1,0,TCN_NOT_READY
0.11,0.0,0.0,0.18836053709033238,0.0,0.0,0.5,0.0,0.0,0.0033530902926511065,1,0,TCN_NOT_READY
0.12,0.0,0.0,0.18911991821527804,0.0,0.0,0.5,0.0,0.0,0.0033801809583142856,1,0,TCN_NOT_READY
0.13,0.0,0.0,0.188942875705908,0.0,0.0,0.5,0.0,0.0,0.0033738552828893368,1,0,TCN_NOT_READY
0.14,0.0,0.0,0.18923884712059078,0.0,0.0,0.5,0.0,0.0,0.003384433578821506,1,0,TCN_NOT_READY
0.15,0.0,0.0,0.18965435886431553,0.0,0.0,0.5,0.0,0.0,0.0033993122973817506,1,0,TCN_NOT_READY
0.16,0.0,0.0,0.18902197770316284,0.0,0.0,0.5,0.0,0.0,0.003376680841201184,1,0,TCN_NOT_READY
0.17,0.0,0.0,0.1875360882694662,0.0,0.0,0.5,0.0,0.0,0.003323801765261919,1,0,TCN_NOT_READY
0.18,0.0,0.0,0.1859722460952683,0.0,0.0,0.5,0.0,0.0,0.0032685992805362805,1,0,TCN_NOT_READY
0.19,0.0,0.0,0.18604259828883848,0.0,0.0,0.5,0.0,0.0,0.003271072731592195,1,0,TCN_NOT_READY
0.2,0.0,0.0,0.18613286151510366,0.0,0.0,0.5,0.0,0.0,0.003274247587314728,1,0,TCN_NOT_READY
0.21,0.0,0.0,0.18613194426152632,0.0,0.0,0.5,0.0,0.0,0.0032742153167324354,1,0,TCN_NOT_READY
0.22,0.0,0.0,0.18575808161170576,0.0,0.0,0.5,0.0,0.0,0.003261075417987339,1,0,TCN_NOT_READY
0.23,0.0,0.0,0.1871627941247279,0.0,0.0,0.5,0.0,0.0,0.0033105827536599013,1,0,TCN_NOT_READY
0.24,0.0,0.0,0.1883330381542519,0.0,0.0,0.5,0.0,0.0,0.0033521113223593216,1,0,TCN_NOT_READY
0.25,0.0,0.0,0.18857053312562555,0.0,0.0,0.5,0.0,0.0,0.0033605709272407657,1,0,TCN_NOT_READY
0.26,0.0,0.0,0.18861296008529255,0.0,0.0,0.5,0.0,0.0,0.0033620833040093655,1,0,TCN_NOT_READY
0.27,0.0,0.0,0.18836780726392602,0.0,0.0,0.5,0.0,0.0,0.003353349136879635,1,0,TCN_NOT_READY
0.28,0.0,0.0,0.18976886811251134,0.0,0.0,0.5,0.0,0.0,0.003403418400812396,1,0,TCN_NOT_READY
0.29,0.0,0.0,0.18992740116729961,0.0,0.0,0.5,0.0,0.0,0.0034091072126097395,1,0,TCN_NOT_READY
