sample_index,debug_step,t_s,theta_true_deg,theta_mtcn_deg,theta_imu_deg,variance_imu_rad2,imu_valid,K_imu_eff,quality_code,observer_update_available,imu_uncertainty_halfwidth_deg,delta_abs_error_deg,imu_locally_better
0,,0.0,0.0,,,,0,0,0,0,,,0
1,1.0,0.01,0.0,0.0,0.05748099212,0.006439533727,0,0,0,1,9.011683176,0.05748099212,0
2,2.0,0.02,0.0,0.0,-0.02251900788,0.005692918563,0,0,0,1,8.473175258,0.02251900788,0
3,3.0,0.03,0.0,0.0,-0.1025190079,0.004849889392,0,0,0,1,7.820681884,0.1025190079,0
4,4.0,0.04,0.0,0.0,-0.02251900788,0.004177248783,0,0,0,1,7.25811549,0.02251900788,0
5,5.0,0.05,0.0,0.0,0.05748099212,0.003403013113,0,0,0,1,6.55104398,0.05748099212,0
6,6.0,0.06,0.0,0.0,0.1374809921,0.002696331731,0,0,0,1,5.831299734,0.1374809921,0
7,7.0,0.07,0.0,0.0,0.1272283099,0.002115801794,0,0,0,1,5.165545535,0.1272283099,0
8,8.0,0.08,0.0,0.0,0.2072283099,0.001575974541,0,0,0,1,4.458135893,0.2072283099,0
9,9.0,0.09,0.0,0.0,0.2872283099,0.001218469679,0,0,0,1,3.92,0.2872283099,0
10,10.0,0.1,0.0,0.0,0.3672283099,0.001218469679,0,0,0,1,3.92,0.3672283099,0
11,11.0,0.11,0.0,0.0,0.4472283099,0.001218469679,0,0,0,1,3.92,0.4472283099,0
12,12.0,0.12,0.0,0.0,0.5272283099,0.001218469679,0,0,0,1,3.92,0.5272283099,0
13,13.0,0.13,0.0,0.0,0.6072283099,0.001218469679,0,0,0,1,3.92,0.6072283099,0
14,14.0,0.14,0.0,0.0,0.6872283099,0.001218469679,0,0,0,1,3.92,0.6872283099,0
15,15.0,0.15,0.0,0.0,0.7672283099,0.001218469679,0,0,0,1,3.92,0.7672283099,0
16,16.0,0.16,0.0,0.0,0.8472283099,0.001218469679,0,0,0,1,3.92,0.8472283099,0
17,17.0,0.17,0.0,0.0,0.9272283099,0.001218469679,0,0,0,1,3.92,0.9272283099,0
18,18.0,0.18,0.0,0.0,1.00722831,0.001218469679,0,0,0,1,3.92,1.00722831,0
19,19.0,0.19,0.0,0.0,1.08722831,0.001218469679,0,0,0,1,3.92,1.08722831,0
20,20.0,0.2,0.0,0.0,1.16722831,0.001218469679,0,0,0,1,3.92,1.16722831,0
21,21.0,0.21,0.0,0.0,1.08722831,0.001218469679,0,0,0,1,3.92,1.08722831,0
22,22.0,0.22,0.0,0.0,1.00722831,0.001218469679,0,0,0,1,3.92,1.00722831,0
23,23.0,0.23,0.0,0.0,0.9272283099,0.001218469679,0,0,0,1,3.92,0.9272283099,0
24,24.0,0.24,0.0,0.0,0.8472283099,0.001218469679,0,0,0,1,3.92,0.8472283099,0
25,25.0,0.25,0.0,0.0,0.7672283099,0.001218469679,0,0,0,1,3.92,0.7672283099,0
26,26.0,0.26,0.0,0.0,0.6872283099,0.001218469679,0,0,0,1,3.92,0.6872283099,0
27,27.0,0.27,0.0,0.0,0.6072283099,0.001218469679,0,0,0,1,3.92,0.6072283099,0
