path,seed,J,ratios,theta_candidate,theta_baseline,sample_count,active_count,improve_count,degrade_count,fallback,safe,path_id
path_closed_loop_long_updown_theta10_v1,1,1.1148560969280017,"[1.3237994761594942, 1.0280839329013167, 1.1949648997340623, 1.0919701393232628, 0.9354620365218725]",0.5432304119032447,0.5723534016063311,4400,2911,2133,4,0,True,P3
path_modern_tcn_showcase_candidate_soft_updown_straight_turn_v1,1,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.0376547124703873,0.0376254577659089,5600,0,0,0,0,True,P4
path_factory_target_downhill_straight_after_turn_v1,1,0.8817314577917139,"[0.8621652203214868, 0.7140422911409416, 0.7781664689472046, 1.0534153281407748, 1.000867980408162]",0.4864615008208967,0.615593369866749,3800,2646,2193,0,0,True,P6
path_closed_loop_sharp_turn_transition_theta10_v1,1,0.9432861332102374,"[1.1206246257995987, 1.0105789689514515, 1.0350323617178185, 0.5195329907312315, 1.030661718851086]",0.4185890958001007,0.4935033814053328,5200,3012,2210,24,0,True,P2
path_factory_logistics_showcase_theta10_v10,1,1.1301145419301517,"[1.1605639461889121, 1.0986301592350103, 1.1111166800939936, 1.234482637624367, 1.045779286508475]",0.334073470452062,0.3501612400370807,24582,7814,2598,40,0,True,P1
path_modern_tcn_showcase_candidate_factory_flat_logistics_safe_190_v1,1,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",2.8139502326481547e-05,0.0,19000,0,0,0,0,True,P5
path_modern_tcn_showcase_candidate_balanced_mild_updown_lr_v1,1,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.0545291254524861,0.0545019082561926,5800,0,0,0,0,True,P7
path_factory_target_uphill_left_overlap_v1,1,1.048152249009093,"[1.0719374604473524, 1.028661178550198, 1.0978719045056167, 1.0416611444594992, 1.0006295570827992]",0.3412112363678234,0.4372214047286791,4400,2595,1521,2,0,True,P8
path_factory_target_downhill_right_reversal_v1,1,0.7890280247839463,"[0.7685991042856583, 0.9514547842492709, 0.7301549277276668, 0.5412258518775525, 0.953705455779583]",0.5745049746896451,0.6689991644338737,4200,2856,2279,0,0,True,P9
path_closed_loop_long_updown_theta10_v1,7,1.1424520385671306,"[1.716779705852612, 0.9791981758622746, 0.8907991765532218, 1.0583511113453703, 1.0671320232221746]",0.5991385760267769,0.7309317136857204,4400,2995,2510,21,0,True,P3
path_modern_tcn_showcase_candidate_soft_updown_straight_turn_v1,7,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.0376546378820436,0.0376254577659089,5600,0,0,0,0,True,P4
path_factory_target_downhill_straight_after_turn_v1,7,0.8750011221350743,"[0.9003246303426157, 0.7212568559133716, 0.7811355577199575, 0.9708413553181715, 1.0014472113812551]",0.4460419595762679,0.5759007658796661,3800,2690,2146,16,0,True,P6
path_closed_loop_sharp_turn_transition_theta10_v1,7,0.9480355294018376,"[1.0483214118066588, 0.9074081871273353, 0.85545728371374, 0.970379648408084, 0.9586111159533691]",0.5663149883855904,0.681798889991781,5200,3375,2613,14,0,True,P2
path_factory_logistics_showcase_theta10_v10,7,0.7437867469810333,"[0.838157758949002, 1.1662921443548802, 0.7869793104252364, 0.27450994935606665, 0.6529945718199813]",0.734656037733207,0.5745289484406227,24582,15682,13986,20,0,True,P1
path_modern_tcn_showcase_candidate_factory_flat_logistics_safe_190_v1,7,0.6566897933152406,"[0.46689750566711186, 0.7444798804254806, 0.6333397740907531, 0.4751481360097916, 0.9635836703830657]",0.0523317583763903,0.1114088585439172,19000,619,565,48,0,True,P5
path_modern_tcn_showcase_candidate_balanced_mild_updown_lr_v1,7,0.9905008291930736,"[0.9888097875220712, 1.0020461512442154, 0.9977404783572212, 0.9681761257349147, 0.9957316031069451]",0.0994079788438981,0.1012140352870821,5800,166,157,8,0,True,P7
path_factory_target_uphill_left_overlap_v1,7,0.9458509756772252,"[0.9203660492651075, 0.9315338529275271, 0.9192346740863211, 0.9639603543175774, 0.9941599477895924]",0.3208589129623857,0.390839555498534,4400,2477,1401,11,0,True,P8
path_factory_target_downhill_right_reversal_v1,7,0.8703785995991689,"[0.7091057256657849, 0.9227414991297562, 0.7208685725498125, 1.0151743189786404, 0.9840028816718506]",0.7128005106181572,0.8610753985641568,4200,2813,2557,0,0,True,P9
path_closed_loop_long_updown_theta10_v1,11,0.8365383050287715,"[0.38175926661837206, 0.9026704268152465, 0.8038737078427316, 1.0484456760123666, 1.0459424478551411]",0.4854787727971734,0.6350439578753625,4400,3120,2417,24,0,True,P3
