sample_index,t_s,theta_true_deg,theta_sched_deg,theta_tcn_deg,theta_imu_deg,theta_fused_deg,K_imu_eff,imu_valid,fallback_exact,delta_fused_vs_mtcn_deg
0,0.0,0.0,0.0,0.0,0.05527645453292583,0.0,0.0,0.0,0.0,0.0
1,0.01,0.0,0.0,0.0,0.05527645453292583,0.0,0.0,0.0,1.0,0.0
2,0.02,0.0,0.0,0.0,-0.024723545467064796,0.0,0.0,0.0,1.0,0.0
3,0.03,0.0,0.0,0.0,-0.10472354546706687,0.0,0.0,0.0,1.0,0.0
4,0.04,0.0,0.0,0.0,-0.024723545467064796,0.0,0.0,0.0,1.0,0.0
5,0.05,0.0,0.0,0.0,0.05527645453292583,0.0,0.0,0.0,1.0,0.0
6,0.06,0.0,0.0,0.0,0.13527645453292791,0.0,0.0,0.0,1.0,0.0
7,0.07,0.0,0.0,0.0,0.0998994371595489,0.0,0.0,0.0,1.0,0.0
8,0.08,0.0,0.0,0.0,0.17989943715955098,0.0,0.0,0.0,1.0,0.0
9,0.09,0.0,0.0,0.0,0.25989943715954733,0.0,0.0,0.0,1.0,0.0
10,0.1,0.0,0.0,0.0,0.3398994371595494,0.0,0.0,0.0,1.0,0.0
11,0.11,0.0,0.0,0.0,0.4198994371595515,0.0,0.0,0.0,1.0,0.0
12,0.12,0.0,0.0,0.0,0.4998994371595478,0.0,0.0,0.0,1.0,0.0
13,0.13,0.0,0.0,0.0,0.57989943715955,0.0,0.0,0.0,1.0,0.0
14,0.14,0.0,0.0,0.0,0.6598994371595521,0.0,0.0,0.0,1.0,0.0
15,0.15,0.0,0.0,0.0,0.7398994371595542,0.0,0.0,0.0,1.0,0.0
16,0.16,0.0,0.0,0.0,0.8198994371595505,0.0,0.0,0.0,1.0,0.0
17,0.17,0.0,0.0,0.0,0.8998994371595527,0.0,0.0,0.0,1.0,0.0
18,0.18,0.0,0.0,0.0,0.9798994371595546,0.0,0.0,0.0,1.0,0.0
19,0.19,0.0,0.0,0.0,1.0598994371595511,0.0,0.0,0.0,1.0,0.0
20,0.2,0.0,0.0,0.0,1.139899437159553,0.0,0.0,0.0,1.0,0.0
21,0.21,0.0,0.0,0.0,1.0598994371595511,0.0,0.0,0.0,1.0,0.0
22,0.22,0.0,0.0,0.0,0.9798994371595546,0.0,0.0,0.0,1.0,0.0
23,0.23,0.0,0.0,0.0,0.8998994371595527,0.0,0.0,0.0,1.0,0.0
24,0.24,0.0,0.0,0.0,0.8198994371595505,0.0,0.0,0.0,1.0,0.0
25,0.25,0.0,0.0,0.0,0.7398994371595542,0.0,0.0,0.0,1.0,0.0
26,0.26,0.0,0.0,0.0,0.6598994371595521,0.0,0.0,0.0,1.0,0.0
27,0.27,0.0,0.0,0.0,0.57989943715955,0.0,0.0,0.0,1.0,0.0
28,0.28,0.0,0.0,0.0,0.4998994371595478,0.0,0.0,0.0,1.0,0.0
29,0.29,0.0,0.0,0.0,0.4198994371595515,0.0,0.0,0.0,1.0,0.0
30,0.3,0.0,0.0,0.0,0.3398994371595494,0.0,0.0,0.0,1.0,0.0
31,0.31,0.0,0.0,0.0,0.25989943715954733,0.0,0.0,0.0,1.0,0.0
32,0.32,0.0,0.0,0.0,0.17989943715955098,0.0,0.0,0.0,1.0,0.0
33,0.33,0.0,0.0,0.0,0.0998994371595489,0.0,0.0,0.0,1.0,0.0
34,0.34,0.0,0.0,0.0,0.01989943715955254,0.0,0.0,0.0,1.0,0.0
35,0.35,0.0,0.0,0.0,-0.060100562840443815,0.0,0.0,0.0,1.0,0.0
36,0.36,0.0,0.0,0.0,-0.1401005628404459,0.0,0.0,0.0,1.0,0.0
37,0.37,0.0,0.0,0.0,-0.22010056284044227,0.0,0.0,0.0,1.0,0.0
38,0.38,0.0,0.0,0.0,-0.30010056284044434,0.0,0.0,0.0,1.0,0.0
39,0.39,0.0,0.0,0.0,-0.38010056284044647,0.0,0.0,0.0,1.0,0.0
40,0.4,0.0,0.0,0.0,-0.46010056284044276,0.0,0.0,0.0,1.0,0.0
41,0.41,0.0,0.0,0.0,-0.5401005628404448,0.0,0.0,0.0,1.0,0.0
42,0.42,0.0,0.0,0.0,-0.6201005628404469,0.0,0.0,0.0,1.0,0.0
43,0.43,0.0,0.0,0.0,-0.700100562840449,0.0,0.0,0.0,1.0,0.0
44,0.44,0.0,0.0,0.0,-0.7801005628404454,0.0,0.0,0.0,1.0,0.0
45,0.45,0.0,0.0,0.0,-0.8601005628404474,0.0,0.0,0.0,1.0,0.0
46,0.46,0.0,0.0,0.0,-0.9401005628404496,0.0,0.0,0.0,1.0,0.0
47,0.47,0.0,0.0,0.0,-1.020100562840446,0.0,0.0,0.0,1.0,0.0
48,0.48,0.0,0.0,0.0,-1.1001005628404479,0.0,0.0,0.0,1.0,0.0
49,0.49,0.0,0.0,0.0,-1.1801005628404502,0.0,0.0,0.0,1.0,0.0
50,0.5,0.0,0.0,0.0,-1.2601005628404465,0.0,0.0,0.0,1.0,0.0
51,0.51,0.0,0.0,0.0,-1.3401005628404485,0.0,0.0,0.0,1.0,0.0
52,0.52,0.0,0.0,0.0,-1.420100562840445,0.0,0.0,0.0,1.0,0.0
53,0.53,0.0,0.0,0.0,-1.500100562840447,0.0,0.0,0.0,1.0,0.0
54,0.54,0.0,0.0,0.0,-1.5801005628404492,0.0,0.0,0.0,1.0,0.0
